municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,20,20
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,28,28
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,23,23
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,27,27
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,512,512
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,62,62
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,22,22
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,67,67
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,27,27
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,20,20
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,27,27
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,32,32
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,579,579
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,25,25
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,14,14
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,20,20
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,47,47
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
HUACHACALLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
INGAVI (HUMAITA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,13,13
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,14,14
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,36,36
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,67,67
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1119,1119
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
LICOMA PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,28,28
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,19,19
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
MOJINETE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,13,13
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,34,34
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,61,61
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,19,19
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,373,373
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,22,22
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,50,50
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,19,19
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,47,47
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,25,25
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,32,32
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
POSTRER VALLE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,292,292
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
PUCARA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,32,32
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
PUERTO SILES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,31,31
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,51,51
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,35,35
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,49,49
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
REYES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,25,25
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,210,210
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,32,32
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN AGUSTIN,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,33,33
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,34,34
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,89,89
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,34,34
SAN JUAN DE YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,13,13
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,25,25
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,66,66
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
SAN PABLO DE LIPEZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,1,1
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,19,19
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,810,810
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,14,14
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
SENA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,35,35
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,37,37
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,14,14
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,351,351
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,11,11
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,16,16
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,54,54
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,33,33
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,178,178
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,23,23
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,43,43
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,18,18
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,63,63
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,40,40
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,3,3
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,4,4
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,12,12
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,23,23
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,17,17
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,63,63
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,7,7
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,21,21
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,47,47
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,14,14
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,85,85
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,13,13
VILLAZON,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,58,58
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,51,51
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,10,10
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,2,2
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,33,33
YACO,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,58,58
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,15,15
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,6,6
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,68,68
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,8,8
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,9,9
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2010-01-01,5,5
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,9,9
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,46,46
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,7,7
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,11,11
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,5,5
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,2,2
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,13,13
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,10,10
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,2,2
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,1,1
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,7,7
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,13,13
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,13,13
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,8,8
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,7,7
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,58,58
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,12,12
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,4,4
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,5,5
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2010-02-01,9,9
