municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,17,17
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,15,15
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
EXALTACION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,16,16
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,6,6
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,4,4
PRESTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,5,5
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
SACACA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
SAN BENITO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,17,17
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,3,3
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,2,2
YOTALA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-02-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
CAIROMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
CAJUATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,10,10
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
COTOCA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,18,18
EL PUENTE(TJA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,26,26
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
MINEROS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,8,8
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,3,3
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,3,3
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,18,18
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
CHALLAPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,4,4
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,12,12
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,12,12
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,20,20
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
MINEROS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,4,4
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,4,4
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,3,3
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
REYES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,2,2
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,11,11
SHINAOTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,12,12
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,4,4
VIACHA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-04-01,2,2
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
"CAIZA ""D""",atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,15,15
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,9,9
ESCOMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,19,19
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,3,3
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,10,10
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,15,15
SOPACHUY,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,5,5
TARABUCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
VACAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
VILLA SERRANO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-05-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,19,19
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
COPACABANA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,15,15
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,4,4
MAGDALENA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
MINEROS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,7,7
PADILLA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
POROMA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,5,5
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,4,4
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
SAN CARLOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,8,8
SORATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,5,5
TIQUIPAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
TORO TORO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-06-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
ALTO BENI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,16,16
CONCEPCION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,18,18
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
INQUISIVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
LA GUARDIA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,21,21
LLALLAGUA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
MACHARETI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,7,7
PAMPA GRANDE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,5,5
RURRENABAQUE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
SAN BENITO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,3,3
SAN MATIAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,10,10
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,8,8
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
TORO TORO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
TUPIZA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-07-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
CARANAVI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
CHAYANTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
CKOCHAS,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,15,15
COROICO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
COTOCA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,12,12
EXALTACION,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,14,14
ORURO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,6,6
PATACAMAYA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
PORCO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,6,6
PORTACHUELO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,4,4
QUILLACOLLO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,3,3
SACABA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
SAMAIPATA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,14,14
SUCRE,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
TARIJA,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,4,4
TRINIDAD,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
VILLAZON,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,2,2
WARNES,atencion de partos en servicios,nacidos muertos con peso menor a 2500g,2010-08-01,1,1
