municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vitamina A,TOTAL
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,42,42
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
BOYUIBE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,21,21
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,13,13
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,23,23
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,16,16
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,50,50
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,21,21
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,9,9
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,24,24
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,95,95
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,16,16
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,50,50
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,68,68
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,28,28
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,25,25
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,23,23
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,23,23
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,119,119
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1016,1016
COIPASA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,34,34
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,31,31
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,69,69
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,33,33
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,31,31
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,21,21
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,31,31
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,50,50
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,28,28
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1039,1039
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,59,59
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,31,31
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,27,27
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
EXALTACION,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,13,13
FILADELFIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,139,139
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,19,19
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,21,21
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,43,43
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,13,13
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,39,39
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1057,1057
LA RIVERA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,29,29
LAS CARRERAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,67,67
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,24,24
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,20,20
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,39,39
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
MOJINETE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,9,9
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,38,38
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,269,269
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,33,33
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,29,29
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,14,14
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,176,176
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,19,19
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,14,14
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,29,29
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,39,39
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,37,37
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,24,24
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,22,22
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,241,241
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
PUCARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,20,20
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,15,15
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
PUERTO SUAREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,96,96
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,56,56
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,63,63
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,150,150
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,18,18
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,309,309
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,30,30
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,41,41
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,1,1
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,88,88
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,63,63
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,70,70
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,38,38
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,55,55
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,114,114
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,24,24
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,34,34
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,11,11
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,81,81
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,63,63
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,29,29
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,16,16
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,25,25
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,9,9
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,6,6
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,7,7
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,24,24
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,35,35
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,921,921
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,14,14
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,2,2
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,5,5
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,8,8
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,3,3
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,13,13
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,4,4
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,17,17
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,25,25
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,10,10
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-01-01,12,12
