municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,5,5
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,6,6
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,8,8
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,3,3
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,4,4
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,11,11
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,12,12
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,5,5
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,15,15
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,3,3
YOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-01-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,6,6
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,11,11
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
HUACARETA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,3,3
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,6,6
PORCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
POSTRER VALLE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,5,5
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,6,6
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,5,5
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,12,12
TARATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,11,11
TIPUANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,3,3
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
VILA VILA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,2,2
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,15,15
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-02-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
AYATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,19,19
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,7,7
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,5,5
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,12,12
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
EL CHORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,5,5
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
POSTRER VALLE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,8,8
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,5,5
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,6,6
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,3,3
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,5,5
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,13,13
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
TIRAQUE (CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-03-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
ARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,3,3
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,3,3
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,34,34
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CHAQUI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CHOQUE COTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,12,12
COPACABANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
COROICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
PAZÑA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,3,3
REYES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,6,6
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
SAN JAVIER(STC),atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,8,8
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,6,6
TOLEDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,2,2
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-04-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-05-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-05-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-05-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-05-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2013-05-01,4,4
