municipality,group,variable,month,Control del niño de 2 años a menor de 5 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CAMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,332,332,,
CARANAVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
CARIPUYO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,47,47,,
CHALLAPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,13,13,,
CHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,10,10,,
CHARAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,89,89,,
CHAYANTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,3,3,,
CHIMORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,91,91,,
CHOQUE COTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
CHUMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,12,12,,
COBIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,28,28,,
COCHABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2104,2104,,
COIPASA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,5,5,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,41,41,,
COLLANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
COLOMI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,77,77,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
COLQUENCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
COLQUIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,53,53,,
COMARAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
CONCEPCION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
COPACABANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,16,16,,
COTAGAITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,5,5,,
COTOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,142,142,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,26,26,,
EL ALTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,743,743,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,48,48,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,35,35,,
EL TORNO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,122,122,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,18,18,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,216,216,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,30,30,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
EXALTACION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,106,106,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,14,14,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,194,194,,
HUACARETA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,148,148,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,121,121,,
HUANUNI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,16,16,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,19,19,,
ICHOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
ICLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,42,42,,
INCAHUASI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,71,71,,
INQUISIVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,27,27,,
LA GUARDIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,90,90,,
LA PAZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,20,20,,
LA RIVERA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,91,91,,
LLALLAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,143,143,,
LORETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,15,15,,
MACHACAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,48,48,,
MACHARETI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,277,277,,
MALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
MINEROS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,17,17,,
MIZQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
MOJOCOYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,187,187,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,489,489,,
MONTERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,47,47,,
MORO MORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
MOROCHATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,82,82,,
OKINAWA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,153,153,,
OMEREQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,3,3,,
ORURO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,123,123,,
PADCAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,35,35,,
PADILLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,439,439,,
PAILON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,135,135,,
PALCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,10,10,,
POCONA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,39,39,,
POJO (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
POROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,139,139,,
PORONGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,25,25,,
PORTACHUELO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,164,164,,
PORVENIR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,44,44,,
POSTRER VALLE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
POTOSI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,412,412,,
PRESTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,139,139,,
PUCARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
PUCARANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,18,18,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
PUERTO QUIJARRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
PUERTO SILES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
PUERTO SUAREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,131,131,,
PUNA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
PUNATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,127,127,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,98,98,,
QUIME,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
REYES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,92,92,,
RIBERALTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,137,137,,
ROBORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,43,43,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,10,10,,
SABAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,4,4,,
SACABA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,83,83,,
SACABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,17,17,,
SACACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,302,302,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
SAN ANDRES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,104,104,,
SAN BORJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,65,65,,
SAN CARLOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,53,53,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,200,200,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,104,104,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,40,40,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
SAN JULIAN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,232,232,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,87,87,,
SAN LUCAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,404,404,,
SAN MATIAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,10,10,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1,1,,
SAN PEDRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
SANTA ANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1918,1918,,
SANTA ROSA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,100,100,,
SENA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,64,64,,
SIPE SIPE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,368,368,,
SORACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,23,23,,
SUCRE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,1254,1254,,
TACOBAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,13,13,,
TARATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,7,7,,
TARIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,623,623,,
TEOPONTE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,9,9,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,40,40,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,130,130,,
TOCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,19,19,,
TOLATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,39,39,,
TOLEDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,3,3,,
TOMAVE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,2,2,,
TORO TORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,76,76,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,32,32,,
TOTORA(ORR),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,31,31,,
TRIGAL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
TRINIDAD,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,431,431,,
TUPIZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,6,6,,
TURCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,13,13,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,101,101,,
VACAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,25,25,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,36,36,,
VILA VILA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,98,98,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,213,213,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,265,265,,
VILLAZON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,54,54,,
VINTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,10,10,,
VITICHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,8,8,,
WARNES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,319,319,,
YACUIBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,65,65,,
YOCALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,3,3,,
YOTALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,158,158,,
YUNCHARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,109,109,,
ZUDAÑEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-01-01,296,296,,
ACACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,59,59,,
AIQUILE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,30,30,,
ALCALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,10,10,,
ANZALDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,51,51,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,73,73,,
ARBIETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,28,28,,
ARQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,40,40,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,637,637,,
AYO AYO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,4,4,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,7,7,,
BATALLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,10,10,,
BAURES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
BELLA FLOR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
BERMEJO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,18,18,,
BETANZOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,99,99,,
BOLPEBRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
BOYUIBE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,11,11,,
CABEZAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,4,4,,
CAIROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,29,29,,
CAJUATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,30,30,,
CALAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,6,6,,
CAMARGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,60,60,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,35,35,,
CAMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,307,307,,
CARANAVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,118,118,,
CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,2,2,,
CARAPARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
CARIPUYO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,7,7,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,38,38,,
CHACARILLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,25,25,,
CHALLAPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,2,2,,
CHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
CHARAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,38,38,,
CHIMORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,69,69,,
CHOQUE COTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,3,3,,
CHUMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
COBIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,18,18,,
COCHABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1226,1226,,
COIPASA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,40,40,,
COLOMI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,69,69,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,4,4,,
COLQUENCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,3,3,,
COLQUIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,24,24,,
COMARAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,2,2,,
CONCEPCION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,8,8,,
COPACABANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,7,7,,
COTAGAITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,34,34,,
COTOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,14,14,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,108,108,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,12,12,,
EL ALTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,447,447,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,139,139,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,39,39,,
EL TORNO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,37,37,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,15,15,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,171,171,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,24,24,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,3,3,,
EXALTACION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,38,38,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,10,10,,
FILADELFIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,5,5,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,19,19,,
GUANAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,3,3,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,189,189,,
HUACARETA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,104,104,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,29,29,,
HUACHACALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,2,2,,
HUANUNI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,18,18,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,5,5,,
ICHOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,1,1,,
INCAHUASI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,14,14,,
INQUISIVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,13,13,,
LA GUARDIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,43,43,,
LA PAZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,87,87,,
LA RIVERA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,3,3,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,2,2,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,26,26,,
LLALLAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-02-01,68,68,,
