municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,339,339,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,34,34,,
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,6,6,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,191,191,,
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,103,103,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,47,47,,
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,222,222,,
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,27,27,,
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,10,10,,
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,16,16,,
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,35,35,,
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,23,23,,
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,153,153,,
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,54,54,,
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,48,48,,
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,170,170,,
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,19,19,,
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,144,144,,
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,26,26,,
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,20,20,,
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,72,72,,
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,317,317,,
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,40,40,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,14,14,,
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,326,326,,
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,50,50,,
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,187,187,,
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,25,25,,
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,6,6,,
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,7,7,,
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,77,77,,
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,15,15,,
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,135,135,,
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,52,52,,
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,43,43,,
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,269,269,,
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,3,3,,
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,81,81,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,4,4,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,6,6,,
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,11,11,,
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,8,8,,
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,11,11,,
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,218,218,,
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,285,285,,
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,17,17,,
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,101,101,,
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,363,363,,
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,110,110,,
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,30,30,,
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,6,6,,
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,55,55,,
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,18,18,,
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,69,69,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,14,14,,
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,10,10,,
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,1,1,,
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,9,9,,
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,10,10,,
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,58,58,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,157,157,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,8,8,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,54,54,,
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,301,301,,
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,23,23,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,20,20,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,5,5,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,2,2,,
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,16,16,,
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,44,44,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,942,942,,
