municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,22,22,,
VILLA SERRANO,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,102,102,,
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,308,308,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,17,17,,
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,42,42,,
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,123,123,,
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,12,12,,
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,2,2,,
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,216,216,,
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,10,10,,
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,248,248,,
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,15,15,,
YANACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,28,28,,
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,10,10,,
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,30,30,,
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-07-01,14,14,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,129,129,,
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,43,43,,
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,49,49,,
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,10,10,,
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,54,54,,
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,10,10,,
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,54,54,,
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,7,7,,
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,47,47,,
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,112,112,,
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,10,10,,
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,34,34,,
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,76,76,,
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,22,22,,
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,27,27,,
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,7,7,,
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,85,85,,
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,76,76,,
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,35,35,,
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,36,36,,
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,23,23,,
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,34,34,,
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,15,15,,
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,35,35,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,112,112,,
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,147,147,,
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,25,25,,
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,182,182,,
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,10,10,,
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,53,53,,
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,21,21,,
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,58,58,,
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,40,40,,
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,35,35,,
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,6,6,,
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,33,33,,
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,81,81,,
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2110,2110,,
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,235,235,,
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,112,112,,
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,59,59,,
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,66,66,,
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,48,48,,
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,6,6,,
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,22,22,,
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,17,17,,
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,80,80,,
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,15,15,,
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,50,50,,
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,101,101,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,15,15,,
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,68,68,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3170,3170,,
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,69,69,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,71,71,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,149,149,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,49,49,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,46,46,,
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,56,56,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,26,26,,
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,34,34,,
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,143,143,,
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,94,94,,
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,31,31,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,17,17,,
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,57,57,,
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,19,19,,
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,22,22,,
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,60,60,,
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,109,109,,
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1698,1698,,
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,76,76,,
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,7,7,,
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,25,25,,
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,6,6,,
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,18,18,,
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
MAPIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,23,23,,
MINEROS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,160,160,,
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,99,99,,
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,44,44,,
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,59,59,,
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,62,62,,
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,212,212,,
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,169,169,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,33,33,,
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,16,16,,
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,943,943,,
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,50,50,,
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,26,26,,
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,38,38,,
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,80,80,,
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,21,21,,
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,5,5,,
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,104,104,,
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,25,25,,
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,64,64,,
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,51,51,,
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,38,38,,
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,11,11,,
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,966,966,,
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,59,59,,
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,49,49,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,67,67,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,46,46,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,130,130,,
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,88,88,,
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,242,242,,
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,429,429,,
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,19,19,,
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,36,36,,
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,62,62,,
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,363,363,,
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,43,43,,
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,31,31,,
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,559,559,,
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,18,18,,
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,55,55,,
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,21,21,,
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,38,38,,
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,15,15,,
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,101,101,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,37,37,,
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,48,48,,
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,124,124,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,162,162,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,23,23,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,90,90,,
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,35,35,,
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,57,57,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,139,139,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,6,6,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,33,33,,
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,119,119,,
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,25,25,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,100,100,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,72,72,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,38,38,,
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,61,61,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2540,2540,,
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,39,39,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,37,37,,
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,1,1,,
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,28,28,,
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,22,22,,
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,13,13,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,53,53,,
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,26,26,,
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,113,113,,
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,22,22,,
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,21,21,,
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,69,69,,
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,519,519,,
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,60,60,,
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,29,29,,
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,2,2,,
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,119,119,,
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,44,44,,
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,44,44,,
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,952,952,,
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,54,54,,
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,14,14,,
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,144,144,,
TIPUANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
TIQUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,151,151,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,222,222,,
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,23,23,,
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,27,27,,
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,80,80,,
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,12,12,,
TRIGAL,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,3,3,,
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,741,741,,
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,65,65,,
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,24,24,,
UMALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,27,27,,
UNCIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,74,74,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,30,30,,
URUBICHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,36,36,,
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,58,58,,
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,27,27,,
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,19,19,,
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,117,117,,
VILA VILA,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,20,20,,
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,79,79,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,8,8,,
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,39,39,,
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,438,438,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,10,10,,
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,62,62,,
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,246,246,,
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,9,9,,
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2007-08-01,4,4,,
