municipality,group,variable,month,Control del niño de 1 año a menor de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ROBORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,7,7,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
SABAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,1,1,,
SACABA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,62,62,,
SACABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
SACACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,131,131,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
SAN ANDRES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,106,106,,
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
SAN BORJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,94,94,,
SAN CARLOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,91,91,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,265,265,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,34,34,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,46,46,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,14,14,,
SAN JULIAN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,212,212,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,42,42,,
SAN LUCAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,235,235,,
SAN MATIAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,132,132,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,7,7,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,11,11,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
SANTA ANA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,51,51,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,3979,3979,,
SANTA ROSA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,23,23,,
SENA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,19,19,,
SIPE SIPE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,306,306,,
SORACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,18,18,,
SUCRE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,938,938,,
TACOBAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,26,26,,
TARATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,3,3,,
TEOPONTE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,6,6,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,91,91,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,148,148,,
TOCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,8,8,,
TOLATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,35,35,,
TOLEDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
TOMAVE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,13,13,,
TORO TORO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,26,26,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,74,74,,
TOTORA(ORR),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,32,32,,
TRINIDAD,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,875,875,,
TURCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,13,13,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,69,69,,
VACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,7,7,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,11,11,,
VILA VILA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,10,10,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,3,3,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,57,57,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,234,234,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,126,126,,
VILLAZON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,2,2,,
VINTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,91,91,,
VITICHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,11,11,,
WARNES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,20,20,,
YACUIBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,121,121,,
YOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,16,16,,
YOTALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,56,56,,
YUNCHARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,47,47,,
ZUDAÑEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-01-01,302,302,,
ACACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,38,38,,
AIQUILE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,22,22,,
ALCALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
ANZALDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,32,32,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,30,30,,
ARBIETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,5,5,,
ARQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,24,24,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,677,677,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,27,27,,
BATALLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,3,3,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,3,3,,
BERMEJO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,12,12,,
BETANZOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,57,57,,
BOLPEBRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,9,9,,
BOYUIBE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,15,15,,
CABEZAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,24,24,,
CAIROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,25,25,,
CAJUATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,5,5,,
CALAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
CAMARGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,39,39,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,10,10,,
CAMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,107,107,,
CARACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,3,3,,
CARANAVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,71,71,,
CARAPARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
CHACARILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,10,10,,
CHALLAPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
CHAQUI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
CHARAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,150,150,,
CHIMORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,27,27,,
CHOQUE COTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
COBIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,100,100,,
COCHABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,19,19,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,13,13,,
COLOMI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,57,57,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
COLQUENCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
COLQUIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,17,17,,
CONCEPCION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,52,52,,
COPACABANA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
COTAGAITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,42,42,,
COTOCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,86,86,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,177,177,,
CUEVO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,2,2,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,27,27,,
EL ALTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,560,560,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,16,16,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,65,65,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,6,6,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
EXALTACION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,37,37,,
FILADELFIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
GUANAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,8,8,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,156,156,,
HUACARETA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,35,35,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,13,13,,
HUACHACALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,2,2,,
HUANUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,56,56,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,6,6,,
INCAHUASI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,3,3,,
INQUISIVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,6,6,,
LA PAZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,59,59,,
LA RIVERA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,7,7,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,18,18,,
LLALLAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,50,50,,
LORETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,41,41,,
MACHARETI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,52,52,,
MAGDALENA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
MALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,7,7,,
MIZQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,78,78,,
MOJINETE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
MOJOCOYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,62,62,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,182,182,,
MOROCHATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,98,98,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
ORURO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,317,317,,
PADCAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,57,57,,
PADILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,26,26,,
PALCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,10,10,,
PALOS BLANCOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,12,12,,
PASORAPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
POCONA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,24,24,,
POJO (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,67,67,,
PORCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,21,21,,
POROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,82,82,,
PORONGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,26,26,,
PORVENIR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,27,27,,
POTOSI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,436,436,,
PUCARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,1,1,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
PUERTO RICO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,4,4,,
PUERTO SILES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,3,3,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,13,13,,
PUNA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,11,11,,
PUNATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,83,83,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-02-01,229,229,,
