,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
CULPINA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,6,9,6,9,15
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,4,1,4,1,5
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-02-01,65,61,65,61,126
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,2,2,2,2,4
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,2,0,2,0,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,23,8,23,8,31
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-02-01,14,12,14,12,26
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,6,7,6,7,13
ROBORE,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,2,0,2,2
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,56,90,56,90,146
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-02-01,20,22,20,22,42
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,16,17,16,17,33
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-02-01,7,6,7,6,13
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,0,2,0,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2013-02-01,2,1,2,1,3
VINTO,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,2,1,2,3
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-02-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,2,0,2,0,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,1,1,1,2
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,42,65,42,65,107
COROICO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,12,9,12,9,21
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-03-01,4,1,4,1,5
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-03-01,64,66,64,66,130
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,2,1,2,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,21,5,21,5,26
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-03-01,13,13,13,13,26
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,0,1,0,1,1
REYES,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,3,5,3,5,8
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,1,1,1,2
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,1,1,1,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,77,72,77,72,149
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-03-01,15,16,15,16,31
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,24,14,24,14,38
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-03-01,13,4,13,4,17
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,3,2,3,2,5
UYUNI,internaciones,fallecidos a partir de las 48 horas,2013-03-01,0,2,0,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2013-03-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-03-01,4,2,4,2,6
VINTO,internaciones,fallecidos a partir de las 48 horas,2013-03-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-03-01,4,4,4,4,8
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2013-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,2,0,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,4,1,4,1,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,44,48,44,48,92
COROICO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
COTAGAITA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 horas,2013-04-01,2,0,2,0,2
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,7,15,7,15,22
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-04-01,4,5,4,5,9
LA ASUNTA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-04-01,65,58,65,58,123
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,3,0,3,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,10,3,10,3,13
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-04-01,2,0,2,0,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-04-01,19,13,19,13,32
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2013-04-01,2,1,2,1,3
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,1,1,1,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,79,67,79,67,146
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-04-01,20,15,20,15,35
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,12,23,12,23,35
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-04-01,10,4,10,4,14
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,2,2,2,2,4
UYUNI,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-04-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2013-04-01,1,3,1,3,4
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-04-01,0,2,0,2,2
ACHACACHI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,3,1,3,1,4
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,61,58,61,58,119
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,13,12,13,12,25
EL PUENTE(STC),internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,2,0,2,2
GUTIERREZ,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-05-01,71,63,71,63,134
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,4,4,4,4,8
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,7,7,7,7,14
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
REYES,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,3,2,3,2,5
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,2,0,2,2
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,86,62,86,62,148
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
SORATA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-05-01,16,10,16,10,26
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,14,18,14,18,32
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-05-01,2,1,2,1,3
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,2,2,2,2,4
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-05-01,2,0,2,0,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,1,1,1,2
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2013-05-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,2,3,2,3,5
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,4,0,4,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,47,52,47,52,99
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,10,9,10,9,19
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,2,0,2,0,2
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-06-01,4,3,4,3,7
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
HUARACAJE,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-06-01,86,83,86,83,169
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,15,7,15,7,22
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-06-01,12,5,12,5,17
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,5,1,5,1,6
ROBORE,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,10,0,10,10
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,65,83,65,83,148
SORATA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-06-01,20,21,20,21,41
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,21,24,21,24,45
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-06-01,5,3,5,3,8
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,2,1,2,3
UYUNI,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,2,0,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,0,1,0,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2013-06-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-06-01,1,3,1,3,4
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2013-06-01,3,0,3,0,3
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,65,50,65,50,115
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,18,13,18,13,31
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,3,0,3,0,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-07-01,4,1,4,1,5
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-07-01,63,97,63,97,160
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,1,1,1,2
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,2,1,2,3
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,5,33,5,33,38
PADILLA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-07-01,19,14,19,14,33
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,3,3,3,3,6
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,65,60,65,60,125
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-07-01,23,25,23,25,48
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,14,17,14,17,31
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-07-01,3,9,3,9,12
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,4,0,4,4
UYUNI,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-07-01,0,4,0,4,4
WARNES,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-07-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,3,1,3,4
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,2,0,2,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,68,43,68,43,111
COROICO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,12,7,12,7,19
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,3,1,3,4
ENTRE RIOS TRJ,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2013-08-01,63,76,63,76,139
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,1,1,1,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,5,2,5,2,7
ORURO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,4,24,4,24,28
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2013-08-01,13,18,13,18,31
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,2,0,2,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,6,0,6,6
REYES,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,2,1,2,3
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,74,82,74,82,156
SUCRE,internaciones,fallecidos a partir de las 48 horas,2013-08-01,18,15,18,15,33
TARIJA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,23,18,23,18,41
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2013-08-01,6,5,6,5,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,0,4,0,4,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,1,1,1,2
WARNES,internaciones,fallecidos a partir de las 48 horas,2013-08-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2013-08-01,6,4,6,4,10
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2013-09-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2013-09-01,1,1,1,1,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2013-09-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2013-09-01,0,2,0,2,2
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2013-09-01,0,1,0,1,1
