,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
TIPUANI,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2013-01-01,4,5,4,5,9
TUPIZA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
UYUNI,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,1,1,1,2
VIACHA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,5,1,5,6
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2013-01-01,0,1,0,1,1
VINTO,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
WARNES,internaciones,fallecidos antes de las 48 horas,2013-01-01,2,1,2,1,3
YACUIBA,internaciones,fallecidos antes de las 48 horas,2013-01-01,1,0,1,0,1
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
ANZALDO,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
APOLO,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-02-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-02-01,3,1,3,1,4
CARANAVI,internaciones,fallecidos antes de las 48 horas,2013-02-01,2,0,2,0,2
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-02-01,12,21,12,21,33
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-02-01,13,9,13,9,22
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,5,1,5,6
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-02-01,38,25,38,25,63
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
MAIRANA,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2013-02-01,14,3,14,3,17
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-02-01,7,7,7,7,14
PUERTO RICO,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
REYES,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-02-01,10,4,10,4,14
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2013-02-01,2,2,2,2,4
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,2,0,2,2
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2013-02-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2013-02-01,1,1,1,1,2
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2013-02-01,1,0,1,0,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-02-01,33,25,33,25,58
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-02-01,9,8,9,8,17
TARIJA,internaciones,fallecidos antes de las 48 horas,2013-02-01,11,3,11,3,14
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2013-02-01,10,1,10,1,11
TUPIZA,internaciones,fallecidos antes de las 48 horas,2013-02-01,4,1,4,1,5
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2013-02-01,3,0,3,0,3
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2013-02-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2013-02-01,3,1,3,1,4
WARNES,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2013-02-01,6,3,6,3,9
YOTALA,internaciones,fallecidos antes de las 48 horas,2013-02-01,0,1,0,1,1
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
APOLO,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,2,0,2,2
BAURES,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-03-01,20,28,20,28,48
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,2,0,2,2
COTOCA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-03-01,10,11,10,11,21
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
GUTIERREZ,internaciones,fallecidos antes de las 48 horas,2013-03-01,5,19,5,19,24
HUARACAJE,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-03-01,39,32,39,32,71
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,0,2,0,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
ORURO,internaciones,fallecidos antes de las 48 horas,2013-03-01,18,3,18,3,21
PADILLA,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
PALOS BLANCOS,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,0,2,0,2
POCOATA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-03-01,13,9,13,9,22
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
QUIABAYA,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
QUIRUSILLAS,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-03-01,10,4,10,4,14
ROBORE,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
SAN JAVIER(BNI),internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
SAN RAFAEL,internaciones,fallecidos antes de las 48 horas,2013-03-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-03-01,24,19,24,19,43
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
SORATA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-03-01,21,18,21,18,39
TARABUCO,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2013-03-01,13,6,13,6,19
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2013-03-01,6,7,6,7,13
TUPIZA,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,1,1,1,2
VINTO,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,1,2,1,3
WARNES,internaciones,fallecidos antes de las 48 horas,2013-03-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2013-03-01,5,2,5,2,7
YAPACANI,internaciones,fallecidos antes de las 48 horas,2013-03-01,2,0,2,0,2
AIQUILE,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
ANZALDO,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-04-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-04-01,31,29,31,29,60
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-04-01,16,14,16,14,30
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-04-01,2,2,2,2,4
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-04-01,28,37,28,37,65
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
MACHARETI,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 horas,2013-04-01,14,9,14,9,23
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-04-01,11,8,11,8,19
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2013-04-01,3,0,3,0,3
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-04-01,7,6,7,6,13
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2013-04-01,2,1,2,1,3
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,2,0,2,2
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2013-04-01,2,0,2,0,2
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-04-01,22,32,22,32,54
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-04-01,12,9,12,9,21
TARABUCO,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2013-04-01,7,9,7,9,16
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2013-04-01,5,4,5,4,9
TUPIZA,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,2,1,2,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2013-04-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2013-04-01,5,1,5,1,6
YAPACANI,internaciones,fallecidos antes de las 48 horas,2013-04-01,0,1,0,1,1
ALCALA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos antes de las 48 horas,2013-05-01,2,1,2,1,3
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,2,0,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-05-01,34,20,34,20,54
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
COTOCA,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-05-01,11,11,11,11,22
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
GUTIERREZ,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-05-01,18,35,18,35,53
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2013-05-01,3,0,3,0,3
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-05-01,2,2,2,2,4
MONTERO,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,3,0,3,3
ORURO,internaciones,fallecidos antes de las 48 horas,2013-05-01,16,9,16,9,25
POCOATA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-05-01,10,8,10,8,18
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-05-01,3,1,3,1,4
REYES,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-05-01,8,8,8,8,16
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2013-05-01,4,1,4,1,5
SAMAIPATA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,4,1,4,5
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
SAN JAVIER(BNI),internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,2,0,2,2
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
SAN MATIAS,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-05-01,216,43,216,43,259
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
SORATA,internaciones,fallecidos antes de las 48 horas,2013-05-01,0,1,0,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-05-01,22,13,22,13,35
TARIJA,internaciones,fallecidos antes de las 48 horas,2013-05-01,8,12,8,12,20
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2013-05-01,5,3,5,3,8
TUPIZA,internaciones,fallecidos antes de las 48 horas,2013-05-01,2,2,2,2,4
UYUNI,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2013-05-01,2,0,2,0,2
YACUIBA,internaciones,fallecidos antes de las 48 horas,2013-05-01,2,2,2,2,4
YAPACANI,internaciones,fallecidos antes de las 48 horas,2013-05-01,1,1,1,1,2
AZURDUY,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,3,0,3,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,2,1,2,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2013-06-01,2,0,2,0,2
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2013-06-01,4,1,4,1,5
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2013-06-01,23,14,23,14,37
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
COTOCA,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2013-06-01,14,15,14,15,29
EL PUENTE(STC),internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
EL TORNO,internaciones,fallecidos antes de las 48 horas,2013-06-01,2,0,2,0,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2013-06-01,2,1,2,1,3
HUANUNI,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2013-06-01,23,29,23,29,52
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,1,1,1,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,1,1,1,2
ORURO,internaciones,fallecidos antes de las 48 horas,2013-06-01,7,422,7,422,429
POTOSI,internaciones,fallecidos antes de las 48 horas,2013-06-01,7,8,7,8,15
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,1,1,1,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2013-06-01,2,0,2,0,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2013-06-01,12,3,12,3,15
ROBORE,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,1,1,1,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,1,1,1,2
SACABA,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,1,0,1,1
SAMAIPATA,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2013-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2013-06-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2013-06-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2013-06-01,31,26,31,26,57
SUCRE,internaciones,fallecidos antes de las 48 horas,2013-06-01,14,15,14,15,29
