municipality,group,variable,month,Total N° de perros y gatos con vacuna antirrábica,TOTAL
OMEREQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1355,1355
ORURO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,303,303
PALOS BLANCOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,39,39
PAMPA AULLAGAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,10,10
PAZÑA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,70,70
POCOATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,10,10
POJO (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,4,4
PORTACHUELO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,135,135
POSTRER VALLE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,526,526
PUCARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
PUERTO ACOSTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,178,178
PUERTO CARABUCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,274,274
PUERTO PEREZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
PUERTO RICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,56,56
PUNA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,174,174
PUNATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,251,251
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1412,1412
QUIME,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,27,27
QUIRUSILLAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,68,68
ROBORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,176,176
SACABA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,1411,1411
SACABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,10,10
SAN ANTONIO DE LOMERIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,122,122
SAN BENITO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,40,40
SAN CARLOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,272,272
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,725,725
SAN LUCAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,3,3
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,564,564
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,4,4
SAN RAMON BENI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,465,465
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,3052,3052
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,517,517
SANTIAGO DE HUARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
SANTIAGO DE MACHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,14,14
SANTUARIO DE QUILLACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
SHINAOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,3,3
SICAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,6,6
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,146,146
SORACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,28,28
TACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,84,84
TACOPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,18,18
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,79,79
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,54,54
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,367,367
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,765,765
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,12,12
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,5,5
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,5,5
TURCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,30,30
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,140,140
VALLEGRANDE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,226,226
VIACHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,180,180
VILA VILA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,34,34
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,30,30
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,43,43
VILLA VACA GUZMAN (MUYUPAMPA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,20,20
VILLAZON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,16,16
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,147,147
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,2153,2153
YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-01-01,717,717
ACHACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,62,62
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,33,33
ANZALDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,120,120
ARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,7,7
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,144,144
ARQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,22,22
ATOCHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,5,5
BATALLAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,230,230
BELEN DE ANDAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,2,2
"CAIZA ""D""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,1,1
CAJUATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
CALAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,35,35
CAQUIAVIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,24,24
CARANAVI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,40,40
CARAPARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,31,31
CHUA COCANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,5,5
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,749,749
COCAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,14,14
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,3761,3761
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,336,336
"COLCHA ""K""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,142,142
COLLANA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,50,50
COLOMI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,8,8
CONCEPCION,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,48,48
COROICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
COTAGAITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
CUCHUMUELA (V. G. VILLARROEL),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
EL ALTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,846,846
EL TORNO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,121,121
ENTRE RIOS CBBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
ESCOMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,22,22
EUREKA (SANTOS MERCADO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,29,29
HUATAJATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
HUMANATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,50,50
IRUPANA (VILLA DE LANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
IXIAMAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,400,400
LA PAZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,331,331
MACHACAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,55,55
MECAPACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,30,30
MIZQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,77,77
MONTERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,25,25
NACEBE (SANTA ROSA DEL ABUNA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,74,74
OMEREQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,338,338
ORURO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,439,439
PAILON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,55,55
PALOS BLANCOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,113,113
POCONA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
POJO (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,42,42
POROMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,2,2
PUCARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
PUERTO ACOSTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,60,60
PUNA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
PUNATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,375,375
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,291,291
QUIME,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,30,30
ROBORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,288,288
SACABA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,4272,4272
SACABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,20,20
SACACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,16,16
SAN BENITO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,39,39
SAN CARLOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,40,40
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,120,120
SAN JAVIER(BNI),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,40,40
SAN JUAN DE YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,13,13
SAN JULIAN,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,38,38
SAN PEDRO DE BUENA VISTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,3,3
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,203,203
SANTIAGO DE MACHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,18,18
SENA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,1,1
SHINAOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,26,26
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,80,80
SORACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,60,60
SORATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,35,35
TACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,40,40
TACACOMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,13,13
TAHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,18,18
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,106,106
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,682,682
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,179,179
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,15,15
TORO TORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,8,8
UNCIA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,123,123
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,105,105
VIACHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,10,10
VILA VILA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,95,95
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,24,24
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,41,41
VILLA VACA GUZMAN (MUYUPAMPA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,118,118
VILLAZON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,39,39
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,70,70
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-02-01,15,15
ACHACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,38,38
ACHOCALLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,345,345
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,1100,1100
ANCORAIMES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,40,40
ANZALDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,100,100
ARANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,6,6
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,84,84
ARQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,50,50
ATOCHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,30,30
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,7,7
BOLIVAR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,50,50
CAJUATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,10,10
CAPINOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,40,40
CATACORA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,26,26
CHALLAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,164,164
CHUQUIHUTA AYLLU JUCUMANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,10,10
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,2123,2123
COCAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,6,6
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,1595,1595
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,325,325
"COLCHA ""K""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-03-01,10,10
