municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,13,13
PUCARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
QUIME,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,7,7
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,4,4
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-05-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,5,5
CABEZAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-06-01,1,1
