,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,17,2,17,19
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,11,3,11,14
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,115,86,115,86,201
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,61,335,61,335,396
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,17,82,17,82,99
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1,20,1,20,21
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,49,5,49,5,54
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,21,121,21,121,142
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,49,197,49,197,246
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,28,102,28,102,130
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,41,80,41,80,121
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,23,116,23,116,139
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,22,7,22,29
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,24,121,24,121,145
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,233,0,233,0,233
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,50,0,50,0,50
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,277,305,277,305,582
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,85,251,85,251,336
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,70,15,70,85
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,76,209,76,209,285
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,182,385,182,385,567
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,16,193,16,193,209
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,18,71,18,71,89
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,23,23,23,23,46
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,0,5,0,5,5
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,109,247,109,247,356
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,11,62,11,62,73
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,78,377,78,377,455
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,12,4,12,16
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,67,118,67,118,185
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,32,96,32,96,128
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,18,4,18,22
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,0,17,0,17,17
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,44,111,44,111,155
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,17,133,17,133,150
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,92,156,92,156,248
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,117,674,117,674,791
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2733,2852,2733,2852,5585
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1,8,1,8,9
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,255,365,255,365,620
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,85,15,85,100
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,19,3,19,22
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,71,185,71,185,256
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,58,7,58,65
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,75,323,75,323,398
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,71,13,71,84
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,91,156,91,156,247
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,21,4,21,25
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,28,242,28,242,270
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,25,6,25,31
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,47,175,47,175,222
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,30,68,30,68,98
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,36,87,36,87,123
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,89,7,89,96
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,27,15,27,15,42
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,78,19,78,97
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,60,260,60,260,320
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,487,285,487,285,772
CUATRO CAÑADAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,64,49,64,49,113
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,16,0,16,0,16
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,56,5,56,61
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,258,0,258,0,258
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,21,61,21,61,82
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,11,19,11,30
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,42,13,42,55
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3534,6333,3534,6333,9867
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,58,9,58,67
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,136,0,136,0,136
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,20,116,20,116,136
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,132,248,132,248,380
EL VILLAR,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,69,0,69,0,69
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,32,264,32,264,296
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,162,252,162,252,414
ESMERALDA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,0,5,0,5
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,69,7,69,76
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,11,2,11,13
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,8,11,8,11,19
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,26,106,26,106,132
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,29,7,29,36
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,42,157,42,157,199
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,44,13,44,57
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,24,102,24,102,126
GUAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,29,14,29,43
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,103,416,103,416,519
GUTIERREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,33,303,33,303,336
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,117,0,117,0,117
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,35,0,35,0,35
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,8,6,8,14
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,46,265,46,265,311
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,61,6,61,67
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,54,7,54,61
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,8,20,8,20,28
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,161,0,161,0,161
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,332,0,332,0,332
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,7,6,7,13
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,35,101,35,101,136
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,29,151,29,151,180
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,85,9,85,94
JESUS DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,16,127,16,127,143
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,115,211,115,211,326
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,148,614,148,614,762
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2617,4837,2617,4837,7454
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1,2,1,2,3
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,86,14,86,100
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,43,167,43,167,210
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,44,0,44,0,44
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,11,17,11,17,28
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,116,369,116,369,485
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,30,6,30,36
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,23,6,23,6,29
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,18,95,18,95,113
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,68,14,68,82
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,137,0,137,0,137
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,142,19,142,161
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,124,19,124,143
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,32,7,32,39
MAPIRI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,21,155,21,155,176
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,44,44,44,44,88
MINEROS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,27,318,27,318,345
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,96,123,96,123,219
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,28,58,28,58,86
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,7,2,7,9
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,108,0,108,0,108
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,386,0,386,0,386
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,161,833,161,833,994
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,24,4,24,28
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,180,154,180,154,334
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,24,2,24,26
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,0,3,0,3,3
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,34,210,34,210,244
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,135,13,135,148
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,43,19,43,62
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1146,2529,1146,2529,3675
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,77,141,77,141,218
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,174,0,174,0,174
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,33,214,33,214,247
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,37,53,37,53,90
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,64,208,64,208,272
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,39,10,39,49
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,48,15,48,63
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,12,14,12,14,26
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,31,3,31,34
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,153,101,153,101,254
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,11,59,11,59,70
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,47,13,47,60
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,37,252,37,252,289
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,94,32,94,32,126
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,50,67,50,67,117
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,21,66,21,66,87
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,27,132,27,132,159
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,183,0,183,0,183
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,72,0,72,0,72
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,53,181,53,181,234
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,75,15,75,90
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,2,22,2,22,24
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,652,1574,652,1574,2226
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,122,0,122,0,122
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,13,5,13,18
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,55,197,55,197,252
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,35,102,35,102,137
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,26,80,26,80,106
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,58,10,58,68
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,17,24,17,24,41
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,41,160,41,160,201
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,73,9,73,82
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,1,7,1,8
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,153,1,153,1,154
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,130,303,130,303,433
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,62,313,62,313,375
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,138,354,138,354,492
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,22,2,22,2,24
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,663,249,663,249,912
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,32,83,32,83,115
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,11,3,11,14
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,17,176,17,176,193
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,142,19,142,161
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,489,1592,489,1592,2081
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,22,195,22,195,217
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,12,142,12,142,154
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,28,11,28,11,39
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,465,991,465,991,1456
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,12,46,12,46,58
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,47,227,47,227,274
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,21,56,21,56,77
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,28,95,28,95,123
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,18,93,18,93,111
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,3,16,3,16,19
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,42,78,42,78,120
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,27,6,27,33
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,20,9,20,29
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,130,7,130,137
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,42,50,42,50,92
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,85,511,85,511,596
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,29,119,29,119,148
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,34,199,34,199,233
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,66,232,66,232,298
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,132,875,132,875,1007
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,12,13,12,13,25
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,40,142,40,142,182
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,61,13,61,74
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,165,32,165,32,197
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,105,10,105,115
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,57,190,57,190,247
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,5,21,5,21,26
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,16,194,16,194,210
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,511,0,511,0,511
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,42,96,42,96,138
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,22,91,22,91,113
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,12,36,12,36,48
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,30,176,30,176,206
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,31,136,31,136,167
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,50,6,50,56
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,37,7,37,44
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1,11,1,11,12
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,10,103,10,103,113
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,22,26,22,26,48
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,32,95,32,95,127
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,141,147,141,147,288
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4652,5259,4652,5259,9911
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,20,130,20,130,150
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,23,111,23,111,134
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,15,25,15,25,40
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,73,14,73,87
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,24,7,24,31
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,7,53,7,53,60
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,13,19,13,19,32
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,16,67,16,67,83
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,6,36,6,36,42
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,24,177,24,177,201
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,23,4,23,27
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,90,354,90,354,444
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,138,0,138,0,138
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,20,91,20,91,111
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,67,132,67,132,199
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1906,0,1906,0,1906
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,4,4,4,8
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,19,48,19,48,67
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,14,80,14,80,94
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,26,106,26,106,132
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,4,2,4,2,6
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,89,181,89,181,270
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,273,0,273,0,273
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,9,32,9,32,41
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,35,98,35,98,133
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2009-01-01,1080,1405,1080,1405,2485
