,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,11,178,11,178,189
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,180,0,180,0,180
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,17,69,17,69,86
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,34,0,34,34
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,6,1,6,7
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,12,0,12,12
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,15,4,15,19
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,70,97,70,97,167
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,415,4,415,419
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,21,120,21,120,141
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,18,5,18,23
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,47,3,47,3,50
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,152,16,152,168
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,28,137,28,137,165
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,71,10,71,81
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,27,58,27,58,85
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,9,86,9,86,95
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,46,14,46,60
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,8,126,8,126,134
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,219,0,219,0,219
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,46,0,46,0,46
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,101,215,101,215,316
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,64,182,64,182,246
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,42,7,42,49
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,62,163,62,163,225
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,36,354,36,354,390
CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,1,0,1,1
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,220,10,220,230
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,11,70,11,70,81
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,11,3,11,14
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,16,1,16,17
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,54,240,54,240,294
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,43,4,43,47
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,266,7,266,273
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,7,0,7,7
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,37,120,37,120,157
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,27,134,27,134,161
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,7,3,7,10
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,15,0,15,15
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,18,38,18,38,56
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,92,4,92,96
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,34,111,34,111,145
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,111,343,111,343,454
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1120,1602,1120,1602,2722
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,6,2,6,8
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,165,154,165,154,319
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,54,2,54,56
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,15,2,15,17
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,22,105,22,105,127
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,44,3,44,47
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,40,446,40,446,486
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,17,70,17,70,87
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,55,87,55,87,142
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,22,2,22,24
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,109,0,109,109
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,35,3,35,38
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,93,10,93,103
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,25,35,25,35,60
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,76,14,76,90
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,11,74,11,74,85
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,21,11,21,11,32
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,80,10,80,90
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,31,214,31,214,245
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,247,143,247,143,390
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,26,45,26,45,71
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,0,16,0,16
CUEVO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,40,0,40,40
CULPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,230,0,230,0,230
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,63,10,63,73
CURVA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,8,13,8,13,21
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,19,2,19,21
EL ALTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1612,3245,1612,3245,4857
EL CHORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,54,3,54,57
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,126,0,126,0,126
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,133,10,133,143
EL TORNO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,96,99,96,99,195
EL VILLAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,68,0,68,0,68
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,270,14,270,284
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,71,189,71,189,260
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,12,66,12,66,78
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,15,1,15,16
EXALTACION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,15,2,15,17
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,70,3,70,73
FILADELFIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,29,6,29,35
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,27,162,27,162,189
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,51,5,51,56
GUANAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,79,6,79,85
GUAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,22,10,22,32
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,23,240,23,240,263
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,35,287,35,287,322
HUACARETA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,104,0,104,0,104
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,36,0,36,0,36
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,9,0,9,9
HUANUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,33,156,33,156,189
HUARACAJE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,33,0,33,33
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,35,6,35,41
ICHOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,30,3,30,33
ICLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,166,0,166,0,166
INCAHUASI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,301,0,301,0,301
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,1,4,1,5
INQUISIVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,70,16,70,86
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,100,10,100,110
IXIAMAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,29,16,29,45
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,71,16,71,87
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,54,63,54,63,117
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,28,353,28,353,381
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1171,2379,1171,2379,3550
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,142,0,142,142
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,36,78,36,78,114
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,47,0,47,0,47
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,28,4,28,32
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,41,195,41,195,236
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,32,4,32,36
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,4,14,4,18
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,8,107,8,107,115
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,41,6,41,47
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,107,0,107,0,107
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,81,5,81,86
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,19,50,19,50,69
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,23,4,23,27
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,97,0,97,97
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,29,40,29,40,69
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,221,0,221,221
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,51,166,51,166,217
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,13,22,13,22,35
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,3,0,3,3
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,92,0,92,0,92
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,417,0,417,0,417
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,621,7,621,628
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,16,3,16,19
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,92,198,92,198,290
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,17,6,17,23
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,1,0,1,1
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,303,0,303,303
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,97,0,97,97
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,39,14,39,53
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,419,1702,419,1702,2121
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,85,244,85,244,329
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,165,0,165,0,165
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,143,3,143,146
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,19,48,19,48,67
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,187,5,187,192
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,24,10,24,34
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,16,26,16,26,42
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,8,16,8,16,24
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,30,2,30,32
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,21,63,21,63,84
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,9,62,9,62,71
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,34,3,34,37
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,38,280,38,280,318
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,61,30,61,30,91
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,30,102,30,102,132
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,4,46,4,46,50
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,9,89,9,89,98
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,198,0,198,0,198
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,70,0,70,0,70
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,9,131,9,131,140
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,11,65,11,65,76
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,17,0,17,17
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,261,1042,261,1042,1303
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,138,0,138,0,138
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,14,3,14,17
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,46,72,46,72,118
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,24,43,24,43,67
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,10,46,10,46,56
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,46,7,46,53
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,31,0,31,31
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,1,42,1,42,43
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,3,76,3,76,79
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,14,0,14,0,14
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,46,0,46,0,46
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,54,249,54,249,303
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,41,300,41,300,341
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,70,197,70,197,267
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,15,0,15,0,15
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,370,143,370,143,513
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,27,56,27,56,83
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,8,0,8,8
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,140,0,140,140
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,129,0,129,129
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,320,1165,320,1165,1485
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,163,5,163,168
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,100,0,100,100
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,24,8,24,8,32
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,218,602,218,602,820
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,21,39,21,39,60
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,231,7,231,238
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,25,6,25,31
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,23,122,23,122,145
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,6,31,6,31,37
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,15,0,15,15
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,33,76,33,76,109
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,8,23,8,23,31
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,5,14,5,14,19
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,7,87,7,87,94
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,22,28,22,28,50
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,313,0,313,313
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,20,84,20,84,104
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,2,137,2,137,139
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,36,220,36,220,256
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,98,443,98,443,541
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,15,19,15,19,34
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,11,110,11,110,121
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,45,0,45,45
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,63,25,63,25,88
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,0,109,0,109,109
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2009-01-01,21,132,21,132,153
