,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,8,159,8,159,167
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,436,0,436,0,436
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,30,140,30,140,170
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,61,0,61,61
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,15,5,15,20
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,25,0,25,25
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,29,3,29,32
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,81,145,81,145,226
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,10,422,10,422,432
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,17,77,17,77,94
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,54,5,54,59
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,82,11,82,11,93
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,24,215,24,215,239
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,20,240,20,240,260
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,185,5,185,190
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,34,61,34,61,95
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,29,112,29,112,141
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,42,18,42,60
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,171,3,171,174
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,424,0,424,0,424
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,83,0,83,0,83
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,157,433,157,433,590
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,67,191,67,191,258
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,8,104,8,104,112
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,52,51,52,51,103
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,40,355,40,355,395
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,207,3,207,210
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,186,5,186,191
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,10,14,10,14,24
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,21,1,21,22
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,71,172,71,172,243
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,39,4,39,43
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,17,396,17,396,413
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,12,1,12,13
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,38,272,38,272,310
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,36,209,36,209,245
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,14,1,14,15
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,12,0,12,12
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,9,23,9,23,32
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,12,98,12,98,110
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,47,170,47,170,217
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,82,483,82,483,565
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1496,2128,1496,2128,3624
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,7,1,7,8
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,223,192,223,192,415
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,76,2,76,78
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,33,0,33,33
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,24,125,24,125,149
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,61,1,61,62
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,27,258,27,258,285
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,26,75,26,75,101
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,58,167,58,167,225
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,19,0,19,19
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,168,0,168,168
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,8,70,8,70,78
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,13,124,13,124,137
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,31,85,31,85,116
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,17,103,17,103,120
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,46,5,46,51
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,23,47,23,47,70
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,12,99,12,99,111
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,37,336,37,336,373
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,301,187,301,187,488
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,74,90,74,90,164
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,33,0,33,0,33
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,114,0,114,114
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,443,0,443,0,443
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,46,5,46,51
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,29,17,29,17,46
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,7,17,7,17,24
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1424,3260,1424,3260,4684
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,24,3,24,27
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,189,0,189,0,189
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,13,209,13,209,222
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,56,216,56,216,272
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,193,0,193,0,193
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,26,239,26,239,265
ENTRE RIOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,136,315,136,315,451
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,1,3,1,4
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,68,4,68,72
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,25,1,25,26
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,17,1,17,18
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,15,240,15,240,255
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,8,28,8,28,36
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,15,177,15,177,192
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,11,84,11,84,95
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,74,1,74,75
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,14,3,14,17
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,27,299,27,299,326
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,776,18,776,794
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,234,0,234,0,234
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,112,0,112,0,112
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,23,2,23,25
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,152,6,152,158
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,80,0,80,80
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,42,4,42,46
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,26,2,26,28
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,594,0,594,0,594
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,629,0,629,0,629
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,7,5,7,12
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,14,95,14,95,109
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,22,202,22,202,224
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,86,4,86,90
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,14,209,14,209,223
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,31,64,31,64,95
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,33,467,33,467,500
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1559,3026,1559,3026,4585
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,1,0,1,1
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,280,1,280,281
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,24,129,24,129,153
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,123,0,123,0,123
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,5,45,5,45,50
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,218,0,218,218
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,30,1,30,31
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,26,23,26,23,49
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,8,96,8,96,104
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,11,42,11,42,53
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,247,0,247,0,247
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,103,3,103,106
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,25,80,25,80,105
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,60,3,60,63
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,103,0,103,103
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,30,41,30,41,71
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,7,340,7,340,347
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,67,329,67,329,396
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,19,57,19,57,76
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,8,0,8,8
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,288,0,288,0,288
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,524,0,524,0,524
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,16,914,16,914,930
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,44,3,44,47
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,113,159,113,159,272
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,38,4,38,42
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,3,0,3,3
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,280,0,280,280
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,170,0,170,170
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,10,59,10,59,69
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,473,1376,473,1376,1849
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,61,162,61,162,223
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,435,0,435,0,435
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,212,1,212,213
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,16,63,16,63,79
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,14,274,14,274,288
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,36,18,36,54
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,9,71,9,71,80
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,3,4,3,7
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,52,2,52,54
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,30,59,30,59,89
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,9,48,9,48,57
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,76,0,76,76
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,29,171,29,171,200
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,90,38,90,38,128
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,31,78,31,78,109
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,35,6,35,41
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,40,3,40,43
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,288,0,288,0,288
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,102,0,102,0,102
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,192,18,192,210
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,10,74,10,74,84
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,21,4,21,25
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,337,1026,337,1026,1363
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,300,0,300,0,300
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,35,1,35,36
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,52,81,52,81,133
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,32,75,32,75,107
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,85,4,85,89
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,109,3,109,112
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,58,6,58,64
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,43,6,43,49
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,4,57,4,57,61
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,7,0,7,0,7
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,54,0,54,0,54
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,72,383,72,383,455
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,43,398,43,398,441
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,102,176,102,176,278
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,37,0,37,0,37
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,374,130,374,130,504
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,43,56,43,56,99
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,20,0,20,20
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,208,0,208,208
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,183,0,183,183
RIBERALTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,367,983,367,983,1350
ROBORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,138,0,138,138
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,116,0,116,116
SABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,16,15,16,15,31
SACABA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,234,614,234,614,848
SACABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,21,20,21,20,41
SACACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,15,425,15,425,440
SAIPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,6,38,6,38,44
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,31,106,31,106,137
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,2,58,2,58,60
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,21,1,21,22
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,33,109,33,109,142
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,15,3,15,18
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,3,16,3,16,19
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,15,252,15,252,267
SAN BENITO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,40,53,40,53,93
SAN BORJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,392,0,392,392
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,24,146,24,146,170
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,1,146,1,146,147
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,65,246,65,246,311
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,191,746,191,746,937
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,19,24,19,24,43
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,18,217,18,217,235
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,55,0,55,55
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,143,46,143,46,189
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2009-01-01,0,164,0,164,164
