municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
POROMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,6,6
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,27,27
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,9,9
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,17,17
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,14,14
QUIME,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,38,38
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,9,9
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,5,5
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,6,6
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,7,7
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,26,26
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,47,47
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,15,15
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,16,16
TARACO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,2,2
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,19,19
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,1,1
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,8,8
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,29,29
YAPACANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,3,3
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,4,4
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-02-01,68,68
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,90,90
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,37,37
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,15,15
APOLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,20,20
BAURES,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,4,4
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,14,14
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,12,12
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,5,5
CABEZAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
CAIROMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,9,9
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,14,14
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,9,9
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,9,9
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,1,1
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,3,3
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,15,15
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,27,27
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,15,15
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,7,7
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2006-03-01,2,2
