,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,11,15,36,37,47,52,99
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,19,13,28,44,47,57,104
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,2,34,46,37,48,85
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,2,179,113,184,115,299
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,1,82,66,83,67,150
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,9,7,32,40,41,47,88
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,14,6,14,6,20
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,54,35,54,35,89
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,13,23,18,21,31,44,75
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,15,22,164,126,179,148,327
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,50,67,49,76,99,143,242
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,6,12,39,47,45,59,104
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,0,2,0,2,2
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,80,83,7,13,87,96,183
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,37,25,267,246,304,271,575
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,142,148,543,471,685,619,1304
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,0,10,9,15,9,24
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,13,10,46,42,59,52,111
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,0,4,3,6,3,9
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,0,26,47,29,47,76
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,11,151,143,163,154,317
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,83,94,0,0,83,94,177
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,12,9,54,39,66,48,114
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,203,231,871,826,1074,1057,2131
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,13,120,101,130,114,244
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,5,168,165,175,170,345
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,27,29,164,140,191,169,360
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,20,24,35,31,55,55,110
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,22,15,148,133,170,148,318
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,2,19,24,21,26,47
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,6,19,26,22,32,54
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,3,22,16,22,19,41
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,19,18,36,24,55,42,97
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,5,39,29,42,34,76
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,2,85,93,88,95,183
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,2,13,21,18,23,41
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,22,12,102,103,124,115,239
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,35,41,48,46,83,87,170
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,5,72,35,77,40,117
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,4,4,31,38,35,42,77
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,4,4,46,45,50,49,99
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,24,14,154,139,178,153,331
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,35,29,63,55,98,84,182
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,20,20,86,106,106,126,232
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,2,0,28,36,30,36,66
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,0,11,17,11,17,28
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,161,162,483,430,644,592,1236
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,119,116,0,0,119,116,235
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,0,2,12,10,12,12,24
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,9,21,67,96,76,117,193
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,6,2,19,14,25,16,41
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,7,7,56,56,63,63,126
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,1,0,61,78,62,78,140
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,5,3,33,43,38,46,84
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,6,6,50,33,56,39,95
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,3,3,35,38,38,41,79
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,10,12,0,0,10,12,22
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,41,39,3,5,44,44,88
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,74,75,284,262,358,337,695
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-01-01,20,24,186,148,206,172,378
