,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,19,13,194,196,213,209,422
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,23,4,53,62,76,66,142
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,11,13,73,81,84,94,178
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,4,61,53,64,57,121
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,2,15,18,16,20,36
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,103,127,469,383,572,510,1082
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,9,2,107,112,116,114,230
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,2,14,15,14,17,31
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,22,16,139,132,161,148,309
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,6,19,22,23,28,51
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,6,45,45,50,51,101
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,6,136,120,138,126,264
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,5,26,38,29,43,72
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,36,50,36,50,86
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,9,8,45,46,54,54,108
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,2,12,17,16,19,35
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,11,17,26,25,37,42,79
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,86,72,278,288,364,360,724
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,25,19,194,214,219,233,452
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,75,64,74,71,149,135,284
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,6,15,6,20,12,32
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,224,209,453,444,677,653,1330
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,2,70,60,73,62,135
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,12,14,13,14,27
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,32,29,230,267,262,296,558
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,3,61,69,63,72,135
RIBERALTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,106,105,540,516,646,621,1267
ROBORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,3,83,89,87,92,179
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,76,64,77,64,141
SABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,5,22,24,23,29,52
SACABA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,111,94,471,537,582,631,1213
SACABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,4,43,53,43,57,100
SACACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,18,7,176,227,194,234,428
SAIPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,39,52,39,52,91
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,7,11,120,93,127,104,231
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,7,36,35,40,42,82
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,1,8,18,10,19,29
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,24,18,77,98,101,116,217
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,4,9,7,10,11,21
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,5,11,7,15,12,27
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,9,14,63,60,72,74,146
SAN BENITO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,12,7,84,74,96,81,177
SAN BORJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,4,232,245,235,249,484
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,7,38,68,46,75,121
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,19,6,103,131,122,137,259
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,139,141,229,211,368,352,720
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,74,66,424,406,498,472,970
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,8,22,14,25,22,47
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,9,16,21,40,30,56,86
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,3,17,17,17,20,37
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,18,23,42,62,60,85,145
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,4,64,46,69,50,119
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,30,33,139,145,169,178,347
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,7,9,33,48,40,57,97
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,16,11,151,137,167,148,315
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,39,42,622,637,661,679,1340
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,8,52,49,55,57,112
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,16,8,120,125,136,133,269
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,6,11,6,11,17
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,7,127,125,132,132,264
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,26,24,244,245,270,269,539
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,3,47,44,52,47,99
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,4,6,4,6,10
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,0,29,45,31,45,76
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,2,15,11,16,13,29
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,20,18,47,37,67,55,122
SAN RAMON BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,6,29,36,37,42,79
SAN RAMON SCZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,40,59,24,32,64,91,155
SANTA ANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,6,7,76,84,82,91,173
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,761,687,1554,1489,2315,2176,4491
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,4,58,59,60,63,123
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,16,8,63,69,79,77,156
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,1,7,27,9,28,37
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,10,2,104,110,114,112,226
SANTIAGO DE HUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,1,5,5,7,6,13
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,1,44,56,44,57,101
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,8,40,43,41,51,92
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,20,20,21,20,41
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,7,0,49,53,56,53,109
SENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,2,15,15,16,17,33
SHINAOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,28,23,200,194,228,217,445
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,22,28,133,135,155,163,318
SICAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,21,13,21,13,34
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,79,89,130,123,209,212,421
SOPACHUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,114,134,115,134,249
SORACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,6,7,99,134,105,141,246
SORATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,25,20,96,100,121,120,241
SUCRE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,357,374,1872,1796,2229,2170,4399
TACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,6,2,2,6,8,14
TACACOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,18,29,34,22,52,51,103
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,62,66,63,66,129
TACOPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,5,173,182,181,187,368
TAHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,3,0,3,0,3
TAPACARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,26,29,266,209,292,238,530
TARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,4,328,328,332,332,664
TARACO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,1,20,21,22,22,44
TARATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,0,35,39,38,39,77
TARIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,267,217,494,434,761,651,1412
TARVITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,7,297,292,305,299,604
TEOPONTE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,1,80,66,80,67,147
TIAWANACU,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,24,22,60,78,84,100,184
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,29,20,134,112,163,132,295
TIPUANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,6,68,61,72,67,139
TIQUIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,181,205,363,421,544,626,1170
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,1,102,105,107,106,213
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,11,8,12,8,20
TOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,11,14,27,33,38,47,85
TODOS SANTOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,0,1,2,3,2,5
TOLATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,51,44,14,10,65,54,119
TOLEDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,2,31,44,31,46,77
TOMAVE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,8,72,83,75,91,166
TOMINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,5,199,235,203,240,443
TORO TORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,7,7,134,145,141,152,293
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,19,23,33,39,52,62,114
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,2,3,41,52,43,55,98
TRIGAL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,6,14,6,14,20
TRINIDAD,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,214,232,318,301,532,533,1065
TUPIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,0,327,266,328,266,594
TURCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,6,7,60,53,66,60,126
UMALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,10,4,80,77,90,81,171
UNCIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,22,19,103,98,125,117,242
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,21,16,141,136,162,152,314
URUBICHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,2,145,241,148,243,391
UYUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,9,133,120,141,129,270
VACAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,35,30,39,39,74,69,143
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,8,9,50,38,58,47,105
VIACHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,40,36,231,223,271,259,530
VILA VILA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,11,7,92,94,103,101,204
VILLA CHARCAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,30,27,193,200,223,227,450
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,36,36,165,168,201,204,405
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,1,55,77,56,78,134
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,47,47,12,3,59,50,109
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,7,3,159,160,166,163,329
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,264,243,547,460,811,703,1514
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,6,7,104,91,110,98,208
VILLAZON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,18,13,223,251,241,264,505
VINTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,82,96,71,84,153,180,333
VITICHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,6,107,103,112,109,221
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,1,5,12,13,13,18,31
WARNES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,52,65,182,154,234,219,453
YACO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,6,15,75,69,81,84,165
YACUIBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,102,93,331,302,433,395,828
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,4,1,146,159,150,160,310
YANACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,1,20,55,20,56,76
YAPACANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,41,29,176,192,217,221,438
YOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,4,37,45,40,49,89
YOTALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,2,114,121,117,123,240
YUNCHARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,5,2,110,81,115,83,198
YUNGUYO DE LITORAL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,0,0,0,2,0,2,2
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-06-01,3,5,165,179,168,184,352
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,4,62,87,63,91,154
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,34,25,171,164,205,189,394
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,5,45,31,15,36,60,96
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,36,25,178,176,214,201,415
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,5,2,42,38,47,40,87
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,4,6,61,64,65,70,135
ALTO BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,5,5,52,53,57,58,115
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,1,53,65,55,66,121
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,3,3,67,69,70,72,142
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,3,2,22,24,25,26,51
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,16,5,48,56,64,61,125
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,23,23,138,146,161,169,330
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,8,7,51,57,59,64,123
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,0,78,66,79,66,145
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,34,28,110,112,144,140,284
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,3,161,133,163,136,299
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,20,15,43,69,63,84,147
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,5,5,74,58,79,63,142
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,4,3,22,18,26,21,47
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,11,2,72,70,83,72,155
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,14,12,28,16,42,28,70
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,18,26,176,183,194,209,403
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,5,209,212,211,217,428
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,11,9,78,73,89,82,171
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,2,24,25,26,27,53
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,1,8,8,8,9,17
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,4,3,8,11,12,14,26
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,1,17,20,17,21,38
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,93,93,100,127,193,220,413
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,40,33,337,268,377,301,678
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,20,16,167,132,187,148,335
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,2,26,19,27,21,48
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,1,36,45,37,46,83
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,5,75,95,76,100,176
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,6,7,82,83,88,90,178
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,3,3,73,67,76,70,146
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,12,6,70,73,82,79,161
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,3,78,63,79,66,145
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,2,42,28,44,30,74
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,3,8,55,79,58,87,145
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,11,8,176,187,187,195,382
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,3,61,52,62,55,117
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,84,96,164,166,248,262,510
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,38,30,124,92,162,122,284
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,2,1,40,39,42,40,82
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,30,17,134,119,164,136,300
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,73,63,226,215,299,278,577
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,0,2,1,2,1,3
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,14,13,79,85,93,98,191
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,12,10,143,118,155,128,283
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,4,4,21,24,25,28,53
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,1,0,6,2,7,2,9
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,0,1,2,1,2,3
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,16,21,189,164,205,185,390
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,0,34,46,34,46,80
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,30,27,175,179,205,206,411
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,0,21,25,21,25,46
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,11,11,74,76,85,87,172
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,87,76,115,94,202,170,372
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,0,13,15,13,15,28
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,0,2,2,1,2,3,5
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2011-07-01,3,9,38,38,41,47,88
