municipality,group,variable,month,Niñas(os) menores de 6 meses con dosis completa de hierro,TOTAL
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,5,5
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,4,4
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,2,2
VINTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-01-01,1,1
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,4,4
CAPINOTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,3,3
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,3,3
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,5,5
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
CUEVO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,43,43
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,42,42
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,7,7
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
MONTERO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,5,5
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,4,4
POJO (CBBA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,43,43
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
SACABA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
SAIPINA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,5,5
SANTA ROSA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,3,3
TEOPONTE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,2,2
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,3,3
UYUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,5,5
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-02-01,4,4
BUENA VISTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,2,2
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
COROICO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,30,30
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,3,3
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,59,59
MONTERO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,5,5
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,93,93
PAILON,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,2,2
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,69,69
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,3,3
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,8,8
SAN JOAQUIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,22,22
SANTA ROSA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,2,2
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,1,1
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-03-01,7,7
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,3,3
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,2,2
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,27,27
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,6,6
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,33,33
LAGUNILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,5,5
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,19,19
PUCARANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,11,11
QUILLACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,19,19
RURRENABAQUE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,3,3
SAIPINA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
SAN LORENZO(TJA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,1,1
VILLA MONTES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-04-01,4,4
BAURES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,9,9
"COLCHA ""K""",micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,4,4
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,35,35
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
GUTIERREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,8,8
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,9,9
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,10,10
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,33,33
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,10,10
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,9,9
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,5,5
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,16,16
VALLEGRANDE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-05-01,1,1
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,2,2
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,2,2
CARANAVI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,14,14
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,30,30
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,19,19
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,17,17
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,2,2
ORURO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
PORONGO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,13,13
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,2,2
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,4,4
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
SORACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
SUCRE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,11,11
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-06-01,1,1
ACHACACHI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,2,2
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,9,9
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,16,16
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,13,13
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,7,7
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,46,46
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,2,2
MONTEAGUDO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
PORCO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,2,2
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,8,8
SANTA ROSA DEL SARA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,2,2
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,13,13
VIACHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-07-01,6,6
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
BUENA VISTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,11,11
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
CAPINOTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,2,2
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,3,3
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,13,13
COMARAPA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,4,4
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,21,21
EL PUENTE(STC),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,3,3
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,22,22
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,2,2
PUERTO VILLARROEL,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,14,14
SAN ANDRES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
SAN RAMON BENI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,16,16
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,3,3
TODOS SANTOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-08-01,1,1
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,6,6
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,2,2
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,11,11
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,2,2
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,34,34
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,4,4
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,29,29
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,3,3
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,4,4
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,4,4
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,9,9
ROBORE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
SAN CARLOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,10,10
SAN JULIAN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,23,23
SAN RAMON BENI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,30,30
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
TUPIZA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-09-01,1,1
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
BERMEJO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,6,6
CARACOLLO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
COCHABAMBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,5,5
COLQUENCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
CONCEPCION,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
COTAGAITA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,41,41
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,2,2
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,5,5
IXIAMAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,76,76
POTOSI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,46,46
PUERTO QUIJARRO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,3,3
REYES,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,7,7
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,5,5
ROBORE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
SACABA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,9,9
SAN JOAQUIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,3,3
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,11,11
SANTA ROSA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
SANTA ROSA DEL SARA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,2,2
UYUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,2,2
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,6,6
CAMIRI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,10,10
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,1,1
EL ALTO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,33,33
ENTRE RIOS CBBA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,2,2
HUARACAJE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,2,2
LA PAZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,38,38
MAGDALENA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,3,3
PUERTO SUAREZ,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,3,3
QUIRUSILLAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,1,1
RIBERALTA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,3,3
SAN BORJA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,11,11
SAN BUENA VENTURA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,1,1
SAN IGNACIO,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,7,7
SAN JOAQUIN,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,12,12
TIQUIPAYA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,3,3
TRINIDAD,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,10,10
UYUNI,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-11-01,1,1
AIQUILE,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
ATOCHA,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,1,1
CABEZAS,micronutrientes,ninas(os) menores de 6 meses con dosis completa de hierro,2022-12-01,5,5
