municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
CHIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,18,18
CHUA COCANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,18,18
CHUMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,78,78
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,79,79
CKOCHAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,124,124
CLIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,106,106
COBIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,509,509
COCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,198,198
COCHABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2110,2110
COIPASA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,8,8
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,184,184
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,111,111
COLLANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,12,12
COLOMI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,186,186
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
COLQUECHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,169,169
COLQUENCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,117,117
COLQUIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,157,157
COMANCHE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,23,23
COMBAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,7,7
CONCEPCION,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,206,206
COPACABANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,62,62
CORIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,82,82
CORO CORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,53,53
COROICO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,9,9
CORQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,53,53
COTAGAITA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,5,5
COTOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,190,190
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,183,183
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,9,9
CUEVO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,16,16
CULPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,198,198
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,31,31
CURVA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,42,42
DESAGUADERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,24,24
EL ALTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,364,364
EL CHORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,25,25
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,68,68
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,129,129
EL TORNO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,31,31
EL VILLAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,34,34
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,460,460
ESCARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
ESCOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
ESMERALDA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,43,43
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,20,20
EXALTACION,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,11,11
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,88,88
FILADELFIA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,25,25
GAIOC JATUN AYLLU YURA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,55,55
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,46,46
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,113,113
GUANAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,23,23
GUAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,49,49
GUTIERREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,84,84
HUACARETA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,63,63
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,18,18
HUACHACALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,10,10
HUANUNI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,140,140
HUARINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
HUATAJATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,4,4
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,41,41
HUMANATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,46,46
ICHOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,31,31
ICLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,74,74
INCAHUASI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,130,130
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,22,22
INQUISIVI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,126,126
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,78,78
LA PAZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,10,10
LA RIVERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,20,20
LAJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,149,149
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,15,15
LLALLAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,512,512
LLICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,33,33
LURIBAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,48,48
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,35,35
MACHARETI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,59,59
MAGDALENA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,4,4
MAIRANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
MALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,29,29
MAPIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,59,59
MECAPACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,50,50
MINEROS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
MIZQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,182,182
MOCOMOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,118,118
MOJINETE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,8,8
MOJOCOYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,82,82
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
MONTERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,138,138
MORO MORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
MOROCHATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,13,13
OCURI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,163,163
OKINAWA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
ORURO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2043,2043
PADCAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
PAILON,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,7,7
PALCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,170,170
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,80,80
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,35,35
PASORAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,25,25
PATACAMAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,134,134
PAZÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,62,62
PELECHUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,69,69
POCOATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,253,253
POCONA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,135,135
POJO (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,112,112
POOPO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,42,42
PORCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,177,177
POROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,140,140
PORONGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,4,4
PORTACHUELO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,63,63
PORVENIR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,45,45
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,5,5
POTOSI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,557,557
PUCARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,330,330
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,65,65
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,96,96
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,61,61
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,45,45
PUERTO QUIJARRO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,28,28
PUERTO RICO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,94,94
PUERTO SUAREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,19,19
PUNA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,195,195
PUNATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,47,47
QUIABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,7,7
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,769,769
QUIME,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,44,44
QUIRUSILLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,8,8
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,98,98
RAVELO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,172,172
REYES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,46,46
RIBERALTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,49,49
ROBORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,126,126
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,130,130
SABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,35,35
SACABA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1314,1314
SACABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,27,27
SACACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,227,227
SAIPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,64,64
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,81,81
SAMAIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,18,18
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,14,14
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,52,52
SAN BENITO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,85,85
SAN BORJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,242,242
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,10,10
SAN CARLOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,179,179
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,78,78
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,390,390
SAN JAVIER(BNI),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,91,91
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,165,165
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,53,53
SAN JULIAN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,27,27
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,65,65
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,22,22
SAN LUCAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,420,420
SAN MATIAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,29,29
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,33,33
SAN PEDRO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,110,110
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,415,415
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,41,41
SAN PEDRO DE MACHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,246,246
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,5,5
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,21,21
SAN PEDRO(PND),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,11,11
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,24,24
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,30,30
SANTA ANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,50,50
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2381,2381
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,119,119
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,64,64
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,28,28
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,33,33
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,49,49
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,23,23
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,28,28
SENA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,69,69
SHINAOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,270,270
SICAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,49,49
SIPE SIPE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,17,17
SOPACHUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,77,77
SORACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,114,114
SORATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,57,57
SUCRE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,41,41
TACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,3,3
TACOBAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,85,85
TACOPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,62,62
TAHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,9,9
TAPACARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,247,247
TARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,159,159
TARACO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,26,26
TARATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,92,92
TARIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,777,777
TIAHUANACU,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,98,98
TINGUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,192,192
TIPUANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,35,35
TIQUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,187,187
TIRAQUE (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,181,181
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,10,10
TOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,47,47
TODOS SANTOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,2,2
TOLATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,39,39
TOLEDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,43,43
TOMAVE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2022-01-01,79,79
