municipality,group,variable,month,N° de perros y gatos con vacuna antirrábica,TOTAL
TITO YUPANQUI (PARQUIPUJIO),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-01-01,10,10
TRINIDAD,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-01-01,8,8
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-01-01,32,32
APOLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,30,30
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,3560,3560
EL ALTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,130,130
HUAYLLAMARCA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,60,60
LA GUARDIA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,463,463
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,41,41
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,224,224
OCURI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,45,45
OKINAWA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,60,60
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,248,248
PAILON,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,50,50
POTOSI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,41,41
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,137,137
ROBORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,60,60
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,21021,21021
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,23,23
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,1114,1114
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,2,2
SANTIAGO DE HUATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,5,5
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,14,14
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,10,10
TITO YUPANQUI (PARQUIPUJIO),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,10,10
VIACHA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,200,200
VILLAZON,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,10,10
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-02-01,234,234
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,12,12
ARBIETO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,6300,6300
CARACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,3,3
CATACORA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,2,2
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,181,181
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,408,408
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,1103,1103
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,200,200
COPACABANA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,2,2
EL ALTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,30,30
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,1387,1387
FILADELFIA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,150,150
LA GUARDIA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,20,20
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,259,259
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,110,110
OKINAWA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,125,125
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,10,10
PAILON,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,92,92
PORCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,400,400
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,449,449
ROBORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,46,46
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,1505,1505
SACABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,56,56
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,94,94
SAN JULIAN,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,10,10
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,8,8
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,1,1
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,5782,5782
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,30,30
SIPE SIPE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,151,151
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,19,19
TARATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,43,43
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,692,692
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,6,6
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-03-01,37,37
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,43,43
CAIROMA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,14,14
CHULUMANI (V. DE LA LIBERTAD),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,10,10
CHUMA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,4,4
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,119,119
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,530,530
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,3223,3223
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,266,266
COPACABANA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,8,8
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,45,45
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,281,281
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,44,44
MOROCHATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,30,30
OCURI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,88,88
OKINAWA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,39,39
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,548,548
PAILON,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,60,60
POTOSI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,1034,1034
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,309,309
ROBORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,110,110
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,520,520
SACABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,40,40
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,74,74
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,4,4
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,4,4
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,3674,3674
SIPE SIPE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,360,360
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,116,116
TARATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,47,47
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,587,587
TOCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,28,28
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,90,90
VINTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,560,560
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-04-01,23,23
AIQUILE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,500,500
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,15,15
ARBIETO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,390,390
ATOCHA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,97,97
BOLIVAR,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,5,5
BOLPEBRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,365,365
CAPINOTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,20,20
CARAPARI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,408,408
CATACORA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,1,1
CHIMORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,6,6
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,163,163
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,1056,1056
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,1449,1449
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,8,8
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,13,13
MIZQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,3919,3919
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,78,78
OCURI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,10,10
OKINAWA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,31,31
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,3,3
PAILON,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,30,30
POTOSI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,41,41
PUERTO PEREZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,10,10
PUERTO QUIJARRO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,480,480
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,42139,42139
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,369,369
SACABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,34,34
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,10,10
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,8,8
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,1,1
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,7224,7224
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,20,20
SIPE SIPE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,153,153
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,29,29
TARATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,178,178
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,401,401
TOCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,19,19
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,4,4
VINTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,20208,20208
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,404,404
YAPACANI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-05-01,490,490
ACHACACHI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,53,53
AIQUILE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,290,290
ALALAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,80,80
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,66,66
ARBIETO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,10,10
ARQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,36,36
BOLIVAR,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,110,110
CAPINOTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,418,418
CARAPARI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,121,121
CHIMORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,63,63
CHULUMANI (V. DE LA LIBERTAD),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,10,10
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,257,257
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,3282,3282
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,1684,1684
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,479,479
COTAGAITA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,50,50
DESAGUADERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,140,140
EL TORNO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,404,404
ENTRE RIOS CBBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,110,110
INGAVI (HUMAITA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,15,15
IXIAMAS,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,25,25
LA PAZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,64,64
MIZQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,844,844
MONTERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,946,946
OKINAWA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,155,155
OMEREQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,161,161
ORURO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,2,2
PASORAPA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,67,67
POTOSI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,4807,4807
PUERTO PEREZ,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,20,20
PUERTO QUIJARRO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,20,20
PUERTO VILLARROEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,1140,1140
QUILLACOLLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,2280,2280
SACABA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,323,323
SAN BENITO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,30,30
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,363,363
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,5,5
SAN PEDRO DE BUENA VISTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,6,6
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,9,9
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,4876,4876
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,20,20
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,62,62
SICAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,45,45
SIPE SIPE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,172,172
SUCRE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,21,21
TACOPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,60,60
TARATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,99,99
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,1033,1033
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,20,20
TOCO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,15,15
TOLATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,60,60
VACAS,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,303,303
VILLA RIVERO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,96,96
VINTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,319,319
WARNES,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-06-01,8,8
ACHACACHI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,136,136
AIQUILE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,1311,1311
ALALAY,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,20,20
ANZALDO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,4,4
APOLO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,40,40
ARANI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,300,300
ARBIETO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,1000,1000
ARQUE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,64,64
ATOCHA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,17,17
BOLIVAR,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,85,85
BOLPEBRA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,100,100
CAPINOTA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,2618,2618
CARANAVI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,20,20
CARAPARI,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,342,342
CATACORA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,13,13
CHIMORE,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,87,87
CHULUMANI (V. DE LA LIBERTAD),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,20,20
CHUMA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,42,42
CLIZA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,200,200
COCAPATA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,981,981
COCHABAMBA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,3190,3190
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,993,993
COPACABANA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,67,67
COTAGAITA,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,66,66
CUCHUMUELA (V. G. VILLARROEL),n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,100,100
EL ALTO,n de perros y gatos con vacuna antirrabica,n de perros y gatos con vacuna antirrabica,2019-07-01,125,125
