municipality,group,variable,month,Niños (as) de 6 m. a menores de años que reciben alimento complementario (Nutribebé),TOTAL
EL VILLAR,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,70,70
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,354,354
ESCARA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,2,2
ESCOMA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,44,44
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,37,37
EXALTACION,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,56,56
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,117,117
FILADELFIA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,158,158
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,144,144
GUANAY,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,11,11
GUAQUI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,94,94
GUAYARAMERIN,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1148,1148
GUTIERREZ,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,442,442
HUACARETA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,210,210
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,67,67
HUACHACALLA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,16,16
HUANUNI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,261,261
HUARINA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,48,48
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,70,70
HUMANATA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,75,75
ICHOCA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,77,77
ICLA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,186,186
INCAHUASI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,264,264
INQUISIVI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,151,151
LA ASUNTA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,284,284
LA GUARDIA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1223,1223
LA PAZ,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1018,1018
LA RIVERA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,4,4
LAGUNILLAS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,69,69
LAJA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,193,193
LAS CARRERAS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,73,73
LICOMA PAMPA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,17,17
LLALLAGUA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,949,949
LLICA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,52,52
LORETO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,30,30
LURIBAY,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,150,150
MACHARETI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,58,58
MAGDALENA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,151,151
MAIRANA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,144,144
MALLA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,40,40
MECAPACA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,147,147
MINEROS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,130,130
MIZQUE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,613,613
MOCOMOCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,205,205
MOJINETE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,5,5
MOJOCOYA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,161,161
MONTEAGUDO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,609,609
MONTERO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,546,546
MORO MORO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,67,67
MOROCHATA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,275,275
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,42,42
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,38,38
OCURI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,365,365
OKINAWA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,80,80
OMEREQUE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,107,107
ORURO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,3595,3595
PADCAYA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,263,263
PADILLA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,155,155
PAILON,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,6,6
PALCA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,238,238
PALOS BLANCOS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1,1
PAMPA GRANDE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,38,38
PAPEL PAMPA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,98,98
PASORAPA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,43,43
PAZÑA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,121,121
PELECHUCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,75,75
POCOATA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,461,461
POCONA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,230,230
POJO (CBBA),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,124,124
POOPO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,44,44
POROMA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,56,56
PORONGO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,49,49
PORTACHUELO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,5,5
PORVENIR,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,150,150
POSTRER VALLE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,28,28
POTOSI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,3163,3163
PRESTO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,186,186
PUCARA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,39,39
PUCARANI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,427,427
PUERTO ACOSTA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,143,143
PUERTO CARABUCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,164,164
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,181,181
PUERTO PEREZ,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,100,100
PUERTO RICO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,164,164
PUERTO VILLARROEL,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,552,552
PUNA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,424,424
PUNATA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,295,295
QUIABAYA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,35,35
QUILLACOLLO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1590,1590
QUIME,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,79,79
RAVELO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,306,306
RIBERALTA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,254,254
ROBORE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,302,302
RURRENABAQUE,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,19,19
SABAYA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,4,4
SACABA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,2404,2404
SACABAMBA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,85,85
SACACA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,297,297
SAIPINA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,61,61
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,240,240
SAN AGUSTIN,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,31,31
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,44,44
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,15,15
SAN ANTONIO DE LOMERIO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,98,98
SAN BENITO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,189,189
SAN BORJA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,786,786
SAN CARLOS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,136,136
SAN IGNACIO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,172,172
SAN IGNACIO DE VELASCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1457,1457
SAN JAVIER(STC),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,122,122
SAN JOAQUIN,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,59,59
SAN JOSE DE CHIQUITOS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,183,183
SAN JUAN DE YAPACANI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,59,59
SAN JULIAN,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1081,1081
SAN LORENZO(PND),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,147,147
SAN LORENZO(TJA),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,69,69
SAN LUCAS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,777,777
SAN MATIAS,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,41,41
SAN MIGUEL DE VELASCO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,170,170
SAN PABLO DE LIPEZ,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,15,15
SAN PEDRO,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,341,341
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,416,416
SAN PEDRO DE CURAHUARA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,99,99
SAN PEDRO DE QUEMES,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,9,9
SAN PEDRO DE TIQUINA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,57,57
SAN PEDRO(PND),micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,26,26
SAN RAFAEL,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,121,121
SAN RAMON SCZ,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,195,195
SANTA ANA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,280,280
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,1302,1302
SANTA ROSA DEL SARA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,64,64
SANTIAGO DE CALLAPA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,54,54
SANTIAGO DE HUARI,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,182,182
SANTIAGO DE HUATA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,52,52
SANTIAGO DE MACHACA,micronutrientes,ninos (as) de 6 m. a menores de anos que reciben alimento complementario (nutribebe),2013-01-01,49,49
