municipality,group,variable,month,Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
CAIROMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,43,43
"CAIZA ""D""",micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,15,15
CAJUATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,32,32
CALACOTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,4,4
CALAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,45,45
CAMARGO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,77,77
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,37,37
CAMIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,82,82
CAPINOTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,78,78
CAQUIAVIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,22,22
CARACOLLO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,70,70
CARANAVI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,151,151
CARANGAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,1,1
CARAPARI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,43,43
CARIPUYO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,30,30
CARMEN RIVERO TORREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,23,23
CATACORA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,3,3
CHACARILLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
CHALLAPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,159,159
CHAQUI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,24,24
CHARAGUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,75,75
CHARAÑA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,2,2
CHAYANTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,51,51
CHIMORE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,75,75
CHIPAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
CHOQUE COTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,2,2
CHUA COCANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,48,48
CHUMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,38,38
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,27,27
CKOCHAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,30,30
CLIZA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,107,107
COBIJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,263,263
COCAPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,4,4
COCHABAMBA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,1406,1406
COIPASA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,3,3
COLCAPIRHUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,177,177
"COLCHA ""K""",micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,43,43
COLLANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
COLOMI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,145,145
COLPA BELGICA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,2,2
COLQUECHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,115,115
COLQUENCHA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,31,31
COLQUIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,44,44
COMANCHE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,8,8
COMARAPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,55,55
COMBAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,7,7
CONCEPCION,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,84,84
COPACABANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,48,48
CORIPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,46,46
CORO CORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,26,26
COROICO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,50,50
CORQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,24,24
COTAGAITA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,81,81
COTOCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,257,257
CRUZ DE MACHACAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,72,72
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,11,11
CUEVO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,14,14
CULPINA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,50,50
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
CURVA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
DESAGUADERO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,25,25
EL ALTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,2366,2366
EL CHORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,15,15
EL PUENTE(STC),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,35,35
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,30,30
EL TORNO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,225,225
EL VILLAR,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,13,13
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,69,69
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,119,119
ESCOMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,19,19
EUCALIPTUS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,23,23
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,13,13
EXALTACION,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,16,16
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,49,49
FILADELFIA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,36,36
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,61,61
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,29,29
GUANAY,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,37,37
GUAQUI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,19,19
GUAYARAMERIN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,202,202
GUTIERREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,81,81
HUACARETA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,30,30
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,29,29
HUACHACALLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
HUANUNI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,121,121
HUARACAJE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,22,22
HUARINA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,19,19
HUATAJATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,21,21
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,10,10
HUMANATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,10,10
ICHOCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,17,17
ICLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,16,16
INCAHUASI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,36,36
INGAVI (HUMAITA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,1,1
INQUISIVI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,33,33
IXIAMAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,3,3
JESUS DE MACHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,42,42
LA ASUNTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,98,98
LA GUARDIA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,31,31
LA PAZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,1937,1937
LAGUNILLAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,25,25
LAJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,63,63
LAS CARRERAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,25,25
LICOMA PAMPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
LLALLAGUA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,177,177
LLICA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,8,8
LORETO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,41,41
LURIBAY,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,23,23
MACHACAMARCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,3,3
MACHARETI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,55,55
MAGDALENA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,72,72
MAIRANA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,57,57
MALLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,8,8
MAPIRI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,31,31
MECAPACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,37,37
MINEROS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,119,119
MIZQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,147,147
MOCOMOCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,40,40
MOJINETE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,4,4
MOJOCOYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,17,17
MONTEAGUDO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,87,87
MONTERO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,386,386
MORO MORO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
MOROCHATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,29,29
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,5,5
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,10,10
OCURI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,55,55
OKINAWA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,65,65
OMEREQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,37,37
ORURO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,726,726
PADCAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,52,52
PADILLA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,24,24
PAILON,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,118,118
PALCA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,70,70
PALOS BLANCOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,138,138
PAMPA AULLAGAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,12,12
PAMPA GRANDE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,36,36
PAPEL PAMPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,24,24
PASORAPA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,14,14
PATACAMAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,73,73
PAZÑA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,22,22
PELECHUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,19,19
POCOATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,74,74
POCONA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,62,62
POJO (CBBA),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,39,39
POOPO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,21,21
PORCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,66,66
POROMA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,50,50
PORONGO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,36,36
PORTACHUELO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
PORVENIR,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,25,25
POSTRER VALLE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,12,12
POTOSI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,916,916
PRESTO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,24,24
PUCARA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,7,7
PUCARANI,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,110,110
PUERTO ACOSTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,43,43
PUERTO CARABUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,40,40
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,33,33
PUERTO PEREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,14,14
PUERTO QUIJARRO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,21,21
PUERTO RICO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,22,22
PUERTO SILES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,4,4
PUERTO SUAREZ,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,42,42
PUERTO VILLARROEL,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,216,216
PUNA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,66,66
PUNATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,61,61
QUIABAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
QUILLACOLLO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,541,541
QUIME,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,47,47
QUIRUSILLAS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
RAVELO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,29,29
REYES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,71,71
RIBERALTA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,424,424
ROBORE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,54,54
RURRENABAQUE,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,76,76
SABAYA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,8,8
SACABA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,857,857
SACABAMBA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,11,11
SACACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,72,72
SAIPINA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,26,26
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,35,35
SAMAIPATA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,47,47
SAN AGUSTIN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,2,2
SAN ANDRES,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,60,60
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,9,9
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,26,26
SAN BENITO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,27,27
SAN BORJA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,202,202
SAN BUENA VENTURA,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,52,52
SAN CARLOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,115,115
SAN IGNACIO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,140,140
SAN IGNACIO DE VELASCO,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,268,268
SAN JAVIER(BNI),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,6,6
SAN JAVIER(STC),micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,71,71
SAN JOAQUIN,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,38,38
SAN JOSE DE CHIQUITOS,micronutrientes,ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2013-01-01,87,87
