,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,14,127,129,140,143,283
ARQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,17,114,101,120,118,238
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,61,57,79,82,140,139,279
ATOCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,5,84,66,93,71,164
AUCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,29,36,29,37,66
AYATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,3,41,40,45,43,88
AYO AYO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,11,60,83,70,94,164
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,18,15,197,204,215,219,434
AZURDUY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,0,93,90,98,90,188
BATALLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,16,90,105,102,121,223
BAURES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,3,23,25,24,28,52
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,20,14,21,15,36
BELEN DE URMIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,4,8,12,11,16,27
BELLA FLOR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,4,16,11,16,15,31
BERMEJO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,46,76,162,132,208,208,416
BETANZOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,19,8,295,276,314,284,598
BOLIVAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,4,58,41,70,45,115
BOLPEBRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,18,11,19,11,30
BOYUIBE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,8,21,13,28,21,49
BUENA VISTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,6,103,56,111,62,173
CABEZAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,17,114,107,129,124,253
CAIROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,3,75,55,78,58,136
"CAIZA ""D""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,4,74,62,80,66,146
CAJUATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,5,146,61,148,66,214
CALACOTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,4,26,31,27,35,62
CALAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,9,111,82,121,91,212
CAMARGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,7,116,99,128,106,234
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,3,21,23,21,26,47
CAMIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,65,38,180,155,245,193,438
CAPINOTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,9,180,165,190,174,364
CAQUIAVIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,4,49,59,56,63,119
CARACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,9,140,122,153,131,284
CARANAVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,72,46,230,222,302,268,570
CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,0,2,1,2,3
CARAPARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,6,137,113,145,119,264
CARIPUYO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,4,58,61,65,65,130
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,14,7,15,9,24
CATACORA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,5,2,5,2,7
CHACARILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,5,1,6,1,7
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,10,264,237,278,247,525
CHAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,7,54,57,59,64,123
CHARAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,7,186,164,200,171,371
CHARAÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,1,6,8,8,9,17
CHAYANTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,19,15,87,73,106,88,194
CHIMORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,60,31,209,176,269,207,476
CHIPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,9,5,7,15,16,31
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,9,4,9,5,14
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,10,5,12,8,20
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,36,21,65,66,101,87,188
CHUMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,8,57,51,62,59,121
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,1,55,44,58,45,103
CKOCHAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,18,149,128,166,146,312
CLIZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,16,81,89,95,105,200
COBIJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,72,65,297,297,369,362,731
COCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,21,18,108,121,129,139,268
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,720,637,2446,2157,3166,2794,5960
COIPASA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,6,5,6,5,11
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,51,69,332,292,383,361,744
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,16,83,89,95,105,200
COLLANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,0,21,9,23,9,32
COLOMI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,11,132,82,147,93,240
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,1,2,2,4,3,7
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,23,27,282,254,305,281,586
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,5,53,52,56,57,113
COLQUIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,14,84,75,86,89,175
COMANCHE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,17,8,18,8,26
COMARAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,7,123,95,135,102,237
COMBAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,17,12,19,15,34
CONCEPCION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,29,41,105,88,134,129,263
COPACABANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,4,64,53,70,57,127
CORIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,5,104,91,116,96,212
CORO CORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,53,31,54,32,86
COROICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,4,87,66,90,70,160
CORQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,4,42,38,47,42,89
COTAGAITA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,18,158,151,173,169,342
COTOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,71,50,235,178,306,228,534
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,1,1,1,1,2
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,27,14,50,43,77,57,134
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,6,10,8,13,21
CUEVO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,25,35,27,38,65
CULPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,13,107,121,121,134,255
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,2,32,41,36,43,79
CURVA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,17,34,17,34,51
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,3,38,33,45,36,81
EL ALTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,818,752,3986,3808,4804,4560,9364
EL CHORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,58,49,59,49,108
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,11,60,64,75,75,150
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,46,46,46,40,92,86,178
EL TORNO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,57,33,270,174,327,207,534
EL VILLAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,2,34,24,37,26,63
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,18,16,173,178,191,194,385
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,23,17,302,292,325,309,634
ESCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,2,1,0,3,2,5
ESCOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,1,20,32,28,33,61
ESMERALDA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,4,5,4,6,10
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,4,63,55,73,59,132
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,0,10,10,12,10,22
EXALTACION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,4,10,5,10,15
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,116,111,116,112,228
FILADELFIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,5,46,33,51,38,89
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,5,118,108,125,113,238
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,11,5,64,45,75,50,125
GUANAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,9,113,157,122,166,288
GUAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,5,22,31,27,36,63
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,11,342,284,355,295,650
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,48,62,105,106,153,168,321
HUACARETA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,10,56,55,68,65,133
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,5,20,18,24,23,47
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,13,5,2,18,15,33
HUANUNI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,18,16,153,129,171,145,316
HUARACAJE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,5,13,22,17,27,44
HUARINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,5,25,34,27,39,66
HUATAJATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,7,13,16,20,23,43
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,3,18,19,23,22,45
HUMANATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,30,19,31,20,51
ICHOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,5,22,20,27,25,52
ICLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,6,55,60,65,66,131
INCAHUASI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,16,14,100,72,116,86,202
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,10,12,11,13,24
INQUISIVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,5,71,75,75,80,155
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,10,81,73,91,83,174
IXIAMAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,11,37,45,40,56,96
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,6,35,63,38,69,107
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,39,41,305,239,344,280,624
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,66,61,251,218,317,279,596
LA PAZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,867,772,2486,2151,3353,2923,6276
LA RIVERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,6,0,0,5,6,11
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,7,57,53,61,60,121
LAJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,16,108,97,121,113,234
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,5,20,21,24,26,50
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,28,11,29,11,40
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,40,38,275,267,315,305,620
LLICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,3,27,27,30,30,60
LORETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,2,17,14,22,16,38
LURIBAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,20,15,18,26,38,41,79
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,4,27,32,30,36,66
MACHARETI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,4,51,44,55,48,103
MAGDALENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,16,80,78,95,94,189
MAIRANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,4,83,64,91,68,159
MALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,12,12,12,13,25
MAPIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,7,62,63,70,70,140
MECAPACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,10,54,43,71,53,124
MINEROS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,0,166,151,168,151,319
MIZQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,27,28,254,214,281,242,523
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,8,79,96,82,104,186
MOJINETE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,6,8,7,8,15
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,5,64,39,67,44,111
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,21,25,169,194,190,219,409
MONTERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,64,56,737,748,801,804,1605
MORO MORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,4,19,19,21,23,44
MOROCHATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,8,104,92,111,100,211
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,3,11,3,12,6,18
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,2,3,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,1,21,24,26,25,51
OCURI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,16,7,102,105,118,112,230
OKINAWA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,8,107,103,114,111,225
OMEREQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,20,22,46,33,66,55,121
ORURO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,312,313,1632,1536,1944,1849,3793
PADCAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,8,139,134,149,142,291
PADILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,10,68,84,73,94,167
PAILON,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,9,116,84,124,93,217
PALCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,27,23,103,75,130,98,228
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,37,33,182,171,219,204,423
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,4,25,19,28,23,51
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,7,51,63,55,70,125
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,52,55,53,56,109
PASORAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,0,20,15,22,15,37
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,5,102,107,107,112,219
PAZÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,54,44,55,46,101
PELECHUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,3,44,34,47,37,84
POCOATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,13,136,170,148,183,331
POCONA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,11,2,92,80,103,82,185
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,14,96,78,110,92,202
POOPO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,4,43,44,47,48,95
PORCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,5,77,71,86,76,162
POROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,8,90,113,97,121,218
PORONGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,9,50,38,63,47,110
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,6,32,41,35,47,82
PORVENIR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,5,37,50,41,55,96
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,2,15,15,17,17,34
POTOSI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,234,208,991,885,1225,1093,2318
PRESTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,10,59,56,65,66,131
PUCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,20,1,21,1,22
PUCARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,27,25,188,176,215,201,416
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,6,59,51,65,57,122
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,6,67,82,69,88,157
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,4,67,88,72,92,164
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,6,44,46,49,52,101
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,0,96,97,100,97,197
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,4,29,39,41,43,84
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,2,4,0,14,2,16
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,78,55,5,3,83,58,141
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,60,43,452,649,512,692,1204
PUNA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,27,19,131,154,158,173,331
PUNATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,35,25,171,126,206,151,357
