,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,20,146,165,154,185,339
ARQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,5,94,92,100,97,197
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,75,89,67,86,142,175,317
ATOCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,10,79,98,87,108,195
AUCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,0,27,42,30,42,72
AYATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,7,28,23,34,30,64
AYO AYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,6,40,42,46,48,94
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,16,133,123,148,139,287
AZURDUY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,16,172,195,182,211,393
BATALLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,12,12,66,64,78,76,154
BAURES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,52,37,54,37,91
BELEN DE ANDAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,0,12,11,13,11,24
BELEN DE URMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,10,9,12,9,21
BELLA FLOR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,5,23,22,24,27,51
BERMEJO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,55,50,55,50,110,100,210
BETANZOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,22,14,286,296,308,310,618
BOLIVAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,2,61,49,67,51,118
BOLPEBRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,10,13,10,13,23
BOYUIBE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,8,27,23,35,31,66
BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,13,163,118,184,131,315
CABEZAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,11,116,111,129,122,251
CAIROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,3,60,65,66,68,134
"CAIZA ""D""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,5,63,66,74,71,145
CAJUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,4,80,72,82,76,158
CALACOTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,19,28,19,29,48
CALAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,12,94,92,99,104,203
CAMARGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,11,177,175,183,186,369
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,2,50,30,52,32,84
CAMIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,46,49,198,223,244,272,516
CAPINOTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,5,135,152,144,157,301
CAQUIAVIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,3,57,42,62,45,107
CARACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,16,24,113,110,129,134,263
CARANAVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,54,44,197,200,251,244,495
CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,4,1,4,1,5
CARAPARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,5,127,101,136,106,242
CARIPUYO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,7,69,74,71,81,152
CARMEN RIVERO TORREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,4,7,8,9,12,21
CATACORA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,9,3,9,3,12
CHACARILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,0,9,6,13,6,19
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,11,208,190,215,201,416
CHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,4,30,22,32,26,58
CHARAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,22,187,201,200,223,423
CHARAÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,19,9,19,9,28
CHAYANTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,8,73,62,86,70,156
CHIMORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,66,46,196,177,262,223,485
CHIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,6,7,5,18,11,29
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,6,4,6,4,10
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,4,12,19,18,23,41
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,26,17,43,54,69,71,140
CHUMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,5,50,133,56,138,194
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,0,47,50,54,50,104
CKOCHAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,11,132,113,142,124,266
CLIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,11,98,76,109,87,196
COBIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,45,47,257,259,302,306,608
COCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,39,32,118,98,157,130,287
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,749,688,1501,1544,2250,2232,4482
COIPASA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,8,6,8,6,14
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,48,42,193,178,241,220,461
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,6,72,97,83,103,186
COLLANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,3,25,25,26,28,54
COLOMI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,5,94,89,99,94,193
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,1,1,1,3,2,5
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,28,16,123,106,151,122,273
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,6,53,44,57,50,107
COLQUIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,10,76,64,82,74,156
COMANCHE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,5,7,5,7,12
COMARAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,12,109,95,124,107,231
COMBAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,0,28,48,32,48,80
CONCEPCION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,41,24,98,116,139,140,279
COPACABANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,5,70,80,76,85,161
CORIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,9,102,101,109,110,219
CORO CORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,34,45,34,46,80
COROICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,9,93,76,100,85,185
CORQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,5,63,33,65,38,103
COTAGAITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,16,19,153,148,169,167,336
COTOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,62,62,153,155,215,217,432
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,2,6,2,6,8
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,29,17,56,63,85,80,165
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,16,4,19,5,24
CUEVO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,2,66,65,67,67,134
CULPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,18,16,168,155,186,171,357
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,3,45,43,51,46,97
CURVA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,32,23,32,23,55
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,9,19,27,20,36,56
EL ALTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,972,887,3199,3099,4171,3986,8157
EL CHORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,33,65,33,66,99
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,16,70,255,83,271,354
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,24,13,86,75,110,88,198
EL TORNO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,40,27,214,193,254,220,474
EL VILLAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,69,58,69,59,128
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,14,12,157,159,171,171,342
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,24,259,253,278,277,555
ESCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,4,1,1,6,5,11
ESCOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,2,41,37,43,39,82
ESMERALDA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,0,6,7,7,7,14
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,3,37,45,40,48,88
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,9,22,9,23,32
EXALTACION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,12,9,14,9,23
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,1,174,148,176,149,325
FILADELFIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,38,30,38,31,69
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,42,38,99,117,141,155,296
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,4,49,66,54,70,124
GUANAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,13,103,125,113,138,251
GUAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,2,17,24,23,26,49
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,6,277,247,288,253,541
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,50,53,99,149,149,202,351
HUACARETA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,7,84,90,90,97,187
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,4,42,45,50,49,99
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,15,0,0,20,15,35
HUANUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,19,161,116,174,135,309
HUARACAJE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,1,32,24,36,25,61
HUARINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,32,35,33,36,69
HUATAJATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,15,14,15,27,30,57
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,1,36,35,36,36,72
HUMANATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,3,9,18,13,21,34
ICHOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,35,34,35,34,69
ICLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,8,160,169,165,177,342
INCAHUASI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,22,138,131,159,153,312
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,8,14,8,14,22
INQUISIVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,1,53,53,54,54,108
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,5,109,119,113,124,237
IXIAMAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,5,47,47,57,52,109
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,16,46,51,51,67,118
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,42,21,234,154,276,175,451
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,40,45,220,224,260,269,529
LA PAZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1195,1056,2137,2107,3332,3163,6495
LA RIVERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,9,0,0,1,9,10
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,12,111,112,122,124,246
LAJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,5,79,77,83,82,165
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,6,44,40,48,46,94
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,2,16,14,16,16,32
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,87,89,82,87,169,176,345
LLICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,2,12,14,13,16,29
LORETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,12,43,47,54,59,113
LURIBAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,8,30,24,37,32,69
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,2,31,27,31,29,60
MACHARETI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,11,11,86,72,97,83,180
MAGDALENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,17,14,80,69,97,83,180
MAIRANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,4,52,55,59,59,118
MALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,0,16,14,18,14,32
MAPIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,6,65,67,69,73,142
MECAPACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,24,41,47,61,71,132
MINEROS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,11,145,139,158,150,308
MIZQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,17,22,150,136,167,158,325
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,3,87,86,93,89,182
MOJINETE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,2,4,9,7,11,18
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,8,15,100,128,108,143,251
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,36,32,219,201,255,233,488
MONTERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,64,78,543,558,607,636,1243
MORO MORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,25,13,28,14,42
MOROCHATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,10,182,155,188,165,353
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,1,5,1,12,2,14
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,10,3,10,3,13
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,1,38,21,40,22,62
OCURI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,4,136,107,145,111,256
OKINAWA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,4,116,107,122,111,233
OMEREQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,20,66,45,86,65,151
ORURO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,294,325,1106,1111,1400,1436,2836
PADCAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,16,5,73,89,89,94,183
PADILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,4,164,200,166,204,370
PAILON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,13,9,94,82,107,91,198
PALCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,20,32,105,91,125,123,248
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,45,47,232,213,277,260,537
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,0,22,26,26,26,52
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,8,34,43,41,51,92
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,57,32,60,33,93
PASORAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,6,33,20,33,26,59
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,3,1,64,63,67,64,131
PAZÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,7,70,59,75,66,141
PELECHUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,2,47,43,49,45,94
POCOATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,24,15,125,144,149,159,308
POCONA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,11,82,79,86,90,176
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,19,15,103,73,122,88,210
POOPO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,4,39,27,43,31,74
PORCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,2,54,54,55,56,111
POROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,7,4,145,138,152,142,294
PORONGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,21,23,57,62,78,85,163
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,3,26,28,30,31,61
PORVENIR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,10,51,61,57,71,128
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,2,17,22,19,24,43
POTOSI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,235,232,528,496,763,728,1491
PRESTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,9,5,104,92,113,97,210
PUCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,0,0,7,21,7,21,28
PUCARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,12,121,118,136,130,266
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,10,9,47,32,57,41,98
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,3,75,52,80,55,135
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,5,5,89,85,94,90,184
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,2,5,69,57,71,62,133
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,1,7,100,78,101,85,186
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,4,7,30,34,34,41,75
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,6,12,1,2,7,14,21
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,42,43,7,2,49,45,94
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,57,37,437,377,494,414,908
PUNA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,23,19,137,153,160,172,332
PUNATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-01-01,15,24,109,121,124,145,269
