,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,15,21,15,22,37
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,15,21,17,23,40
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,5,3,1,7,6,13
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,2,2,4,2,6
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,8,10,8,10,18
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,4,6,2,8,6,14
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,8,2,34,36,42,38,80
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,9,35,46,39,55,94
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,2,16,8,17,10,27
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,4,1,5,2,7
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,9,3,9,3,12
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,9,2,9,2,11
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,0,4,3,7,3,10
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,4,75,73,80,77,157
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,2,6,11,6,13,19
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,1,1,1,2
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,1,1,1,2
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,1,0,3,2,5
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,8,13,8,14,22
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,2,9,14,14,16,30
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,5,16,9,17,14,31
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,1,0,1,1
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,13,3,13,16
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,5,19,20,23,25,48
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,31,31,33,33,66
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,7,3,7,10
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,4,3,6,3,9
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,2,6,6,7,8,15
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,2,2,4,6,6,12
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,11,10,12,11,23
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,2,10,9,10,11,21
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,10,5,11,5,16
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,2,27,22,31,24,55
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,2,1,4,1,5
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,9,10,47,67,56,77,133
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,4,16,14,20,18,38
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,9,45,38,52,47,99
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,3,7,3,8,11
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,4,21,24,24,28,52
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,12,11,31,9,43,20,63
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,1,0,1,1,2
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,0,4,0,5,5
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,2,1,2,3
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,0,19,11,24,11,35
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,3,1,4,2,6
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,4,37,39,40,43,83
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,3,0,1,3,4,7
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,2,7,2,8,4,12
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,6,62,93,68,99,167
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,71,53,16,15,87,68,155
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,3,19,9,24,12,36
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,4,12,10,16,14,30
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,1,0,0,3,1,4
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,3,3,3,6
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,21,13,100,116,121,129,250
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,4,0,0,4,4,8
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,8,31,21,38,29,67
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,7,3,8,3,11
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,1,14,9,16,10,26
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,8,19,18,21,26,47
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,2,0,2,0,2
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,2,9,13,13,15,28
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,1,6,3,8,4,12
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,15,8,17,10,27
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,1,31,21,37,22,59
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,10,11,11,11,22
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,3,3,3,6
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,4,6,9,7,13,20
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,10,40,18,41,28,69
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,2,0,2,2
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,8,10,9,10,19
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,2,2,0,2,2,4
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,91,85,1367,1263,1458,1348,2806
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,10,4,10,4,14
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,6,7,6,7,13
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,3,14,9,15,12,27
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,5,4,5,4,9
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,16,13,18,13,31
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,1,1,1,4,2,6
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,5,6,5,6,11
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,3,1,4,2,6
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,4,3,4,7
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,2,1,2,1,3
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,12,6,12,7,19
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,5,11,6,13,11,24
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,5,24,26,28,31,59
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,6,12,8,12,20
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,2,1,2,3
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,7,7,7,7,14
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,11,12,11,12,23
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,9,11,10,12,22
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,4,1,4,5
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,3,14,10,16,13,29
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,2,5,2,6,8
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,1,4,1,5,6
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,8,5,8,6,14
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,27,28,29,30,59
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,3,31,46,32,49,81
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,1,1,1,1,2
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,10,18,11,21,21,42
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,1,13,7,15,8,23
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,4,2,4,3,7
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,4,2,5,3,8
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,2,33,21,35,23,58
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,10,5,0,0,10,5,15
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,23,12,24,12,36
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,1,0,1,1,2
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,0,10,15,14,15,29
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,7,15,19,20,26,46
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,8,1,9,2,11
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,0,0,1,0,1
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,38,29,80,103,118,132,250
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,5,0,5,5
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,10,3,10,4,14
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,7,5,7,5,12
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,8,6,8,6,14
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,10,5,10,6,16
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,3,5,4,6,10
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,0,14,11,17,11,28
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,3,1,4,1,5
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,11,16,12,16,28
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,6,11,25,13,31,44
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,1,1,1,2,3
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,15,7,16,7,23
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,7,10,8,10,18
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,2,0,2,1,3
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,1,3,1,4
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,6,73,45,80,51,131
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,4,7,4,7,11
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,2,2,2,2,4
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,3,57,48,63,51,114
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,7,9,9,9,18
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,38,44,55,55,93,99,192
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,2,5,3,5,8
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,28,17,29,17,46
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,2,2,0,2,2,4
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,9,16,15,22,24,46
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,3,0,1,0,4,4
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,2,14,8,18,10,28
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,2,3,6,6,8,14
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,4,4,4,5,9
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,5,5,6,5,11
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,3,10,3,11,14
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,2,6,10,7,12,19
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,12,19,111,87,123,106,229
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,11,13,12,14,26
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,23,12,23,12,35
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,3,5,4,5,9
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,16,10,16,10,26
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,6,38,30,42,36,78
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,2,1,3,1,4
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,2,1,2,2,4
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,1,0,1,1
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,10,4,55,30,65,34,99
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,6,23,25,24,31,55
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,9,35,29,42,38,80
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,6,13,12,20,18,33,51
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,8,6,15,13,23,19,42
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,2,9,4,10,6,16
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,7,40,20,44,27,71
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,3,8,3,9,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,1,0,0,4,1,5
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,8,17,8,18,26
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,4,2,48,59,52,61,113
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,12,12,13,13,26
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,5,5,5,5,10
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,93,104,221,247,314,351,665
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,1,1,2,2,4
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,5,3,74,51,79,54,133
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,27,9,103,3,130,12,142
ROBORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,10,0,75,0,85,0,85
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,0,0,0,2,0,2
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,5,4,6,4,10
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,12,6,71,67,83,73,156
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,7,10,65,61,72,71,143
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,1,34,41,35,42,77
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,1,3,1,4
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,1,7,12,10,13,23
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,4,1,4,1,5
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,1,0,23,22,24,22,46
SAN BENITO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,5,3,5,3,8
SAN BORJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,3,9,4,11,7,18
SAN BUENA VENTURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,3,1,3,1,4
SAN IGNACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,2,9,102,118,104,127,231
SAN JAVIER(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,1,3,2,3,3,6
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,0,0,5,3,5,3,8
SAN JULIAN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2016-01-01,3,2,23,27,26,29,55
