municipality,group,variable,month,Vaginales,TOTAL
YOTALA,atencion de partos en servicios,vaginales,2019-01-01,9,9
ZUDAÑEZ,atencion de partos en servicios,vaginales,2019-01-01,11,11
ACACIO,atencion de partos en servicios,vaginales,2019-02-01,2,2
ACHACACHI,atencion de partos en servicios,vaginales,2019-02-01,18,18
ACHOCALLA,atencion de partos en servicios,vaginales,2019-02-01,2,2
AIQUILE,atencion de partos en servicios,vaginales,2019-02-01,21,21
ALALAY,atencion de partos en servicios,vaginales,2019-02-01,2,2
ALCALA,atencion de partos en servicios,vaginales,2019-02-01,1,1
ALTO BENI,atencion de partos en servicios,vaginales,2019-02-01,8,8
ANCORAIMES,atencion de partos en servicios,vaginales,2019-02-01,1,1
ANDAMARCA,atencion de partos en servicios,vaginales,2019-02-01,3,3
ANZALDO,atencion de partos en servicios,vaginales,2019-02-01,3,3
APOLO,atencion de partos en servicios,vaginales,2019-02-01,15,15
ARANI,atencion de partos en servicios,vaginales,2019-02-01,3,3
ARBIETO,atencion de partos en servicios,vaginales,2019-02-01,3,3
ARQUE,atencion de partos en servicios,vaginales,2019-02-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2019-02-01,39,39
ATOCHA,atencion de partos en servicios,vaginales,2019-02-01,8,8
AYATA,atencion de partos en servicios,vaginales,2019-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2019-02-01,10,10
AZURDUY,atencion de partos en servicios,vaginales,2019-02-01,4,4
BATALLAS,atencion de partos en servicios,vaginales,2019-02-01,4,4
BAURES,atencion de partos en servicios,vaginales,2019-02-01,7,7
BELEN DE ANDAMARCA,atencion de partos en servicios,vaginales,2019-02-01,1,1
BELLA FLOR,atencion de partos en servicios,vaginales,2019-02-01,2,2
BERMEJO,atencion de partos en servicios,vaginales,2019-02-01,29,29
BETANZOS,atencion de partos en servicios,vaginales,2019-02-01,17,17
BOLPEBRA,atencion de partos en servicios,vaginales,2019-02-01,1,1
BOYUIBE,atencion de partos en servicios,vaginales,2019-02-01,1,1
BUENA VISTA,atencion de partos en servicios,vaginales,2019-02-01,4,4
CABEZAS,atencion de partos en servicios,vaginales,2019-02-01,20,20
CAIROMA,atencion de partos en servicios,vaginales,2019-02-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2019-02-01,7,7
CAJUATA,atencion de partos en servicios,vaginales,2019-02-01,6,6
CALAMARCA,atencion de partos en servicios,vaginales,2019-02-01,6,6
CAMARGO,atencion de partos en servicios,vaginales,2019-02-01,11,11
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2019-02-01,1,1
CAMIRI,atencion de partos en servicios,vaginales,2019-02-01,26,26
CAPINOTA,atencion de partos en servicios,vaginales,2019-02-01,17,17
CAQUIAVIRI,atencion de partos en servicios,vaginales,2019-02-01,2,2
CARACOLLO,atencion de partos en servicios,vaginales,2019-02-01,9,9
CARANAVI,atencion de partos en servicios,vaginales,2019-02-01,48,48
CARAPARI,atencion de partos en servicios,vaginales,2019-02-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2019-02-01,7,7
CHALLAPATA,atencion de partos en servicios,vaginales,2019-02-01,33,33
CHAQUI,atencion de partos en servicios,vaginales,2019-02-01,5,5
CHARAGUA,atencion de partos en servicios,vaginales,2019-02-01,30,30
CHAYANTA,atencion de partos en servicios,vaginales,2019-02-01,8,8
CHIMORE,atencion de partos en servicios,vaginales,2019-02-01,14,14
CHUA COCANI,atencion de partos en servicios,vaginales,2019-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2019-02-01,18,18
CHUMA,atencion de partos en servicios,vaginales,2019-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2019-02-01,3,3
CKOCHAS,atencion de partos en servicios,vaginales,2019-02-01,3,3
CLIZA,atencion de partos en servicios,vaginales,2019-02-01,20,20
COBIJA,atencion de partos en servicios,vaginales,2019-02-01,57,57
COCAPATA,atencion de partos en servicios,vaginales,2019-02-01,9,9
COCHABAMBA,atencion de partos en servicios,vaginales,2019-02-01,683,683
COLCAPIRHUA,atencion de partos en servicios,vaginales,2019-02-01,35,35
"COLCHA ""K""",atencion de partos en servicios,vaginales,2019-02-01,2,2
COLLANA,atencion de partos en servicios,vaginales,2019-02-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2019-02-01,17,17
COLQUECHACA,atencion de partos en servicios,vaginales,2019-02-01,16,16
COLQUENCHA,atencion de partos en servicios,vaginales,2019-02-01,11,11
COLQUIRI,atencion de partos en servicios,vaginales,2019-02-01,7,7
COMANCHE,atencion de partos en servicios,vaginales,2019-02-01,3,3
COMARAPA,atencion de partos en servicios,vaginales,2019-02-01,10,10
CONCEPCION,atencion de partos en servicios,vaginales,2019-02-01,29,29
COPACABANA,atencion de partos en servicios,vaginales,2019-02-01,3,3
CORIPATA,atencion de partos en servicios,vaginales,2019-02-01,5,5
COROICO,atencion de partos en servicios,vaginales,2019-02-01,26,26
COTAGAITA,atencion de partos en servicios,vaginales,2019-02-01,13,13
COTOCA,atencion de partos en servicios,vaginales,2019-02-01,50,50
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2019-02-01,10,10
CUEVO,atencion de partos en servicios,vaginales,2019-02-01,1,1
CULPINA,atencion de partos en servicios,vaginales,2019-02-01,11,11
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2019-02-01,3,3
CURVA,atencion de partos en servicios,vaginales,2019-02-01,2,2
DESAGUADERO,atencion de partos en servicios,vaginales,2019-02-01,6,6
EL ALTO,atencion de partos en servicios,vaginales,2019-02-01,879,879
EL CHORO,atencion de partos en servicios,vaginales,2019-02-01,1,1
EL PUENTE(STC),atencion de partos en servicios,vaginales,2019-02-01,6,6
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2019-02-01,2,2
EL TORNO,atencion de partos en servicios,vaginales,2019-02-01,50,50
EL VILLAR,atencion de partos en servicios,vaginales,2019-02-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2019-02-01,11,11
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2019-02-01,24,24
ESCARA,atencion de partos en servicios,vaginales,2019-02-01,1,1
ESCOMA,atencion de partos en servicios,vaginales,2019-02-01,2,2
EUCALIPTUS,atencion de partos en servicios,vaginales,2019-02-01,2,2
EXALTACION,atencion de partos en servicios,vaginales,2019-02-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2019-02-01,6,6
FILADELFIA,atencion de partos en servicios,vaginales,2019-02-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2019-02-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2019-02-01,4,4
GUANAY,atencion de partos en servicios,vaginales,2019-02-01,11,11
GUAYARAMERIN,atencion de partos en servicios,vaginales,2019-02-01,42,42
GUTIERREZ,atencion de partos en servicios,vaginales,2019-02-01,7,7
HUACARETA,atencion de partos en servicios,vaginales,2019-02-01,7,7
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2019-02-01,3,3
HUANUNI,atencion de partos en servicios,vaginales,2019-02-01,9,9
HUARACAJE,atencion de partos en servicios,vaginales,2019-02-01,3,3
HUARINA,atencion de partos en servicios,vaginales,2019-02-01,3,3
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2019-02-01,1,1
ICHOCA,atencion de partos en servicios,vaginales,2019-02-01,2,2
ICLA,atencion de partos en servicios,vaginales,2019-02-01,2,2
INCAHUASI,atencion de partos en servicios,vaginales,2019-02-01,3,3
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2019-02-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2019-02-01,7,7
IXIAMAS,atencion de partos en servicios,vaginales,2019-02-01,6,6
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2019-02-01,11,11
