,group,variable,month,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
SAN RAFAEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,1,0,1,0,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-05-01,5,3,5,3,8
ASCENCION DE GUARAYOS,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,0,1,0,1,1
CARANAVI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,2,0,2,0,2
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,2,0,2,0,2
COCHABAMBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,0,2,0,2,2
CULPINA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,7,3,7,3,10
GUAYARAMERIN,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,8,0,8,0,8
HUACARETA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,2,1,2,1,3
PADCAYA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
PADILLA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-06-01,1,0,1,0,1
