municipality,group,variable,month,Ingresos espontáneos,TOTAL
EL ALTO,internaciones,ingresos espontaneos,2005-01-01,2306,2306
EL PUENTE(STC),internaciones,ingresos espontaneos,2005-01-01,15,15
EL TORNO,internaciones,ingresos espontaneos,2005-01-01,112,112
EL VILLAR,internaciones,ingresos espontaneos,2005-01-01,8,8
ENTRE RIOS,internaciones,ingresos espontaneos,2005-01-01,28,28
ENTRE RIOS,internaciones,ingresos espontaneos,2005-01-01,35,35
EUCALIPTUS,internaciones,ingresos espontaneos,2005-01-01,8,8
EXALTACION,internaciones,ingresos espontaneos,2005-01-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2005-01-01,34,34
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2005-01-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2005-01-01,6,6
GUANAY,internaciones,ingresos espontaneos,2005-01-01,27,27
GUAQUI,internaciones,ingresos espontaneos,2005-01-01,1,1
GUAYARAMERIN,internaciones,ingresos espontaneos,2005-01-01,377,377
GUTIERREZ,internaciones,ingresos espontaneos,2005-01-01,24,24
HUACARETA,internaciones,ingresos espontaneos,2005-01-01,15,15
HUACHACALLA,internaciones,ingresos espontaneos,2005-01-01,2,2
HUANUNI,internaciones,ingresos espontaneos,2005-01-01,75,75
HUARACAJE,internaciones,ingresos espontaneos,2005-01-01,13,13
HUAYLLAMARCA,internaciones,ingresos espontaneos,2005-01-01,3,3
INCAHUASI,internaciones,ingresos espontaneos,2005-01-01,38,38
INQUISIVI,internaciones,ingresos espontaneos,2005-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2005-01-01,29,29
IXIAMAS,internaciones,ingresos espontaneos,2005-01-01,24,24
JESUS DE MACHACA,internaciones,ingresos espontaneos,2005-01-01,2,2
LA ASUNTA,internaciones,ingresos espontaneos,2005-01-01,46,46
LA GUARDIA,internaciones,ingresos espontaneos,2005-01-01,85,85
LA PAZ,internaciones,ingresos espontaneos,2005-01-01,6117,6117
LAGUNILLAS,internaciones,ingresos espontaneos,2005-01-01,9,9
LAJA,internaciones,ingresos espontaneos,2005-01-01,1,1
LAS CARRERAS,internaciones,ingresos espontaneos,2005-01-01,9,9
LICOMA PAMPA,internaciones,ingresos espontaneos,2005-01-01,1,1
LLALLAGUA,internaciones,ingresos espontaneos,2005-01-01,175,175
LLICA,internaciones,ingresos espontaneos,2005-01-01,5,5
LURIBAY,internaciones,ingresos espontaneos,2005-01-01,1,1
MACHARETI,internaciones,ingresos espontaneos,2005-01-01,17,17
MAGDALENA,internaciones,ingresos espontaneos,2005-01-01,59,59
MAIRANA,internaciones,ingresos espontaneos,2005-01-01,46,46
MAPIRI,internaciones,ingresos espontaneos,2005-01-01,27,27
MECAPACA,internaciones,ingresos espontaneos,2005-01-01,8,8
MINEROS,internaciones,ingresos espontaneos,2005-01-01,22,22
MIZQUE,internaciones,ingresos espontaneos,2005-01-01,51,51
MOCOMOCO,internaciones,ingresos espontaneos,2005-01-01,2,2
MOJOCOYA,internaciones,ingresos espontaneos,2005-01-01,9,9
MONTEAGUDO,internaciones,ingresos espontaneos,2005-01-01,176,176
MONTERO,internaciones,ingresos espontaneos,2005-01-01,613,613
MOROCHATA,internaciones,ingresos espontaneos,2005-01-01,11,11
OKINAWA,internaciones,ingresos espontaneos,2005-01-01,7,7
OMEREQUE,internaciones,ingresos espontaneos,2005-01-01,8,8
ORURO,internaciones,ingresos espontaneos,2005-01-01,1783,1783
PADILLA,internaciones,ingresos espontaneos,2005-01-01,63,63
PAILON,internaciones,ingresos espontaneos,2005-01-01,56,56
PALCA,internaciones,ingresos espontaneos,2005-01-01,6,6
PALOS BLANCOS,internaciones,ingresos espontaneos,2005-01-01,83,83
PAMPA GRANDE,internaciones,ingresos espontaneos,2005-01-01,13,13
PAPEL PAMPA,internaciones,ingresos espontaneos,2005-01-01,5,5
PASORAPA,internaciones,ingresos espontaneos,2005-01-01,4,4
PATACAMAYA,internaciones,ingresos espontaneos,2005-01-01,30,30
POCOATA,internaciones,ingresos espontaneos,2005-01-01,4,4
POCONA,internaciones,ingresos espontaneos,2005-01-01,32,32
POJO (CBBA),internaciones,ingresos espontaneos,2005-01-01,12,12
POOPO,internaciones,ingresos espontaneos,2005-01-01,4,4
PORCO,internaciones,ingresos espontaneos,2005-01-01,2,2
POROMA,internaciones,ingresos espontaneos,2005-01-01,16,16
PORONGO,internaciones,ingresos espontaneos,2005-01-01,15,15
PORTACHUELO,internaciones,ingresos espontaneos,2005-01-01,86,86
PORVENIR,internaciones,ingresos espontaneos,2005-01-01,11,11
POSTRER VALLE,internaciones,ingresos espontaneos,2005-01-01,2,2
POTOSI,internaciones,ingresos espontaneos,2005-01-01,1493,1493
PRESTO,internaciones,ingresos espontaneos,2005-01-01,7,7
PUCARA,internaciones,ingresos espontaneos,2005-01-01,1,1
PUCARANI,internaciones,ingresos espontaneos,2005-01-01,10,10
PUERTO ACOSTA,internaciones,ingresos espontaneos,2005-01-01,48,48
PUERTO CARABUCO,internaciones,ingresos espontaneos,2005-01-01,5,5
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2005-01-01,5,5
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2005-01-01,135,135
PUERTO RICO,internaciones,ingresos espontaneos,2005-01-01,36,36
PUERTO SILES,internaciones,ingresos espontaneos,2005-01-01,3,3
PUERTO SUAREZ,internaciones,ingresos espontaneos,2005-01-01,106,106
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2005-01-01,147,147
PUNA,internaciones,ingresos espontaneos,2005-01-01,15,15
PUNATA,internaciones,ingresos espontaneos,2005-01-01,179,179
QUILLACOLLO,internaciones,ingresos espontaneos,2005-01-01,254,254
QUIME,internaciones,ingresos espontaneos,2005-01-01,10,10
QUIRUSILLAS,internaciones,ingresos espontaneos,2005-01-01,7,7
RAVELO,internaciones,ingresos espontaneos,2005-01-01,4,4
REYES,internaciones,ingresos espontaneos,2005-01-01,36,36
RIBERALTA,internaciones,ingresos espontaneos,2005-01-01,551,551
ROBORE,internaciones,ingresos espontaneos,2005-01-01,51,51
RURRENABAQUE,internaciones,ingresos espontaneos,2005-01-01,102,102
SACABA,internaciones,ingresos espontaneos,2005-01-01,403,403
SACABAMBA,internaciones,ingresos espontaneos,2005-01-01,4,4
SACACA,internaciones,ingresos espontaneos,2005-01-01,16,16
SAIPINA,internaciones,ingresos espontaneos,2005-01-01,11,11
SAMAIPATA,internaciones,ingresos espontaneos,2005-01-01,37,37
SAN ANDRES,internaciones,ingresos espontaneos,2005-01-01,3,3
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2005-01-01,28,28
SAN BENITO,internaciones,ingresos espontaneos,2005-01-01,16,16
SAN BORJA,internaciones,ingresos espontaneos,2005-01-01,161,161
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2005-01-01,12,12
SAN CARLOS,internaciones,ingresos espontaneos,2005-01-01,102,102
SAN IGNACIO,internaciones,ingresos espontaneos,2005-01-01,111,111
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2005-01-01,321,321
SAN JAVIER(STC),internaciones,ingresos espontaneos,2005-01-01,55,55
SAN JOAQUIN,internaciones,ingresos espontaneos,2005-01-01,58,58
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2005-01-01,86,86
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2005-01-01,122,122
SAN JULIAN,internaciones,ingresos espontaneos,2005-01-01,195,195
SAN LORENZO(PND),internaciones,ingresos espontaneos,2005-01-01,2,2
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2005-01-01,21,21
SAN LUCAS,internaciones,ingresos espontaneos,2005-01-01,33,33
SAN MATIAS,internaciones,ingresos espontaneos,2005-01-01,37,37
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2005-01-01,47,47
SAN PEDRO,internaciones,ingresos espontaneos,2005-01-01,34,34
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2005-01-01,16,16
SAN PEDRO DE CURAHUARA,internaciones,ingresos espontaneos,2005-01-01,1,1
SAN RAFAEL,internaciones,ingresos espontaneos,2005-01-01,11,11
SAN RAMON,internaciones,ingresos espontaneos,2005-01-01,39,39
SAN RAMON,internaciones,ingresos espontaneos,2005-01-01,51,51
SANTA ANA,internaciones,ingresos espontaneos,2005-01-01,105,105
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2005-01-01,7950,7950
SANTA ROSA,internaciones,ingresos espontaneos,2005-01-01,31,31
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2005-01-01,37,37
SANTIAGO DE CALLAPA,internaciones,ingresos espontaneos,2005-01-01,2,2
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2005-01-01,4,4
SANTIVAÑES,internaciones,ingresos espontaneos,2005-01-01,4,4
SENA,internaciones,ingresos espontaneos,2005-01-01,14,14
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2005-01-01,10,10
SIPE SIPE,internaciones,ingresos espontaneos,2005-01-01,45,45
SOPACHUY,internaciones,ingresos espontaneos,2005-01-01,27,27
SORACACHI,internaciones,ingresos espontaneos,2005-01-01,3,3
SORATA,internaciones,ingresos espontaneos,2005-01-01,40,40
SUCRE,internaciones,ingresos espontaneos,2005-01-01,2679,2679
TACACOMA,internaciones,ingresos espontaneos,2005-01-01,1,1
TACOPAYA,internaciones,ingresos espontaneos,2005-01-01,2,2
TAPACARI,internaciones,ingresos espontaneos,2005-01-01,8,8
TARABUCO,internaciones,ingresos espontaneos,2005-01-01,54,54
TARACO,internaciones,ingresos espontaneos,2005-01-01,1,1
TARATA,internaciones,ingresos espontaneos,2005-01-01,13,13
TARIJA,internaciones,ingresos espontaneos,2005-01-01,1440,1440
TARVITA,internaciones,ingresos espontaneos,2005-01-01,23,23
TEOPONTE,internaciones,ingresos espontaneos,2005-01-01,2,2
TIAWANACU,internaciones,ingresos espontaneos,2005-01-01,7,7
TIPUANI,internaciones,ingresos espontaneos,2005-01-01,16,16
TIQUIPAYA,internaciones,ingresos espontaneos,2005-01-01,86,86
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2005-01-01,142,142
TOCO,internaciones,ingresos espontaneos,2005-01-01,1,1
TOLATA,internaciones,ingresos espontaneos,2005-01-01,5,5
TOLEDO,internaciones,ingresos espontaneos,2005-01-01,2,2
TOMAVE,internaciones,ingresos espontaneos,2005-01-01,1,1
TOMINA,internaciones,ingresos espontaneos,2005-01-01,10,10
TORO TORO,internaciones,ingresos espontaneos,2005-01-01,4,4
TOTORA(CBBA),internaciones,ingresos espontaneos,2005-01-01,34,34
TOTORA(ORR),internaciones,ingresos espontaneos,2005-01-01,6,6
TRIGAL,internaciones,ingresos espontaneos,2005-01-01,2,2
TRINIDAD,internaciones,ingresos espontaneos,2005-01-01,1140,1140
TUPIZA,internaciones,ingresos espontaneos,2005-01-01,388,388
TURCO,internaciones,ingresos espontaneos,2005-01-01,2,2
UNCIA,internaciones,ingresos espontaneos,2005-01-01,140,140
URIONDO (A. CONCEPCION),internaciones,ingresos espontaneos,2005-01-01,3,3
URUBICHA,internaciones,ingresos espontaneos,2005-01-01,27,27
UYUNI,internaciones,ingresos espontaneos,2005-01-01,142,142
VACAS,internaciones,ingresos espontaneos,2005-01-01,19,19
VALLEGRANDE,internaciones,ingresos espontaneos,2005-01-01,127,127
VIACHA,internaciones,ingresos espontaneos,2005-01-01,17,17
VILLA MONTES,internaciones,ingresos espontaneos,2005-01-01,184,184
VILLA RIVERO,internaciones,ingresos espontaneos,2005-01-01,10,10
VILLA SERRANO,internaciones,ingresos espontaneos,2005-01-01,26,26
VILLA TUNARI,internaciones,ingresos espontaneos,2005-01-01,144,144
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2005-01-01,23,23
VILLAZON,internaciones,ingresos espontaneos,2005-01-01,197,197
VINTO,internaciones,ingresos espontaneos,2005-01-01,82,82
VITICHI,internaciones,ingresos espontaneos,2005-01-01,9,9
WARNES,internaciones,ingresos espontaneos,2005-01-01,59,59
YACUIBA,internaciones,ingresos espontaneos,2005-01-01,554,554
YAMPARAEZ,internaciones,ingresos espontaneos,2005-01-01,25,25
YAPACANI,internaciones,ingresos espontaneos,2005-01-01,437,437
YOCALLA,internaciones,ingresos espontaneos,2005-01-01,1,1
YOTALA,internaciones,ingresos espontaneos,2005-01-01,27,27
ZUDAÑEZ,internaciones,ingresos espontaneos,2005-01-01,26,26
ACACIO,internaciones,ingresos espontaneos,2005-02-01,2,2
ACHACACHI,internaciones,ingresos espontaneos,2005-02-01,82,82
ACHOCALLA,internaciones,ingresos espontaneos,2005-02-01,4,4
AIQUILE,internaciones,ingresos espontaneos,2005-02-01,121,121
ALALAY,internaciones,ingresos espontaneos,2005-02-01,3,3
ALCALA,internaciones,ingresos espontaneos,2005-02-01,4,4
ANCORAIMES,internaciones,ingresos espontaneos,2005-02-01,3,3
ANTEQUERA,internaciones,ingresos espontaneos,2005-02-01,4,4
ANZALDO,internaciones,ingresos espontaneos,2005-02-01,2,2
APOLO,internaciones,ingresos espontaneos,2005-02-01,22,22
ARAMPAMPA,internaciones,ingresos espontaneos,2005-02-01,3,3
ARANI,internaciones,ingresos espontaneos,2005-02-01,3,3
ARBIETO,internaciones,ingresos espontaneos,2005-02-01,5,5
ARQUE,internaciones,ingresos espontaneos,2005-02-01,7,7
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2005-02-01,96,96
ATOCHA,internaciones,ingresos espontaneos,2005-02-01,88,88
AUCAPATA,internaciones,ingresos espontaneos,2005-02-01,1,1
AYO AYO,internaciones,ingresos espontaneos,2005-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2005-02-01,29,29
AZURDUY,internaciones,ingresos espontaneos,2005-02-01,15,15
BATALLAS,internaciones,ingresos espontaneos,2005-02-01,1,1
BAURES,internaciones,ingresos espontaneos,2005-02-01,4,4
BERMEJO,internaciones,ingresos espontaneos,2005-02-01,151,151
BETANZOS,internaciones,ingresos espontaneos,2005-02-01,41,41
BOLIVAR,internaciones,ingresos espontaneos,2005-02-01,1,1
BOLPEBRA,internaciones,ingresos espontaneos,2005-02-01,2,2
BOYUIBE,internaciones,ingresos espontaneos,2005-02-01,22,22
BUENA VISTA,internaciones,ingresos espontaneos,2005-02-01,22,22
CABEZAS,internaciones,ingresos espontaneos,2005-02-01,24,24
CAJUATA,internaciones,ingresos espontaneos,2005-02-01,19,19
CALAMARCA,internaciones,ingresos espontaneos,2005-02-01,5,5
CAMARGO,internaciones,ingresos espontaneos,2005-02-01,199,199
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2005-02-01,6,6
CAMIRI,internaciones,ingresos espontaneos,2005-02-01,372,372
CAPINOTA,internaciones,ingresos espontaneos,2005-02-01,51,51
CAQUIAVIRI,internaciones,ingresos espontaneos,2005-02-01,2,2
CARACOLLO,internaciones,ingresos espontaneos,2005-02-01,14,14
CARANAVI,internaciones,ingresos espontaneos,2005-02-01,102,102
CARAPARI,internaciones,ingresos espontaneos,2005-02-01,8,8
CARIPUYO,internaciones,ingresos espontaneos,2005-02-01,2,2
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2005-02-01,10,10
CHALLAPATA,internaciones,ingresos espontaneos,2005-02-01,33,33
CHAQUI,internaciones,ingresos espontaneos,2005-02-01,5,5
CHARAGUA,internaciones,ingresos espontaneos,2005-02-01,86,86
CHARAÑA,internaciones,ingresos espontaneos,2005-02-01,1,1
CHAYANTA,internaciones,ingresos espontaneos,2005-02-01,15,15
CHIMORE,internaciones,ingresos espontaneos,2005-02-01,27,27
CHIPAYA,internaciones,ingresos espontaneos,2005-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2005-02-01,70,70
CHUMA,internaciones,ingresos espontaneos,2005-02-01,3,3
CLIZA,internaciones,ingresos espontaneos,2005-02-01,26,26
COBIJA,internaciones,ingresos espontaneos,2005-02-01,282,282
COCHABAMBA,internaciones,ingresos espontaneos,2005-02-01,4071,4071
COLCAPIRHUA,internaciones,ingresos espontaneos,2005-02-01,182,182
"COLCHA ""K""",internaciones,ingresos espontaneos,2005-02-01,2,2
COLLANA,internaciones,ingresos espontaneos,2005-02-01,1,1
COLOMI,internaciones,ingresos espontaneos,2005-02-01,44,44
COLPA BELGICA,internaciones,ingresos espontaneos,2005-02-01,15,15
COLQUECHACA,internaciones,ingresos espontaneos,2005-02-01,7,7
COLQUENCHA,internaciones,ingresos espontaneos,2005-02-01,2,2
COLQUIRI,internaciones,ingresos espontaneos,2005-02-01,26,26
COMARAPA,internaciones,ingresos espontaneos,2005-02-01,114,114
CONCEPCION,internaciones,ingresos espontaneos,2005-02-01,51,51
COPACABANA,internaciones,ingresos espontaneos,2005-02-01,17,17
CORIPATA,internaciones,ingresos espontaneos,2005-02-01,11,11
CORO CORO,internaciones,ingresos espontaneos,2005-02-01,4,4
COROICO,internaciones,ingresos espontaneos,2005-02-01,65,65
CORQUE,internaciones,ingresos espontaneos,2005-02-01,2,2
COTAGAITA,internaciones,ingresos espontaneos,2005-02-01,24,24
COTOCA,internaciones,ingresos espontaneos,2005-02-01,111,111
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2005-02-01,36,36
CUCHUMUELA (V. G. VILLARROEL),internaciones,ingresos espontaneos,2005-02-01,1,1
CUEVO,internaciones,ingresos espontaneos,2005-02-01,6,6
CULPINA,internaciones,ingresos espontaneos,2005-02-01,20,20
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2005-02-01,10,10
CURVA,internaciones,ingresos espontaneos,2005-02-01,1,1
DESAGUADERO,internaciones,ingresos espontaneos,2005-02-01,7,7
EL ALTO,internaciones,ingresos espontaneos,2005-02-01,2150,2150
EL PUENTE(STC),internaciones,ingresos espontaneos,2005-02-01,16,16
EL TORNO,internaciones,ingresos espontaneos,2005-02-01,109,109
EL VILLAR,internaciones,ingresos espontaneos,2005-02-01,2,2
ENTRE RIOS,internaciones,ingresos espontaneos,2005-02-01,33,33
ENTRE RIOS,internaciones,ingresos espontaneos,2005-02-01,30,30
EUCALIPTUS,internaciones,ingresos espontaneos,2005-02-01,5,5
EXALTACION,internaciones,ingresos espontaneos,2005-02-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2005-02-01,25,25
FILADELFIA,internaciones,ingresos espontaneos,2005-02-01,1,1
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2005-02-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2005-02-01,1,1
GUANAY,internaciones,ingresos espontaneos,2005-02-01,22,22
GUAQUI,internaciones,ingresos espontaneos,2005-02-01,1,1
GUAYARAMERIN,internaciones,ingresos espontaneos,2005-02-01,316,316
GUTIERREZ,internaciones,ingresos espontaneos,2005-02-01,19,19
HUACARETA,internaciones,ingresos espontaneos,2005-02-01,16,16
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2005-02-01,3,3
HUACHACALLA,internaciones,ingresos espontaneos,2005-02-01,3,3
HUANUNI,internaciones,ingresos espontaneos,2005-02-01,52,52
HUARACAJE,internaciones,ingresos espontaneos,2005-02-01,10,10
HUAYLLAMARCA,internaciones,ingresos espontaneos,2005-02-01,2,2
ICHOCA,internaciones,ingresos espontaneos,2005-02-01,1,1
INCAHUASI,internaciones,ingresos espontaneos,2005-02-01,43,43
INQUISIVI,internaciones,ingresos espontaneos,2005-02-01,11,11
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2005-02-01,20,20
IXIAMAS,internaciones,ingresos espontaneos,2005-02-01,14,14
LA ASUNTA,internaciones,ingresos espontaneos,2005-02-01,35,35
LA GUARDIA,internaciones,ingresos espontaneos,2005-02-01,68,68
LA PAZ,internaciones,ingresos espontaneos,2005-02-01,5231,5231
LAGUNILLAS,internaciones,ingresos espontaneos,2005-02-01,4,4
LAJA,internaciones,ingresos espontaneos,2005-02-01,1,1
LAS CARRERAS,internaciones,ingresos espontaneos,2005-02-01,2,2
LICOMA PAMPA,internaciones,ingresos espontaneos,2005-02-01,1,1
LLALLAGUA,internaciones,ingresos espontaneos,2005-02-01,121,121
LLICA,internaciones,ingresos espontaneos,2005-02-01,5,5
LURIBAY,internaciones,ingresos espontaneos,2005-02-01,2,2
MACHACAMARCA,internaciones,ingresos espontaneos,2005-02-01,1,1
MACHARETI,internaciones,ingresos espontaneos,2005-02-01,16,16
MAGDALENA,internaciones,ingresos espontaneos,2005-02-01,62,62
MAIRANA,internaciones,ingresos espontaneos,2005-02-01,43,43
MAPIRI,internaciones,ingresos espontaneos,2005-02-01,17,17
MECAPACA,internaciones,ingresos espontaneos,2005-02-01,4,4
MINEROS,internaciones,ingresos espontaneos,2005-02-01,25,25
MIZQUE,internaciones,ingresos espontaneos,2005-02-01,45,45
MOCOMOCO,internaciones,ingresos espontaneos,2005-02-01,3,3
MOJOCOYA,internaciones,ingresos espontaneos,2005-02-01,9,9
MONTEAGUDO,internaciones,ingresos espontaneos,2005-02-01,144,144
MONTERO,internaciones,ingresos espontaneos,2005-02-01,552,552
MORO MORO,internaciones,ingresos espontaneos,2005-02-01,4,4
MOROCHATA,internaciones,ingresos espontaneos,2005-02-01,5,5
OCURI,internaciones,ingresos espontaneos,2005-02-01,17,17
OKINAWA,internaciones,ingresos espontaneos,2005-02-01,2,2
OMEREQUE,internaciones,ingresos espontaneos,2005-02-01,4,4
ORURO,internaciones,ingresos espontaneos,2005-02-01,1668,1668
PADILLA,internaciones,ingresos espontaneos,2005-02-01,51,51
PAILON,internaciones,ingresos espontaneos,2005-02-01,46,46
PALCA,internaciones,ingresos espontaneos,2005-02-01,3,3
PALOS BLANCOS,internaciones,ingresos espontaneos,2005-02-01,53,53
PAMPA GRANDE,internaciones,ingresos espontaneos,2005-02-01,13,13
PAPEL PAMPA,internaciones,ingresos espontaneos,2005-02-01,4,4
PASORAPA,internaciones,ingresos espontaneos,2005-02-01,2,2
PATACAMAYA,internaciones,ingresos espontaneos,2005-02-01,29,29
POCOATA,internaciones,ingresos espontaneos,2005-02-01,7,7
POCONA,internaciones,ingresos espontaneos,2005-02-01,17,17
POJO (CBBA),internaciones,ingresos espontaneos,2005-02-01,9,9
POOPO,internaciones,ingresos espontaneos,2005-02-01,3,3
