municipality,group,variable,month,Egresos,TOTAL
CARMEN RIVERO TORREZ,internaciones,egresos,2005-01-01,3,3
CHALLAPATA,internaciones,egresos,2005-01-01,41,41
CHARAGUA,internaciones,egresos,2005-01-01,138,138
CHAYANTA,internaciones,egresos,2005-01-01,15,15
CHIMORE,internaciones,egresos,2005-01-01,35,35
CHIPAYA,internaciones,egresos,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2005-01-01,77,77
CHUMA,internaciones,egresos,2005-01-01,7,7
CLIZA,internaciones,egresos,2005-01-01,20,20
COBIJA,internaciones,egresos,2005-01-01,336,336
COCHABAMBA,internaciones,egresos,2005-01-01,4809,4809
COIPASA,internaciones,egresos,2005-01-01,1,1
COLCAPIRHUA,internaciones,egresos,2005-01-01,155,155
"COLCHA ""K""",internaciones,egresos,2005-01-01,1,1
COLOMI,internaciones,egresos,2005-01-01,55,55
COLPA BELGICA,internaciones,egresos,2005-01-01,16,16
COLQUECHACA,internaciones,egresos,2005-01-01,2,2
COLQUENCHA,internaciones,egresos,2005-01-01,5,5
COLQUIRI,internaciones,egresos,2005-01-01,19,19
COMARAPA,internaciones,egresos,2005-01-01,95,95
CONCEPCION,internaciones,egresos,2005-01-01,54,54
COPACABANA,internaciones,egresos,2005-01-01,25,25
CORIPATA,internaciones,egresos,2005-01-01,20,20
CORO CORO,internaciones,egresos,2005-01-01,4,4
COROICO,internaciones,egresos,2005-01-01,76,76
CORQUE,internaciones,egresos,2005-01-01,3,3
COTAGAITA,internaciones,egresos,2005-01-01,28,28
COTOCA,internaciones,egresos,2005-01-01,150,150
CUATRO CAÑADAS,internaciones,egresos,2005-01-01,29,29
CUCHUMUELA (V. G. VILLARROEL),internaciones,egresos,2005-01-01,2,2
CUEVO,internaciones,egresos,2005-01-01,10,10
CULPINA,internaciones,egresos,2005-01-01,26,26
CURAHUARA DE CARANGAS,internaciones,egresos,2005-01-01,5,5
CURVA,internaciones,egresos,2005-01-01,2,2
DESAGUADERO,internaciones,egresos,2005-01-01,3,3
EL ALTO,internaciones,egresos,2005-01-01,2481,2481
EL PUENTE(STC),internaciones,egresos,2005-01-01,15,15
EL TORNO,internaciones,egresos,2005-01-01,116,116
EL VILLAR,internaciones,egresos,2005-01-01,8,8
ENTRE RIOS,internaciones,egresos,2005-01-01,34,34
ENTRE RIOS,internaciones,egresos,2005-01-01,28,28
EUCALIPTUS,internaciones,egresos,2005-01-01,8,8
EXALTACION,internaciones,egresos,2005-01-01,1,1
FERNANDEZ ALONSO,internaciones,egresos,2005-01-01,34,34
GENERAL SAAVEDRA,internaciones,egresos,2005-01-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2005-01-01,6,6
GUANAY,internaciones,egresos,2005-01-01,28,28
GUAQUI,internaciones,egresos,2005-01-01,1,1
GUAYARAMERIN,internaciones,egresos,2005-01-01,426,426
GUTIERREZ,internaciones,egresos,2005-01-01,23,23
HUACARETA,internaciones,egresos,2005-01-01,16,16
HUACHACALLA,internaciones,egresos,2005-01-01,2,2
HUANUNI,internaciones,egresos,2005-01-01,75,75
HUARACAJE,internaciones,egresos,2005-01-01,13,13
HUAYLLAMARCA,internaciones,egresos,2005-01-01,3,3
INCAHUASI,internaciones,egresos,2005-01-01,38,38
INQUISIVI,internaciones,egresos,2005-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,egresos,2005-01-01,27,27
IXIAMAS,internaciones,egresos,2005-01-01,24,24
JESUS DE MACHACA,internaciones,egresos,2005-01-01,2,2
LA ASUNTA,internaciones,egresos,2005-01-01,46,46
LA GUARDIA,internaciones,egresos,2005-01-01,85,85
LA PAZ,internaciones,egresos,2005-01-01,6158,6158
LAGUNILLAS,internaciones,egresos,2005-01-01,10,10
LAJA,internaciones,egresos,2005-01-01,1,1
LAS CARRERAS,internaciones,egresos,2005-01-01,10,10
LICOMA PAMPA,internaciones,egresos,2005-01-01,1,1
LLALLAGUA,internaciones,egresos,2005-01-01,190,190
LLICA,internaciones,egresos,2005-01-01,5,5
LURIBAY,internaciones,egresos,2005-01-01,1,1
MACHARETI,internaciones,egresos,2005-01-01,14,14
MAGDALENA,internaciones,egresos,2005-01-01,64,64
MAIRANA,internaciones,egresos,2005-01-01,48,48
MAPIRI,internaciones,egresos,2005-01-01,27,27
MECAPACA,internaciones,egresos,2005-01-01,8,8
MINEROS,internaciones,egresos,2005-01-01,22,22
MIZQUE,internaciones,egresos,2005-01-01,51,51
MOCOMOCO,internaciones,egresos,2005-01-01,3,3
MOJOCOYA,internaciones,egresos,2005-01-01,9,9
MONTEAGUDO,internaciones,egresos,2005-01-01,182,182
MONTERO,internaciones,egresos,2005-01-01,657,657
MOROCHATA,internaciones,egresos,2005-01-01,11,11
OKINAWA,internaciones,egresos,2005-01-01,7,7
OMEREQUE,internaciones,egresos,2005-01-01,8,8
ORURO,internaciones,egresos,2005-01-01,1797,1797
PADILLA,internaciones,egresos,2005-01-01,84,84
PAILON,internaciones,egresos,2005-01-01,56,56
PALCA,internaciones,egresos,2005-01-01,6,6
PALOS BLANCOS,internaciones,egresos,2005-01-01,86,86
PAMPA GRANDE,internaciones,egresos,2005-01-01,14,14
PAPEL PAMPA,internaciones,egresos,2005-01-01,5,5
PASORAPA,internaciones,egresos,2005-01-01,4,4
PATACAMAYA,internaciones,egresos,2005-01-01,30,30
PAZÑA,internaciones,egresos,2005-01-01,1,1
POCOATA,internaciones,egresos,2005-01-01,4,4
POCONA,internaciones,egresos,2005-01-01,32,32
POJO (CBBA),internaciones,egresos,2005-01-01,12,12
POOPO,internaciones,egresos,2005-01-01,4,4
PORCO,internaciones,egresos,2005-01-01,2,2
POROMA,internaciones,egresos,2005-01-01,16,16
PORONGO,internaciones,egresos,2005-01-01,15,15
PORTACHUELO,internaciones,egresos,2005-01-01,135,135
PORVENIR,internaciones,egresos,2005-01-01,11,11
POSTRER VALLE,internaciones,egresos,2005-01-01,2,2
POTOSI,internaciones,egresos,2005-01-01,1449,1449
PRESTO,internaciones,egresos,2005-01-01,7,7
PUCARA,internaciones,egresos,2005-01-01,1,1
PUCARANI,internaciones,egresos,2005-01-01,10,10
PUERTO ACOSTA,internaciones,egresos,2005-01-01,53,53
PUERTO CARABUCO,internaciones,egresos,2005-01-01,5,5
PUERTO GONZALO MORENO,internaciones,egresos,2005-01-01,5,5
PUERTO QUIJARRO,internaciones,egresos,2005-01-01,133,133
PUERTO RICO,internaciones,egresos,2005-01-01,41,41
PUERTO SILES,internaciones,egresos,2005-01-01,3,3
PUERTO SUAREZ,internaciones,egresos,2005-01-01,96,96
PUERTO VILLARROEL,internaciones,egresos,2005-01-01,154,154
PUNA,internaciones,egresos,2005-01-01,15,15
PUNATA,internaciones,egresos,2005-01-01,184,184
QUILLACOLLO,internaciones,egresos,2005-01-01,266,266
QUIME,internaciones,egresos,2005-01-01,10,10
QUIRUSILLAS,internaciones,egresos,2005-01-01,7,7
RAVELO,internaciones,egresos,2005-01-01,4,4
REYES,internaciones,egresos,2005-01-01,36,36
RIBERALTA,internaciones,egresos,2005-01-01,727,727
ROBORE,internaciones,egresos,2005-01-01,46,46
RURRENABAQUE,internaciones,egresos,2005-01-01,113,113
SACABA,internaciones,egresos,2005-01-01,428,428
SACABAMBA,internaciones,egresos,2005-01-01,4,4
SACACA,internaciones,egresos,2005-01-01,15,15
SAIPINA,internaciones,egresos,2005-01-01,11,11
SAMAIPATA,internaciones,egresos,2005-01-01,34,34
SAN ANDRES,internaciones,egresos,2005-01-01,3,3
SAN ANTONIO DE LOMERIO,internaciones,egresos,2005-01-01,27,27
SAN BENITO,internaciones,egresos,2005-01-01,19,19
SAN BORJA,internaciones,egresos,2005-01-01,158,158
SAN BUENA VENTURA,internaciones,egresos,2005-01-01,14,14
SAN CARLOS,internaciones,egresos,2005-01-01,117,117
SAN IGNACIO,internaciones,egresos,2005-01-01,106,106
SAN IGNACIO DE VELASCO,internaciones,egresos,2005-01-01,293,293
SAN JAVIER(STC),internaciones,egresos,2005-01-01,53,53
SAN JOAQUIN,internaciones,egresos,2005-01-01,58,58
SAN JOSE DE CHIQUITOS,internaciones,egresos,2005-01-01,83,83
SAN JUAN DE YAPACANI,internaciones,egresos,2005-01-01,133,133
SAN JULIAN,internaciones,egresos,2005-01-01,202,202
SAN LORENZO(PND),internaciones,egresos,2005-01-01,2,2
SAN LORENZO(TJA),internaciones,egresos,2005-01-01,20,20
SAN LUCAS,internaciones,egresos,2005-01-01,36,36
SAN MATIAS,internaciones,egresos,2005-01-01,35,35
SAN MIGUEL DE VELASCO,internaciones,egresos,2005-01-01,47,47
SAN PEDRO,internaciones,egresos,2005-01-01,33,33
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2005-01-01,15,15
SAN PEDRO DE CURAHUARA,internaciones,egresos,2005-01-01,1,1
SAN RAFAEL,internaciones,egresos,2005-01-01,11,11
SAN RAMON,internaciones,egresos,2005-01-01,38,38
SAN RAMON,internaciones,egresos,2005-01-01,49,49
SANTA ANA,internaciones,egresos,2005-01-01,106,106
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2005-01-01,7337,7337
SANTA ROSA,internaciones,egresos,2005-01-01,36,36
SANTA ROSA DEL SARA,internaciones,egresos,2005-01-01,39,39
SANTIAGO DE CALLAPA,internaciones,egresos,2005-01-01,2,2
SANTIAGO DE MACHACA,internaciones,egresos,2005-01-01,4,4
SANTIVAÑES,internaciones,egresos,2005-01-01,5,5
SENA,internaciones,egresos,2005-01-01,14,14
SICA SICA (VILLA AROMA),internaciones,egresos,2005-01-01,10,10
SIPE SIPE,internaciones,egresos,2005-01-01,44,44
SOPACHUY,internaciones,egresos,2005-01-01,29,29
SORACACHI,internaciones,egresos,2005-01-01,3,3
SORATA,internaciones,egresos,2005-01-01,42,42
SUCRE,internaciones,egresos,2005-01-01,2568,2568
TACACOMA,internaciones,egresos,2005-01-01,1,1
TACOPAYA,internaciones,egresos,2005-01-01,2,2
TAPACARI,internaciones,egresos,2005-01-01,8,8
TARABUCO,internaciones,egresos,2005-01-01,57,57
TARACO,internaciones,egresos,2005-01-01,1,1
TARATA,internaciones,egresos,2005-01-01,13,13
TARIJA,internaciones,egresos,2005-01-01,1363,1363
TARVITA,internaciones,egresos,2005-01-01,21,21
TEOPONTE,internaciones,egresos,2005-01-01,2,2
TIAWANACU,internaciones,egresos,2005-01-01,7,7
TIPUANI,internaciones,egresos,2005-01-01,16,16
TIQUIPAYA,internaciones,egresos,2005-01-01,86,86
TIRAQUE (CBBA),internaciones,egresos,2005-01-01,151,151
TOCO,internaciones,egresos,2005-01-01,1,1
TOLATA,internaciones,egresos,2005-01-01,5,5
TOLEDO,internaciones,egresos,2005-01-01,2,2
TOMAVE,internaciones,egresos,2005-01-01,1,1
TOMINA,internaciones,egresos,2005-01-01,10,10
TORO TORO,internaciones,egresos,2005-01-01,4,4
TOTORA(CBBA),internaciones,egresos,2005-01-01,38,38
TOTORA(ORR),internaciones,egresos,2005-01-01,7,7
TRIGAL,internaciones,egresos,2005-01-01,2,2
TRINIDAD,internaciones,egresos,2005-01-01,1123,1123
TUPIZA,internaciones,egresos,2005-01-01,408,408
TURCO,internaciones,egresos,2005-01-01,2,2
UNCIA,internaciones,egresos,2005-01-01,208,208
URUBICHA,internaciones,egresos,2005-01-01,27,27
UYUNI,internaciones,egresos,2005-01-01,135,135
VACAS,internaciones,egresos,2005-01-01,19,19
VALLEGRANDE,internaciones,egresos,2005-01-01,131,131
VIACHA,internaciones,egresos,2005-01-01,17,17
VILLA MONTES,internaciones,egresos,2005-01-01,214,214
VILLA RIVERO,internaciones,egresos,2005-01-01,10,10
VILLA SERRANO,internaciones,egresos,2005-01-01,28,28
VILLA TUNARI,internaciones,egresos,2005-01-01,181,181
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2005-01-01,23,23
VILLAZON,internaciones,egresos,2005-01-01,203,203
VINTO,internaciones,egresos,2005-01-01,82,82
VITICHI,internaciones,egresos,2005-01-01,8,8
WARNES,internaciones,egresos,2005-01-01,59,59
YACUIBA,internaciones,egresos,2005-01-01,531,531
YAMPARAEZ,internaciones,egresos,2005-01-01,27,27
YAPACANI,internaciones,egresos,2005-01-01,437,437
YOCALLA,internaciones,egresos,2005-01-01,1,1
YOTALA,internaciones,egresos,2005-01-01,32,32
ZUDAÑEZ,internaciones,egresos,2005-01-01,24,24
ACACIO,internaciones,egresos,2005-02-01,2,2
ACHACACHI,internaciones,egresos,2005-02-01,82,82
ACHOCALLA,internaciones,egresos,2005-02-01,4,4
AIQUILE,internaciones,egresos,2005-02-01,123,123
ALALAY,internaciones,egresos,2005-02-01,5,5
ALCALA,internaciones,egresos,2005-02-01,5,5
ANCORAIMES,internaciones,egresos,2005-02-01,3,3
ANTEQUERA,internaciones,egresos,2005-02-01,4,4
ANZALDO,internaciones,egresos,2005-02-01,2,2
APOLO,internaciones,egresos,2005-02-01,22,22
ARAMPAMPA,internaciones,egresos,2005-02-01,2,2
ARANI,internaciones,egresos,2005-02-01,3,3
ARBIETO,internaciones,egresos,2005-02-01,3,3
ARQUE,internaciones,egresos,2005-02-01,8,8
ASCENCION DE GUARAYOS,internaciones,egresos,2005-02-01,81,81
ATOCHA,internaciones,egresos,2005-02-01,107,107
AUCAPATA,internaciones,egresos,2005-02-01,1,1
AYO AYO,internaciones,egresos,2005-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2005-02-01,38,38
AZURDUY,internaciones,egresos,2005-02-01,16,16
BATALLAS,internaciones,egresos,2005-02-01,1,1
BAURES,internaciones,egresos,2005-02-01,3,3
BERMEJO,internaciones,egresos,2005-02-01,153,153
BETANZOS,internaciones,egresos,2005-02-01,45,45
BOLIVAR,internaciones,egresos,2005-02-01,1,1
BOLPEBRA,internaciones,egresos,2005-02-01,2,2
BOYUIBE,internaciones,egresos,2005-02-01,22,22
BUENA VISTA,internaciones,egresos,2005-02-01,22,22
CABEZAS,internaciones,egresos,2005-02-01,24,24
CAJUATA,internaciones,egresos,2005-02-01,19,19
CALAMARCA,internaciones,egresos,2005-02-01,5,5
CAMARGO,internaciones,egresos,2005-02-01,198,198
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2005-02-01,7,7
CAMIRI,internaciones,egresos,2005-02-01,370,370
CAPINOTA,internaciones,egresos,2005-02-01,51,51
CAQUIAVIRI,internaciones,egresos,2005-02-01,2,2
CARACOLLO,internaciones,egresos,2005-02-01,15,15
CARANAVI,internaciones,egresos,2005-02-01,129,129
CARAPARI,internaciones,egresos,2005-02-01,8,8
CARIPUYO,internaciones,egresos,2005-02-01,2,2
CARMEN RIVERO TORREZ,internaciones,egresos,2005-02-01,10,10
CHALLAPATA,internaciones,egresos,2005-02-01,35,35
CHAQUI,internaciones,egresos,2005-02-01,5,5
CHARAGUA,internaciones,egresos,2005-02-01,97,97
CHARAÑA,internaciones,egresos,2005-02-01,1,1
CHAYANTA,internaciones,egresos,2005-02-01,14,14
CHIMORE,internaciones,egresos,2005-02-01,27,27
CHIPAYA,internaciones,egresos,2005-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2005-02-01,70,70
CHUMA,internaciones,egresos,2005-02-01,3,3
CLIZA,internaciones,egresos,2005-02-01,26,26
COBIJA,internaciones,egresos,2005-02-01,304,304
COCHABAMBA,internaciones,egresos,2005-02-01,4020,4020
COLCAPIRHUA,internaciones,egresos,2005-02-01,192,192
"COLCHA ""K""",internaciones,egresos,2005-02-01,2,2
COLLANA,internaciones,egresos,2005-02-01,1,1
COLOMI,internaciones,egresos,2005-02-01,47,47
COLPA BELGICA,internaciones,egresos,2005-02-01,15,15
COLQUECHACA,internaciones,egresos,2005-02-01,7,7
COLQUENCHA,internaciones,egresos,2005-02-01,3,3
COLQUIRI,internaciones,egresos,2005-02-01,26,26
COMARAPA,internaciones,egresos,2005-02-01,102,102
CONCEPCION,internaciones,egresos,2005-02-01,54,54
COPACABANA,internaciones,egresos,2005-02-01,17,17
CORIPATA,internaciones,egresos,2005-02-01,11,11
CORO CORO,internaciones,egresos,2005-02-01,4,4
COROICO,internaciones,egresos,2005-02-01,74,74
CORQUE,internaciones,egresos,2005-02-01,2,2
COTAGAITA,internaciones,egresos,2005-02-01,25,25
COTOCA,internaciones,egresos,2005-02-01,110,110
CUATRO CAÑADAS,internaciones,egresos,2005-02-01,34,34
CUCHUMUELA (V. G. VILLARROEL),internaciones,egresos,2005-02-01,1,1
CUEVO,internaciones,egresos,2005-02-01,7,7
CULPINA,internaciones,egresos,2005-02-01,26,26
CURAHUARA DE CARANGAS,internaciones,egresos,2005-02-01,10,10
CURVA,internaciones,egresos,2005-02-01,1,1
DESAGUADERO,internaciones,egresos,2005-02-01,7,7
EL ALTO,internaciones,egresos,2005-02-01,2192,2192
EL PUENTE(STC),internaciones,egresos,2005-02-01,16,16
EL TORNO,internaciones,egresos,2005-02-01,107,107
EL VILLAR,internaciones,egresos,2005-02-01,4,4
ENTRE RIOS,internaciones,egresos,2005-02-01,33,33
ENTRE RIOS,internaciones,egresos,2005-02-01,30,30
EUCALIPTUS,internaciones,egresos,2005-02-01,5,5
EXALTACION,internaciones,egresos,2005-02-01,1,1
FERNANDEZ ALONSO,internaciones,egresos,2005-02-01,25,25
FILADELFIA,internaciones,egresos,2005-02-01,1,1
GENERAL SAAVEDRA,internaciones,egresos,2005-02-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2005-02-01,1,1
GUANAY,internaciones,egresos,2005-02-01,26,26
GUAQUI,internaciones,egresos,2005-02-01,1,1
GUAYARAMERIN,internaciones,egresos,2005-02-01,366,366
GUTIERREZ,internaciones,egresos,2005-02-01,18,18
HUACARETA,internaciones,egresos,2005-02-01,16,16
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2005-02-01,3,3
HUACHACALLA,internaciones,egresos,2005-02-01,3,3
HUANUNI,internaciones,egresos,2005-02-01,52,52
HUARACAJE,internaciones,egresos,2005-02-01,10,10
HUAYLLAMARCA,internaciones,egresos,2005-02-01,2,2
ICHOCA,internaciones,egresos,2005-02-01,1,1
INCAHUASI,internaciones,egresos,2005-02-01,37,37
INQUISIVI,internaciones,egresos,2005-02-01,11,11
IRUPANA (VILLA DE LANZA),internaciones,egresos,2005-02-01,21,21
IXIAMAS,internaciones,egresos,2005-02-01,14,14
LA ASUNTA,internaciones,egresos,2005-02-01,35,35
LA GUARDIA,internaciones,egresos,2005-02-01,67,67
LA PAZ,internaciones,egresos,2005-02-01,5454,5454
LAGUNILLAS,internaciones,egresos,2005-02-01,4,4
LAJA,internaciones,egresos,2005-02-01,1,1
LAS CARRERAS,internaciones,egresos,2005-02-01,2,2
LICOMA PAMPA,internaciones,egresos,2005-02-01,1,1
LLALLAGUA,internaciones,egresos,2005-02-01,139,139
LLICA,internaciones,egresos,2005-02-01,5,5
LURIBAY,internaciones,egresos,2005-02-01,2,2
MACHACAMARCA,internaciones,egresos,2005-02-01,1,1
MACHARETI,internaciones,egresos,2005-02-01,10,10
MAGDALENA,internaciones,egresos,2005-02-01,75,75
MAIRANA,internaciones,egresos,2005-02-01,39,39
MAPIRI,internaciones,egresos,2005-02-01,17,17
MECAPACA,internaciones,egresos,2005-02-01,4,4
MINEROS,internaciones,egresos,2005-02-01,25,25
MIZQUE,internaciones,egresos,2005-02-01,47,47
MOCOMOCO,internaciones,egresos,2005-02-01,3,3
MOJOCOYA,internaciones,egresos,2005-02-01,9,9
MONTEAGUDO,internaciones,egresos,2005-02-01,148,148
MONTERO,internaciones,egresos,2005-02-01,587,587
MORO MORO,internaciones,egresos,2005-02-01,4,4
MOROCHATA,internaciones,egresos,2005-02-01,5,5
OCURI,internaciones,egresos,2005-02-01,18,18
OKINAWA,internaciones,egresos,2005-02-01,2,2
OMEREQUE,internaciones,egresos,2005-02-01,4,4
ORURO,internaciones,egresos,2005-02-01,1697,1697
PADILLA,internaciones,egresos,2005-02-01,75,75
PAILON,internaciones,egresos,2005-02-01,45,45
PALCA,internaciones,egresos,2005-02-01,3,3
PALOS BLANCOS,internaciones,egresos,2005-02-01,59,59
PAMPA GRANDE,internaciones,egresos,2005-02-01,13,13
PAPEL PAMPA,internaciones,egresos,2005-02-01,4,4
PASORAPA,internaciones,egresos,2005-02-01,2,2
PATACAMAYA,internaciones,egresos,2005-02-01,28,28
POCOATA,internaciones,egresos,2005-02-01,7,7
POCONA,internaciones,egresos,2005-02-01,17,17
POJO (CBBA),internaciones,egresos,2005-02-01,9,9
POOPO,internaciones,egresos,2005-02-01,3,3
PORCO,internaciones,egresos,2005-02-01,3,3
POROMA,internaciones,egresos,2005-02-01,10,10
PORONGO,internaciones,egresos,2005-02-01,4,4
PORTACHUELO,internaciones,egresos,2005-02-01,129,129
PORVENIR,internaciones,egresos,2005-02-01,15,15
POTOSI,internaciones,egresos,2005-02-01,1695,1695
PRESTO,internaciones,egresos,2005-02-01,5,5
PUCARA,internaciones,egresos,2005-02-01,2,2
PUCARANI,internaciones,egresos,2005-02-01,6,6
PUERTO ACOSTA,internaciones,egresos,2005-02-01,57,57
PUERTO CARABUCO,internaciones,egresos,2005-02-01,3,3
PUERTO GONZALO MORENO,internaciones,egresos,2005-02-01,9,9
PUERTO QUIJARRO,internaciones,egresos,2005-02-01,128,128
PUERTO RICO,internaciones,egresos,2005-02-01,36,36
PUERTO SILES,internaciones,egresos,2005-02-01,1,1
PUERTO SUAREZ,internaciones,egresos,2005-02-01,91,91
PUERTO VILLARROEL,internaciones,egresos,2005-02-01,173,173
PUNA,internaciones,egresos,2005-02-01,8,8
PUNATA,internaciones,egresos,2005-02-01,225,225
QUILLACOLLO,internaciones,egresos,2005-02-01,305,305
QUIME,internaciones,egresos,2005-02-01,8,8
QUIRUSILLAS,internaciones,egresos,2005-02-01,7,7
RAVELO,internaciones,egresos,2005-02-01,6,6
REYES,internaciones,egresos,2005-02-01,38,38
RIBERALTA,internaciones,egresos,2005-02-01,548,548
ROBORE,internaciones,egresos,2005-02-01,48,48
RURRENABAQUE,internaciones,egresos,2005-02-01,79,79
SABAYA,internaciones,egresos,2005-02-01,4,4
SACABA,internaciones,egresos,2005-02-01,368,368
SACABAMBA,internaciones,egresos,2005-02-01,4,4
SACACA,internaciones,egresos,2005-02-01,18,18
SAIPINA,internaciones,egresos,2005-02-01,17,17
SAMAIPATA,internaciones,egresos,2005-02-01,30,30
SAN ANDRES,internaciones,egresos,2005-02-01,7,7
SAN ANTONIO DE LOMERIO,internaciones,egresos,2005-02-01,20,20
SAN BENITO,internaciones,egresos,2005-02-01,19,19
SAN BORJA,internaciones,egresos,2005-02-01,150,150
SAN BUENA VENTURA,internaciones,egresos,2005-02-01,18,18
SAN CARLOS,internaciones,egresos,2005-02-01,105,105
SAN IGNACIO,internaciones,egresos,2005-02-01,49,49
SAN IGNACIO DE VELASCO,internaciones,egresos,2005-02-01,323,323
SAN JAVIER(STC),internaciones,egresos,2005-02-01,41,41
SAN JOAQUIN,internaciones,egresos,2005-02-01,52,52
SAN JOSE DE CHIQUITOS,internaciones,egresos,2005-02-01,78,78
SAN JUAN DE YAPACANI,internaciones,egresos,2005-02-01,125,125
SAN JULIAN,internaciones,egresos,2005-02-01,147,147
SAN LORENZO(PND),internaciones,egresos,2005-02-01,5,5
SAN LORENZO(TJA),internaciones,egresos,2005-02-01,12,12
SAN LUCAS,internaciones,egresos,2005-02-01,42,42
SAN MIGUEL DE VELASCO,internaciones,egresos,2005-02-01,46,46
SAN PEDRO,internaciones,egresos,2005-02-01,27,27
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2005-02-01,8,8
SAN RAFAEL,internaciones,egresos,2005-02-01,11,11
SAN RAMON,internaciones,egresos,2005-02-01,37,37
SAN RAMON,internaciones,egresos,2005-02-01,25,25
SANTA ANA,internaciones,egresos,2005-02-01,93,93
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2005-02-01,7153,7153
SANTA ROSA,internaciones,egresos,2005-02-01,27,27
SANTA ROSA DEL SARA,internaciones,egresos,2005-02-01,38,38
SANTIAGO DE HUARI,internaciones,egresos,2005-02-01,4,4
SANTIAGO DE MACHACA,internaciones,egresos,2005-02-01,1,1
SANTIVAÑES,internaciones,egresos,2005-02-01,5,5
SAPAHAQUI,internaciones,egresos,2005-02-01,1,1
SENA,internaciones,egresos,2005-02-01,9,9
SICA SICA (VILLA AROMA),internaciones,egresos,2005-02-01,11,11
SIPE SIPE,internaciones,egresos,2005-02-01,35,35
SOPACHUY,internaciones,egresos,2005-02-01,23,23
SORACACHI,internaciones,egresos,2005-02-01,2,2
SORATA,internaciones,egresos,2005-02-01,31,31
SUCRE,internaciones,egresos,2005-02-01,2272,2272
TACACOMA,internaciones,egresos,2005-02-01,2,2
TACOPAYA,internaciones,egresos,2005-02-01,1,1
TAPACARI,internaciones,egresos,2005-02-01,5,5
TARABUCO,internaciones,egresos,2005-02-01,52,52
TARATA,internaciones,egresos,2005-02-01,19,19
TARIJA,internaciones,egresos,2005-02-01,1249,1249
TARVITA,internaciones,egresos,2005-02-01,28,28
TEOPONTE,internaciones,egresos,2005-02-01,5,5
TIAWANACU,internaciones,egresos,2005-02-01,7,7
TIPUANI,internaciones,egresos,2005-02-01,15,15
TIQUIPAYA,internaciones,egresos,2005-02-01,54,54
TIRAQUE (CBBA),internaciones,egresos,2005-02-01,141,141
