municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,116,116
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-03-01,19,19
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,28,28
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-03-01,8,8
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,7,7
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-03-01,4,4
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2005-03-01,3,3
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-03-01,8,8
YAMPARAEZ,internaciones,fallecidos a partir de las 48 horas,2005-03-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-04-01,6,6
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-04-01,2,2
COBIJA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,57,57
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,6,6
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-04-01,108,108
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,22,22
PADILLA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-04-01,24,24
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2005-04-01,3,3
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,5,5
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,5,5
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,3,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,92,92
SOPACHUY,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-04-01,21,21
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,21,21
TIRAQUE (CBBA),internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-04-01,10,10
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,3,3
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,3,3
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2005-04-01,4,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-04-01,2,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-04-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-04-01,2,2
APOLO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,3,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-05-01,3,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,63,63
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,6,6
ENTRE RIOS,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
FERNANDEZ ALONSO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-05-01,136,136
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,40,40
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-05-01,30,30
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,4,4
ROBORE,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-05-01,3,3
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
SAN MATIAS,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,95,95
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-05-01,32,32
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,22,22
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-05-01,8,8
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-05-01,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-05-01,3,3
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2005-05-01,3,3
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
BOYUIBE,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,3,3
CAMATAQUI (C. VILLA ABECIA),internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
CARMEN RIVERO TORREZ,internaciones,fallecidos a partir de las 48 horas,2005-06-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,45,45
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,4,4
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-06-01,123,123
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,29,29
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-06-01,22,22
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
REYES,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,4,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-06-01,4,4
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,94,94
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-06-01,32,32
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,24,24
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-06-01,4,4
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,7,7
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,3,3
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2005-06-01,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2005-06-01,7,7
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-06-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-06-01,5,5
ANTEQUERA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,3,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-07-01,4,4
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,54,54
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,10,10
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-07-01,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-07-01,119,119
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,34,34
POTOSI,internaciones,fallecidos a partir de las 48 horas,2005-07-01,27,27
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,5,5
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-07-01,3,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2005-07-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-07-01,3,3
