municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,53,53
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,12,12
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,26,26
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,28,28
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,21,21
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,113,113
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
CHACARILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,64,64
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,25,25
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,16,16
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
CHUA COCANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,22,22
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,32,32
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,30,30
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,55,55
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,739,739
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,19,19
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,63,63
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,20,20
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,23,23
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,33,33
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,40,40
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,31,31
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,28,28
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,774,774
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,12,12
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,112,112
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,30,30
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
EXALTACION,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,30,30
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,29,29
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
INGAVI (HUMAITA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,46,46
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,60,60
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1170,1170
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,12,12
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
LICOMA PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,17,17
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,24,24
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,21,21
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,36,36
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,33,33
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,45,45
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,96,96
MORO MORO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,20,20
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,15,15
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,567,567
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,17,17
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,23,23
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,25,25
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,20,20
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,37,37
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
POOPO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,22,22
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,53,53
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,307,307
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
PUCARA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,29,29
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,47,47
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,87,87
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,19,19
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,12,12
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,75,75
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,264,264
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,120,120
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,33,33
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,20,20
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,75,75
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,17,17
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,26,26
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,29,29
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,43,43
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,31,31
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,43,43
SAN JUAN DE YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,31,31
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,23,23
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,52,52
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,22,22
SAN PABLO DE LIPEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SAN PEDRO DE QUEMES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,19,19
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,36,36
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,909,909
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,29,29
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,16,16
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,27,27
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
TACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,14,14
TAHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,35,35
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,22,22
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,162,162
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,17,17
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,18,18
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,12,12
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,102,102
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,34,34
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,5,5
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,17,17
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,13,13
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
TRIGAL,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,326,326
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,19,19
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,19,19
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,9,9
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,24,24
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,28,28
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,52,52
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,6,6
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,20,20
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,52,52
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,8,8
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,61,61
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,10,10
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,36,36
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,3,3
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,1,1
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,65,65
YACO,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,76,76
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,2,2
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,4,4
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,107,107
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,11,11
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-01-01,7,7
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,37,37
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,2,2
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,12,12
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,4,4
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,19,19
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,14,14
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,13,13
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,62,62
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,6,6
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,3,3
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-02-01,9,9
