municipality,group,variable,month,Total 11.1 Vaginales,TOTAL
SAN JUAN DE YAPACANI,atencion de partos en servicios,vaginales,2014-01-01,8,8
SAN JULIAN,atencion de partos en servicios,vaginales,2014-01-01,44,44
SAN LORENZO(PND),atencion de partos en servicios,vaginales,2014-01-01,3,3
SAN LORENZO(TJA),atencion de partos en servicios,vaginales,2014-01-01,1,1
SAN LUCAS,atencion de partos en servicios,vaginales,2014-01-01,34,34
SAN MATIAS,atencion de partos en servicios,vaginales,2014-01-01,15,15
SAN MIGUEL DE VELASCO,atencion de partos en servicios,vaginales,2014-01-01,13,13
SAN PEDRO,atencion de partos en servicios,vaginales,2014-01-01,14,14
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,vaginales,2014-01-01,15,15
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,vaginales,2014-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,vaginales,2014-01-01,4,4
SAN RAFAEL,atencion de partos en servicios,vaginales,2014-01-01,6,6
SAN RAMON BENI,atencion de partos en servicios,vaginales,2014-01-01,4,4
SAN RAMON SCZ,atencion de partos en servicios,vaginales,2014-01-01,17,17
SANTA ANA,atencion de partos en servicios,vaginales,2014-01-01,21,21
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,vaginales,2014-01-01,1536,1536
SANTA ROSA,atencion de partos en servicios,vaginales,2014-01-01,13,13
SANTA ROSA DEL SARA,atencion de partos en servicios,vaginales,2014-01-01,16,16
SANTIAGO DE CALLAPA,atencion de partos en servicios,vaginales,2014-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,vaginales,2014-01-01,2,2
SANTIAGO DE HUATA,atencion de partos en servicios,vaginales,2014-01-01,1,1
SANTIAGO DE MACHACA,atencion de partos en servicios,vaginales,2014-01-01,1,1
SANTIVAÑES,atencion de partos en servicios,vaginales,2014-01-01,1,1
SAPAHAQUI,atencion de partos en servicios,vaginales,2014-01-01,3,3
SENA,atencion de partos en servicios,vaginales,2014-01-01,12,12
SHINAOTA,atencion de partos en servicios,vaginales,2014-01-01,29,29
SICA SICA (VILLA AROMA),atencion de partos en servicios,vaginales,2014-01-01,12,12
SIPE SIPE,atencion de partos en servicios,vaginales,2014-01-01,40,40
SOPACHUY,atencion de partos en servicios,vaginales,2014-01-01,6,6
SORACACHI,atencion de partos en servicios,vaginales,2014-01-01,3,3
SORATA,atencion de partos en servicios,vaginales,2014-01-01,5,5
SUCRE,atencion de partos en servicios,vaginales,2014-01-01,318,318
TACACOMA,atencion de partos en servicios,vaginales,2014-01-01,4,4
TACOBAMBA,atencion de partos en servicios,vaginales,2014-01-01,3,3
TACOPAYA,atencion de partos en servicios,vaginales,2014-01-01,4,4
TAHUA,atencion de partos en servicios,vaginales,2014-01-01,1,1
TAPACARI,atencion de partos en servicios,vaginales,2014-01-01,5,5
TARABUCO,atencion de partos en servicios,vaginales,2014-01-01,15,15
TARACO,atencion de partos en servicios,vaginales,2014-01-01,1,1
TARATA,atencion de partos en servicios,vaginales,2014-01-01,12,12
TARIJA,atencion de partos en servicios,vaginales,2014-01-01,255,255
TARVITA,atencion de partos en servicios,vaginales,2014-01-01,19,19
TEOPONTE,atencion de partos en servicios,vaginales,2014-01-01,14,14
TIAWANACU,atencion de partos en servicios,vaginales,2014-01-01,9,9
TINGUIPAYA,atencion de partos en servicios,vaginales,2014-01-01,3,3
TIPUANI,atencion de partos en servicios,vaginales,2014-01-01,13,13
TIQUIPAYA,atencion de partos en servicios,vaginales,2014-01-01,74,74
TIRAQUE (CBBA),atencion de partos en servicios,vaginales,2014-01-01,21,21
TOCO,atencion de partos en servicios,vaginales,2014-01-01,3,3
TOLATA,atencion de partos en servicios,vaginales,2014-01-01,3,3
TOMAVE,atencion de partos en servicios,vaginales,2014-01-01,8,8
TOMINA,atencion de partos en servicios,vaginales,2014-01-01,8,8
TORO TORO,atencion de partos en servicios,vaginales,2014-01-01,7,7
TOTORA(CBBA),atencion de partos en servicios,vaginales,2014-01-01,24,24
TOTORA(ORR),atencion de partos en servicios,vaginales,2014-01-01,2,2
TRIGAL,atencion de partos en servicios,vaginales,2014-01-01,1,1
TRINIDAD,atencion de partos en servicios,vaginales,2014-01-01,218,218
TUPIZA,atencion de partos en servicios,vaginales,2014-01-01,65,65
TURCO,atencion de partos en servicios,vaginales,2014-01-01,2,2
UMALA,atencion de partos en servicios,vaginales,2014-01-01,3,3
UNCIA,atencion de partos en servicios,vaginales,2014-01-01,21,21
URIONDO (A. CONCEPCION),atencion de partos en servicios,vaginales,2014-01-01,7,7
URUBICHA,atencion de partos en servicios,vaginales,2014-01-01,4,4
UYUNI,atencion de partos en servicios,vaginales,2014-01-01,51,51
VACAS,atencion de partos en servicios,vaginales,2014-01-01,7,7
VALLEGRANDE,atencion de partos en servicios,vaginales,2014-01-01,20,20
VIACHA,atencion de partos en servicios,vaginales,2014-01-01,42,42
VILA VILA,atencion de partos en servicios,vaginales,2014-01-01,3,3
VILLA CHARCAS,atencion de partos en servicios,vaginales,2014-01-01,9,9
VILLA MONTES,atencion de partos en servicios,vaginales,2014-01-01,69,69
VILLA RIVERO,atencion de partos en servicios,vaginales,2014-01-01,3,3
VILLA SERRANO,atencion de partos en servicios,vaginales,2014-01-01,9,9
VILLA TUNARI,atencion de partos en servicios,vaginales,2014-01-01,111,111
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,vaginales,2014-01-01,7,7
VILLAZON,atencion de partos en servicios,vaginales,2014-01-01,56,56
VINTO,atencion de partos en servicios,vaginales,2014-01-01,43,43
VITICHI,atencion de partos en servicios,vaginales,2014-01-01,5,5
WARNES,atencion de partos en servicios,vaginales,2014-01-01,125,125
YACO,atencion de partos en servicios,vaginales,2014-01-01,2,2
YACUIBA,atencion de partos en servicios,vaginales,2014-01-01,123,123
YAMPARAEZ,atencion de partos en servicios,vaginales,2014-01-01,3,3
YANACACHI,atencion de partos en servicios,vaginales,2014-01-01,2,2
YAPACANI,atencion de partos en servicios,vaginales,2014-01-01,68,68
YOCALLA,atencion de partos en servicios,vaginales,2014-01-01,6,6
YOTALA,atencion de partos en servicios,vaginales,2014-01-01,10,10
YUNCHARA,atencion de partos en servicios,vaginales,2014-01-01,3,3
ZUDAÑEZ,atencion de partos en servicios,vaginales,2014-01-01,6,6
ACACIO,atencion de partos en servicios,vaginales,2014-02-01,4,4
ACHACACHI,atencion de partos en servicios,vaginales,2014-02-01,20,20
ACHOCALLA,atencion de partos en servicios,vaginales,2014-02-01,6,6
AIQUILE,atencion de partos en servicios,vaginales,2014-02-01,16,16
ALCALA,atencion de partos en servicios,vaginales,2014-02-01,2,2
ALTO BENI,atencion de partos en servicios,vaginales,2014-02-01,10,10
ANCORAIMES,atencion de partos en servicios,vaginales,2014-02-01,6,6
ANTEQUERA,atencion de partos en servicios,vaginales,2014-02-01,4,4
ANZALDO,atencion de partos en servicios,vaginales,2014-02-01,5,5
APOLO,atencion de partos en servicios,vaginales,2014-02-01,10,10
ARAMPAMPA,atencion de partos en servicios,vaginales,2014-02-01,1,1
ARANI,atencion de partos en servicios,vaginales,2014-02-01,11,11
ARBIETO,atencion de partos en servicios,vaginales,2014-02-01,11,11
ARQUE,atencion de partos en servicios,vaginales,2014-02-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2014-02-01,40,40
ATOCHA,atencion de partos en servicios,vaginales,2014-02-01,13,13
AYATA,atencion de partos en servicios,vaginales,2014-02-01,2,2
AYO AYO,atencion de partos en servicios,vaginales,2014-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2014-02-01,16,16
AZURDUY,atencion de partos en servicios,vaginales,2014-02-01,4,4
BATALLAS,atencion de partos en servicios,vaginales,2014-02-01,4,4
BAURES,atencion de partos en servicios,vaginales,2014-02-01,4,4
BELEN DE URMIRI,atencion de partos en servicios,vaginales,2014-02-01,1,1
BELLA FLOR,atencion de partos en servicios,vaginales,2014-02-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2014-02-01,41,41
BETANZOS,atencion de partos en servicios,vaginales,2014-02-01,34,34
BOLIVAR,atencion de partos en servicios,vaginales,2014-02-01,1,1
BUENA VISTA,atencion de partos en servicios,vaginales,2014-02-01,9,9
CABEZAS,atencion de partos en servicios,vaginales,2014-02-01,26,26
CAIROMA,atencion de partos en servicios,vaginales,2014-02-01,9,9
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-02-01,5,5
CAJUATA,atencion de partos en servicios,vaginales,2014-02-01,8,8
CALACOTO,atencion de partos en servicios,vaginales,2014-02-01,2,2
CALAMARCA,atencion de partos en servicios,vaginales,2014-02-01,4,4
CAMARGO,atencion de partos en servicios,vaginales,2014-02-01,16,16
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2014-02-01,5,5
CAMIRI,atencion de partos en servicios,vaginales,2014-02-01,59,59
CAPINOTA,atencion de partos en servicios,vaginales,2014-02-01,19,19
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-02-01,1,1
CARACOLLO,atencion de partos en servicios,vaginales,2014-02-01,11,11
CARANAVI,atencion de partos en servicios,vaginales,2014-02-01,64,64
CARAPARI,atencion de partos en servicios,vaginales,2014-02-01,6,6
CARIPUYO,atencion de partos en servicios,vaginales,2014-02-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-02-01,8,8
CHALLAPATA,atencion de partos en servicios,vaginales,2014-02-01,39,39
CHAQUI,atencion de partos en servicios,vaginales,2014-02-01,1,1
CHARAGUA,atencion de partos en servicios,vaginales,2014-02-01,32,32
CHAYANTA,atencion de partos en servicios,vaginales,2014-02-01,8,8
CHIMORE,atencion de partos en servicios,vaginales,2014-02-01,14,14
CHIPAYA,atencion de partos en servicios,vaginales,2014-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-02-01,26,26
CHUMA,atencion de partos en servicios,vaginales,2014-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-02-01,8,8
CKOCHAS,atencion de partos en servicios,vaginales,2014-02-01,4,4
CLIZA,atencion de partos en servicios,vaginales,2014-02-01,26,26
COBIJA,atencion de partos en servicios,vaginales,2014-02-01,65,65
COCAPATA,atencion de partos en servicios,vaginales,2014-02-01,8,8
COCHABAMBA,atencion de partos en servicios,vaginales,2014-02-01,772,772
COIPASA,atencion de partos en servicios,vaginales,2014-02-01,1,1
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-02-01,25,25
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-02-01,4,4
COLLANA,atencion de partos en servicios,vaginales,2014-02-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2014-02-01,17,17
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-02-01,1,1
COLQUECHACA,atencion de partos en servicios,vaginales,2014-02-01,7,7
COLQUENCHA,atencion de partos en servicios,vaginales,2014-02-01,8,8
COLQUIRI,atencion de partos en servicios,vaginales,2014-02-01,5,5
COMARAPA,atencion de partos en servicios,vaginales,2014-02-01,15,15
CONCEPCION,atencion de partos en servicios,vaginales,2014-02-01,29,29
COPACABANA,atencion de partos en servicios,vaginales,2014-02-01,4,4
CORIPATA,atencion de partos en servicios,vaginales,2014-02-01,10,10
CORO CORO,atencion de partos en servicios,vaginales,2014-02-01,1,1
COROICO,atencion de partos en servicios,vaginales,2014-02-01,21,21
CORQUE,atencion de partos en servicios,vaginales,2014-02-01,4,4
COTAGAITA,atencion de partos en servicios,vaginales,2014-02-01,14,14
COTOCA,atencion de partos en servicios,vaginales,2014-02-01,61,61
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-02-01,24,24
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,vaginales,2014-02-01,1,1
CULPINA,atencion de partos en servicios,vaginales,2014-02-01,8,8
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-02-01,8,8
DESAGUADERO,atencion de partos en servicios,vaginales,2014-02-01,5,5
EL ALTO,atencion de partos en servicios,vaginales,2014-02-01,868,868
EL CHORO,atencion de partos en servicios,vaginales,2014-02-01,5,5
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-02-01,6,6
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-02-01,6,6
EL TORNO,atencion de partos en servicios,vaginales,2014-02-01,57,57
EL VILLAR,atencion de partos en servicios,vaginales,2014-02-01,3,3
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-02-01,11,11
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-02-01,19,19
ESCOMA,atencion de partos en servicios,vaginales,2014-02-01,3,3
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-02-01,4,4
EXALTACION,atencion de partos en servicios,vaginales,2014-02-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-02-01,8,8
FILADELFIA,atencion de partos en servicios,vaginales,2014-02-01,2,2
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-02-01,12,12
GUANAY,atencion de partos en servicios,vaginales,2014-02-01,12,12
GUAQUI,atencion de partos en servicios,vaginales,2014-02-01,4,4
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-02-01,60,60
GUTIERREZ,atencion de partos en servicios,vaginales,2014-02-01,11,11
HUACARETA,atencion de partos en servicios,vaginales,2014-02-01,4,4
