municipality,group,variable,month,Total 11.4 Nacidos muertos,TOTAL
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-02-01,3,3
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-02-01,5,5
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-02-01,29,29
SUCRE,atencion de partos en servicios,nacidos muertos,2014-02-01,4,4
TACOPAYA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-02-01,3,3
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-02-01,3,3
UYUNI,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
VACAS,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-02-01,5,5
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-02-01,2,2
VINTO,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2014-02-01,3,3
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-02-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
CHIMORE,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-03-01,34,34
CONCEPCION,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-03-01,26,26
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-03-01,25,25
MONTERO,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2014-03-01,13,13
POCOATA,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-03-01,11,11
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
PUNA,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
PUNATA,atencion de partos en servicios,nacidos muertos,2014-03-01,3,3
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-03-01,5,5
ROBORE,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-03-01,24,24
SUCRE,atencion de partos en servicios,nacidos muertos,2014-03-01,4,4
TAPACARI,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-03-01,2,2
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-03-01,4,4
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-03-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-03-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-04-01,3,3
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-04-01,14,14
COTOCA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-04-01,29,29
EL TORNO,atencion de partos en servicios,nacidos muertos,2014-04-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-04-01,2,2
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-04-01,23,23
LAS CARRERAS,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-04-01,8,8
ORURO,atencion de partos en servicios,nacidos muertos,2014-04-01,9,9
PADILLA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-04-01,9,9
PUNATA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-04-01,4,4
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
SAN LUCAS,atencion de partos en servicios,nacidos muertos,2014-04-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-04-01,31,31
SUCRE,atencion de partos en servicios,nacidos muertos,2014-04-01,9,9
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-04-01,2,2
TARVITA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-04-01,6,6
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
VINTO,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2014-04-01,2,2
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
ZUDAÑEZ,atencion de partos en servicios,nacidos muertos,2014-04-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
CLIZA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-05-01,23,23
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-05-01,34,34
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
HUANUNI,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
INGAVI (HUMAITA),atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-05-01,23,23
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-05-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos,2014-05-01,11,11
POTOSI,atencion de partos en servicios,nacidos muertos,2014-05-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-05-01,4,4
PUNATA,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-05-01,3,3
RAVELO,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-05-01,5,5
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-05-01,3,3
SACABA,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-05-01,34,34
SUCRE,atencion de partos en servicios,nacidos muertos,2014-05-01,9,9
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-05-01,7,7
TARVITA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
TOMINA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
UNCIA,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-05-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
VINTO,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
WARNES,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-05-01,3,3
YAPACANI,atencion de partos en servicios,nacidos muertos,2014-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
CAMARGO,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
CHALLAPATA,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
CHARAGUA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-06-01,22,22
COMARAPA,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
COROICO,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
COTOCA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-06-01,21,21
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-06-01,20,20
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
MONTERO,atencion de partos en servicios,nacidos muertos,2014-06-01,5,5
ORURO,atencion de partos en servicios,nacidos muertos,2014-06-01,6,6
PAILON,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-06-01,9,9
PUERTO SUAREZ,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
QUILLACOLLO,atencion de partos en servicios,nacidos muertos,2014-06-01,6,6
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-06-01,6,6
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SACACA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SAN ANDRES,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-06-01,29,29
SANTA ROSA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SORATA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
SUCRE,atencion de partos en servicios,nacidos muertos,2014-06-01,4,4
TARIJA,atencion de partos en servicios,nacidos muertos,2014-06-01,7,7
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
TUPIZA,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-06-01,3,3
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-06-01,2,2
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-06-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-06-01,5,5
ACHACACHI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
AIQUILE,atencion de partos en servicios,nacidos muertos,2014-07-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
BETANZOS,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos muertos,2014-07-01,4,4
CLIZA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-07-01,22,22
COROICO,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-07-01,22,22
EL TORNO,atencion de partos en servicios,nacidos muertos,2014-07-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
HUANUNI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-07-01,21,21
LAJA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
LLALLAGUA,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
MIZQUE,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
ORURO,atencion de partos en servicios,nacidos muertos,2014-07-01,8,8
PADILLA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
PORTACHUELO,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
PUNATA,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-07-01,7,7
ROBORE,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-07-01,22,22
SUCRE,atencion de partos en servicios,nacidos muertos,2014-07-01,5,5
TARIJA,atencion de partos en servicios,nacidos muertos,2014-07-01,2,2
TIPUANI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
TUPIZA,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
UYUNI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
VALLEGRANDE,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
VILLA CHARCAS,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-07-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
VITICHI,atencion de partos en servicios,nacidos muertos,2014-07-01,1,1
YACUIBA,atencion de partos en servicios,nacidos muertos,2014-07-01,3,3
ACHACACHI,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
ALCALA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
BERMEJO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
CABEZAS,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
CAMIRI,atencion de partos en servicios,nacidos muertos,2014-08-01,3,3
CARACOLLO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
CARANAVI,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
CKOCHAS,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
COBIJA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
COCHABAMBA,atencion de partos en servicios,nacidos muertos,2014-08-01,15,15
COLCAPIRHUA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
COLQUECHACA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
EL ALTO,atencion de partos en servicios,nacidos muertos,2014-08-01,19,19
EL PUENTE(STC),atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
ESCOMA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
GUAYARAMERIN,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
HUANUNI,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
LA ASUNTA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
LA PAZ,atencion de partos en servicios,nacidos muertos,2014-08-01,10,10
MAGDALENA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
MONTERO,atencion de partos en servicios,nacidos muertos,2014-08-01,6,6
ORURO,atencion de partos en servicios,nacidos muertos,2014-08-01,6,6
PAILON,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
POTOSI,atencion de partos en servicios,nacidos muertos,2014-08-01,8,8
PUERTO VILLARROEL,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
PUNATA,atencion de partos en servicios,nacidos muertos,2014-08-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos muertos,2014-08-01,3,3
RURRENABAQUE,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SACABA,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
SACACA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SAN CARLOS,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SAN JAVIER(STC),atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos muertos,2014-08-01,3,3
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos muertos,2014-08-01,28,28
SUCRE,atencion de partos en servicios,nacidos muertos,2014-08-01,11,11
TACOPAYA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
TARABUCO,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
TARIJA,atencion de partos en servicios,nacidos muertos,2014-08-01,6,6
TIQUIPAYA,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
TOTORA(CBBA),atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
UYUNI,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos muertos,2014-08-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos muertos,2014-08-01,3,3
VILLAZON,atencion de partos en servicios,nacidos muertos,2014-08-01,1,1
