municipality,group,variable,month,Total 11.2 Cesáreas,TOTAL
BETANZOS,atencion de partos en servicios,cesareas,2014-02-01,3,3
CAMARGO,atencion de partos en servicios,cesareas,2014-02-01,9,9
CAMIRI,atencion de partos en servicios,cesareas,2014-02-01,43,43
CARANAVI,atencion de partos en servicios,cesareas,2014-02-01,11,11
CHALLAPATA,atencion de partos en servicios,cesareas,2014-02-01,5,5
CHARAGUA,atencion de partos en servicios,cesareas,2014-02-01,11,11
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-02-01,7,7
CLIZA,atencion de partos en servicios,cesareas,2014-02-01,6,6
COBIJA,atencion de partos en servicios,cesareas,2014-02-01,64,64
COCHABAMBA,atencion de partos en servicios,cesareas,2014-02-01,749,749
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-02-01,15,15
COMARAPA,atencion de partos en servicios,cesareas,2014-02-01,7,7
COROICO,atencion de partos en servicios,cesareas,2014-02-01,5,5
COTOCA,atencion de partos en servicios,cesareas,2014-02-01,11,11
EL ALTO,atencion de partos en servicios,cesareas,2014-02-01,285,285
EL TORNO,atencion de partos en servicios,cesareas,2014-02-01,32,32
ESCOMA,atencion de partos en servicios,cesareas,2014-02-01,3,3
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-02-01,42,42
HUANUNI,atencion de partos en servicios,cesareas,2014-02-01,15,15
HUARACAJE,atencion de partos en servicios,cesareas,2014-02-01,1,1
LA PAZ,atencion de partos en servicios,cesareas,2014-02-01,683,683
LLALLAGUA,atencion de partos en servicios,cesareas,2014-02-01,13,13
MAGDALENA,atencion de partos en servicios,cesareas,2014-02-01,2,2
MAIRANA,atencion de partos en servicios,cesareas,2014-02-01,18,18
MIZQUE,atencion de partos en servicios,cesareas,2014-02-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-02-01,14,14
MONTERO,atencion de partos en servicios,cesareas,2014-02-01,120,120
OCURI,atencion de partos en servicios,cesareas,2014-02-01,1,1
ORURO,atencion de partos en servicios,cesareas,2014-02-01,323,323
PADILLA,atencion de partos en servicios,cesareas,2014-02-01,11,11
PAILON,atencion de partos en servicios,cesareas,2014-02-01,1,1
PATACAMAYA,atencion de partos en servicios,cesareas,2014-02-01,2,2
PORTACHUELO,atencion de partos en servicios,cesareas,2014-02-01,27,27
POTOSI,atencion de partos en servicios,cesareas,2014-02-01,132,132
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-02-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-02-01,28,28
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-02-01,19,19
PUNATA,atencion de partos en servicios,cesareas,2014-02-01,27,27
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-02-01,56,56
REYES,atencion de partos en servicios,cesareas,2014-02-01,6,6
RIBERALTA,atencion de partos en servicios,cesareas,2014-02-01,81,81
ROBORE,atencion de partos en servicios,cesareas,2014-02-01,9,9
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-02-01,21,21
SACABA,atencion de partos en servicios,cesareas,2014-02-01,41,41
SAMAIPATA,atencion de partos en servicios,cesareas,2014-02-01,2,2
SAN BORJA,atencion de partos en servicios,cesareas,2014-02-01,28,28
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2014-02-01,2,2
SAN CARLOS,atencion de partos en servicios,cesareas,2014-02-01,13,13
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-02-01,9,9
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-02-01,36,36
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-02-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-02-01,6,6
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-02-01,4,4
SAN JULIAN,atencion de partos en servicios,cesareas,2014-02-01,19,19
SAN MATIAS,atencion de partos en servicios,cesareas,2014-02-01,14,14
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-02-01,9,9
SANTA ANA,atencion de partos en servicios,cesareas,2014-02-01,10,10
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-02-01,2165,2165
SANTA ROSA,atencion de partos en servicios,cesareas,2014-02-01,2,2
SHINAOTA,atencion de partos en servicios,cesareas,2014-02-01,8,8
SUCRE,atencion de partos en servicios,cesareas,2014-02-01,214,214
TARABUCO,atencion de partos en servicios,cesareas,2014-02-01,1,1
TARIJA,atencion de partos en servicios,cesareas,2014-02-01,200,200
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-02-01,9,9
TRINIDAD,atencion de partos en servicios,cesareas,2014-02-01,144,144
TUPIZA,atencion de partos en servicios,cesareas,2014-02-01,11,11
UYUNI,atencion de partos en servicios,cesareas,2014-02-01,11,11
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-02-01,22,22
VIACHA,atencion de partos en servicios,cesareas,2014-02-01,1,1
VILLA MONTES,atencion de partos en servicios,cesareas,2014-02-01,31,31
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-02-01,38,38
VILLAZON,atencion de partos en servicios,cesareas,2014-02-01,6,6
VINTO,atencion de partos en servicios,cesareas,2014-02-01,11,11
WARNES,atencion de partos en servicios,cesareas,2014-02-01,10,10
YACUIBA,atencion de partos en servicios,cesareas,2014-02-01,81,81
YAPACANI,atencion de partos en servicios,cesareas,2014-02-01,24,24
ACHACACHI,atencion de partos en servicios,cesareas,2014-03-01,2,2
AIQUILE,atencion de partos en servicios,cesareas,2014-03-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-03-01,23,23
BAURES,atencion de partos en servicios,cesareas,2014-03-01,4,4
BERMEJO,atencion de partos en servicios,cesareas,2014-03-01,22,22
CAMARGO,atencion de partos en servicios,cesareas,2014-03-01,3,3
CAMIRI,atencion de partos en servicios,cesareas,2014-03-01,28,28
CARANAVI,atencion de partos en servicios,cesareas,2014-03-01,16,16
CHALLAPATA,atencion de partos en servicios,cesareas,2014-03-01,2,2
CHARAGUA,atencion de partos en servicios,cesareas,2014-03-01,16,16
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-03-01,1,1
CLIZA,atencion de partos en servicios,cesareas,2014-03-01,16,16
COBIJA,atencion de partos en servicios,cesareas,2014-03-01,68,68
COCHABAMBA,atencion de partos en servicios,cesareas,2014-03-01,849,849
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-03-01,12,12
COMARAPA,atencion de partos en servicios,cesareas,2014-03-01,6,6
COROICO,atencion de partos en servicios,cesareas,2014-03-01,4,4
COTOCA,atencion de partos en servicios,cesareas,2014-03-01,18,18
EL ALTO,atencion de partos en servicios,cesareas,2014-03-01,315,315
EL TORNO,atencion de partos en servicios,cesareas,2014-03-01,43,43
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-03-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-03-01,46,46
HUANUNI,atencion de partos en servicios,cesareas,2014-03-01,7,7
HUARACAJE,atencion de partos en servicios,cesareas,2014-03-01,3,3
LA PAZ,atencion de partos en servicios,cesareas,2014-03-01,671,671
LLALLAGUA,atencion de partos en servicios,cesareas,2014-03-01,8,8
MAGDALENA,atencion de partos en servicios,cesareas,2014-03-01,6,6
MAIRANA,atencion de partos en servicios,cesareas,2014-03-01,6,6
MIZQUE,atencion de partos en servicios,cesareas,2014-03-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-03-01,12,12
MONTERO,atencion de partos en servicios,cesareas,2014-03-01,211,211
ORURO,atencion de partos en servicios,cesareas,2014-03-01,306,306
PADILLA,atencion de partos en servicios,cesareas,2014-03-01,7,7
PORTACHUELO,atencion de partos en servicios,cesareas,2014-03-01,22,22
POTOSI,atencion de partos en servicios,cesareas,2014-03-01,111,111
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-03-01,8,8
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-03-01,11,11
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-03-01,17,17
PUNATA,atencion de partos en servicios,cesareas,2014-03-01,39,39
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-03-01,64,64
REYES,atencion de partos en servicios,cesareas,2014-03-01,7,7
RIBERALTA,atencion de partos en servicios,cesareas,2014-03-01,72,72
ROBORE,atencion de partos en servicios,cesareas,2014-03-01,7,7
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-03-01,16,16
SACABA,atencion de partos en servicios,cesareas,2014-03-01,36,36
SAMAIPATA,atencion de partos en servicios,cesareas,2014-03-01,1,1
SAN BORJA,atencion de partos en servicios,cesareas,2014-03-01,28,28
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2014-03-01,4,4
SAN CARLOS,atencion de partos en servicios,cesareas,2014-03-01,9,9
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-03-01,7,7
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-03-01,39,39
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-03-01,8,8
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-03-01,14,14
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-03-01,8,8
SAN JULIAN,atencion de partos en servicios,cesareas,2014-03-01,12,12
SAN LUCAS,atencion de partos en servicios,cesareas,2014-03-01,1,1
SAN MATIAS,atencion de partos en servicios,cesareas,2014-03-01,16,16
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-03-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2014-03-01,21,21
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-03-01,2290,2290
SHINAOTA,atencion de partos en servicios,cesareas,2014-03-01,11,11
SUCRE,atencion de partos en servicios,cesareas,2014-03-01,201,201
TARABUCO,atencion de partos en servicios,cesareas,2014-03-01,6,6
TARIJA,atencion de partos en servicios,cesareas,2014-03-01,208,208
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-03-01,23,23
TRINIDAD,atencion de partos en servicios,cesareas,2014-03-01,194,194
TUPIZA,atencion de partos en servicios,cesareas,2014-03-01,8,8
UYUNI,atencion de partos en servicios,cesareas,2014-03-01,15,15
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-03-01,15,15
VIACHA,atencion de partos en servicios,cesareas,2014-03-01,3,3
VILLA MONTES,atencion de partos en servicios,cesareas,2014-03-01,29,29
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-03-01,56,56
VILLAZON,atencion de partos en servicios,cesareas,2014-03-01,10,10
VINTO,atencion de partos en servicios,cesareas,2014-03-01,11,11
WARNES,atencion de partos en servicios,cesareas,2014-03-01,16,16
YACUIBA,atencion de partos en servicios,cesareas,2014-03-01,66,66
YAPACANI,atencion de partos en servicios,cesareas,2014-03-01,25,25
ACHACACHI,atencion de partos en servicios,cesareas,2014-04-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2014-04-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-04-01,19,19
BERMEJO,atencion de partos en servicios,cesareas,2014-04-01,21,21
BETANZOS,atencion de partos en servicios,cesareas,2014-04-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2014-04-01,11,11
CAMIRI,atencion de partos en servicios,cesareas,2014-04-01,48,48
CARANAVI,atencion de partos en servicios,cesareas,2014-04-01,27,27
CHALLAPATA,atencion de partos en servicios,cesareas,2014-04-01,9,9
CHARAGUA,atencion de partos en servicios,cesareas,2014-04-01,13,13
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-04-01,7,7
CLIZA,atencion de partos en servicios,cesareas,2014-04-01,10,10
COBIJA,atencion de partos en servicios,cesareas,2014-04-01,66,66
COCHABAMBA,atencion de partos en servicios,cesareas,2014-04-01,810,810
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-04-01,10,10
COMARAPA,atencion de partos en servicios,cesareas,2014-04-01,9,9
COROICO,atencion de partos en servicios,cesareas,2014-04-01,8,8
COTOCA,atencion de partos en servicios,cesareas,2014-04-01,16,16
EL ALTO,atencion de partos en servicios,cesareas,2014-04-01,284,284
EL TORNO,atencion de partos en servicios,cesareas,2014-04-01,39,39
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-04-01,47,47
HUANUNI,atencion de partos en servicios,cesareas,2014-04-01,10,10
HUARACAJE,atencion de partos en servicios,cesareas,2014-04-01,2,2
LA PAZ,atencion de partos en servicios,cesareas,2014-04-01,725,725
LLALLAGUA,atencion de partos en servicios,cesareas,2014-04-01,6,6
MAGDALENA,atencion de partos en servicios,cesareas,2014-04-01,1,1
MAIRANA,atencion de partos en servicios,cesareas,2014-04-01,13,13
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-04-01,21,21
MONTERO,atencion de partos en servicios,cesareas,2014-04-01,192,192
ORURO,atencion de partos en servicios,cesareas,2014-04-01,317,317
PADILLA,atencion de partos en servicios,cesareas,2014-04-01,6,6
PATACAMAYA,atencion de partos en servicios,cesareas,2014-04-01,2,2
PORTACHUELO,atencion de partos en servicios,cesareas,2014-04-01,28,28
POTOSI,atencion de partos en servicios,cesareas,2014-04-01,107,107
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-04-01,4,4
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-04-01,19,19
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-04-01,17,17
PUNATA,atencion de partos en servicios,cesareas,2014-04-01,30,30
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-04-01,48,48
QUIME,atencion de partos en servicios,cesareas,2014-04-01,2,2
REYES,atencion de partos en servicios,cesareas,2014-04-01,9,9
RIBERALTA,atencion de partos en servicios,cesareas,2014-04-01,84,84
ROBORE,atencion de partos en servicios,cesareas,2014-04-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-04-01,19,19
SACABA,atencion de partos en servicios,cesareas,2014-04-01,35,35
SAMAIPATA,atencion de partos en servicios,cesareas,2014-04-01,3,3
SAN BORJA,atencion de partos en servicios,cesareas,2014-04-01,21,21
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2014-04-01,5,5
SAN CARLOS,atencion de partos en servicios,cesareas,2014-04-01,11,11
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-04-01,11,11
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-04-01,37,37
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-04-01,11,11
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-04-01,3,3
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-04-01,5,5
SAN JUAN DE YAPACANI,atencion de partos en servicios,cesareas,2014-04-01,5,5
SAN JULIAN,atencion de partos en servicios,cesareas,2014-04-01,6,6
SAN LUCAS,atencion de partos en servicios,cesareas,2014-04-01,4,4
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-04-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-04-01,3,3
SANTA ANA,atencion de partos en servicios,cesareas,2014-04-01,25,25
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-04-01,2306,2306
SANTA ROSA,atencion de partos en servicios,cesareas,2014-04-01,3,3
SHINAOTA,atencion de partos en servicios,cesareas,2014-04-01,10,10
SUCRE,atencion de partos en servicios,cesareas,2014-04-01,229,229
TARABUCO,atencion de partos en servicios,cesareas,2014-04-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2014-04-01,241,241
TARVITA,atencion de partos en servicios,cesareas,2014-04-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-04-01,15,15
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-04-01,1,1
TRINIDAD,atencion de partos en servicios,cesareas,2014-04-01,136,136
TUPIZA,atencion de partos en servicios,cesareas,2014-04-01,9,9
UYUNI,atencion de partos en servicios,cesareas,2014-04-01,9,9
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-04-01,22,22
VIACHA,atencion de partos en servicios,cesareas,2014-04-01,7,7
VILLA MONTES,atencion de partos en servicios,cesareas,2014-04-01,42,42
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-04-01,63,63
VILLAZON,atencion de partos en servicios,cesareas,2014-04-01,10,10
VINTO,atencion de partos en servicios,cesareas,2014-04-01,14,14
WARNES,atencion de partos en servicios,cesareas,2014-04-01,21,21
YACUIBA,atencion de partos en servicios,cesareas,2014-04-01,74,74
YAPACANI,atencion de partos en servicios,cesareas,2014-04-01,42,42
ACHACACHI,atencion de partos en servicios,cesareas,2014-05-01,3,3
AIQUILE,atencion de partos en servicios,cesareas,2014-05-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-05-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-05-01,3,3
BAURES,atencion de partos en servicios,cesareas,2014-05-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2014-05-01,25,25
BETANZOS,atencion de partos en servicios,cesareas,2014-05-01,1,1
CAMARGO,atencion de partos en servicios,cesareas,2014-05-01,12,12
CAMIRI,atencion de partos en servicios,cesareas,2014-05-01,37,37
CARACOLLO,atencion de partos en servicios,cesareas,2014-05-01,1,1
CARANAVI,atencion de partos en servicios,cesareas,2014-05-01,7,7
CHALLAPATA,atencion de partos en servicios,cesareas,2014-05-01,11,11
CHARAGUA,atencion de partos en servicios,cesareas,2014-05-01,17,17
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-05-01,10,10
CLIZA,atencion de partos en servicios,cesareas,2014-05-01,11,11
COBIJA,atencion de partos en servicios,cesareas,2014-05-01,58,58
COCHABAMBA,atencion de partos en servicios,cesareas,2014-05-01,850,850
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-05-01,13,13
COMARAPA,atencion de partos en servicios,cesareas,2014-05-01,15,15
COROICO,atencion de partos en servicios,cesareas,2014-05-01,8,8
CORQUE,atencion de partos en servicios,cesareas,2014-05-01,1,1
COTOCA,atencion de partos en servicios,cesareas,2014-05-01,24,24
EL ALTO,atencion de partos en servicios,cesareas,2014-05-01,332,332
EL TORNO,atencion de partos en servicios,cesareas,2014-05-01,52,52
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-05-01,6,6
ESCOMA,atencion de partos en servicios,cesareas,2014-05-01,1,1
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-05-01,54,54
HUANUNI,atencion de partos en servicios,cesareas,2014-05-01,10,10
LA PAZ,atencion de partos en servicios,cesareas,2014-05-01,748,748
LLALLAGUA,atencion de partos en servicios,cesareas,2014-05-01,12,12
MAGDALENA,atencion de partos en servicios,cesareas,2014-05-01,4,4
MAIRANA,atencion de partos en servicios,cesareas,2014-05-01,14,14
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-05-01,24,24
MONTERO,atencion de partos en servicios,cesareas,2014-05-01,179,179
ORURO,atencion de partos en servicios,cesareas,2014-05-01,285,285
PADILLA,atencion de partos en servicios,cesareas,2014-05-01,8,8
PATACAMAYA,atencion de partos en servicios,cesareas,2014-05-01,5,5
PORTACHUELO,atencion de partos en servicios,cesareas,2014-05-01,23,23
POTOSI,atencion de partos en servicios,cesareas,2014-05-01,129,129
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-05-01,6,6
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-05-01,16,16
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-05-01,29,29
PUNATA,atencion de partos en servicios,cesareas,2014-05-01,34,34
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-05-01,53,53
REYES,atencion de partos en servicios,cesareas,2014-05-01,3,3
RIBERALTA,atencion de partos en servicios,cesareas,2014-05-01,102,102
ROBORE,atencion de partos en servicios,cesareas,2014-05-01,9,9
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-05-01,25,25
SACABA,atencion de partos en servicios,cesareas,2014-05-01,40,40
SAMAIPATA,atencion de partos en servicios,cesareas,2014-05-01,3,3
SAN BORJA,atencion de partos en servicios,cesareas,2014-05-01,32,32
SAN CARLOS,atencion de partos en servicios,cesareas,2014-05-01,5,5
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-05-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-05-01,56,56
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-05-01,7,7
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-05-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-05-01,12,12
SAN JULIAN,atencion de partos en servicios,cesareas,2014-05-01,19,19
SAN LUCAS,atencion de partos en servicios,cesareas,2014-05-01,1,1
SAN MATIAS,atencion de partos en servicios,cesareas,2014-05-01,9,9
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-05-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2014-05-01,11,11
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-05-01,2019,2019
SANTA ROSA,atencion de partos en servicios,cesareas,2014-05-01,2,2
SHINAOTA,atencion de partos en servicios,cesareas,2014-05-01,1,1
SUCRE,atencion de partos en servicios,cesareas,2014-05-01,245,245
TARABUCO,atencion de partos en servicios,cesareas,2014-05-01,2,2
TARIJA,atencion de partos en servicios,cesareas,2014-05-01,224,224
TARVITA,atencion de partos en servicios,cesareas,2014-05-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-05-01,19,19
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-05-01,2,2
TRINIDAD,atencion de partos en servicios,cesareas,2014-05-01,152,152
