municipality,group,variable,month,l 25.6 Viviendas Evaluadas,TOTAL
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,180,180
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,165,165
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,138,138
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,388,388
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,167,167
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,120,120
VILA VILA,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,31,31
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,188,188
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,71,71
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,314,314
WARNES,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,1,1
YAMPARAEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,6,6
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-02-01,121,121
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,151,151
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,127,127
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,233,233
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,269,269
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,249,249
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,253,253
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,365,365
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,62,62
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,192,192
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,405,405
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,164,164
COMARAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,237,237
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,720,720
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,98,98
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,132,132
MOJOCOYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,1,1
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,1,1
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,344,344
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,106,106
PAMPA GRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,48,48
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,188,188
POCOATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,99,99
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,151,151
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,15,15
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,239,239
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,42,42
PUNA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,226,226
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,112,112
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,408,408
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,225,225
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,97,97
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,423,423
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,14,14
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,44,44
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,245,245
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,189,189
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,193,193
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,31,31
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,330,330
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,173,173
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,421,421
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,130,130
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,487,487
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,171,171
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,393,393
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,248,248
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,203,203
VILLA SERRANO,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,212,212
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,583,583
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-03-01,145,145
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,122,122
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,79,79
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,129,129
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,440,440
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,205,205
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,139,139
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,159,159
CAPINOTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,34,34
CHARAGUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,19,19
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,299,299
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,232,232
COMARAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,483,483
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,376,376
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,70,70
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,122,122
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,184,184
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,53,53
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,61,61
LAGUNILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,230,230
MAIRANA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,157,157
MORO MORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,22,22
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,367,367
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,113,113
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,45,45
POCOATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,135,135
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,117,117
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,40,40
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,447,447
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,180,180
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,98,98
SAN LUCAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,351,351
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,740,740
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,6,6
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,148,148
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,270,270
TACACHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,4,4
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,206,206
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,226,226
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,151,151
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,343,343
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,225,225
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,288,288
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,18,18
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,375,375
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,193,193
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,152,152
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,81,81
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-04-01,102,102
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,143,143
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,567,567
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,134,134
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,169,169
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,205,205
AZURDUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,2,2
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,38,38
"CAIZA ""D""",chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,109,109
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,361,361
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,336,336
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,7,7
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,235,235
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,585,585
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,182,182
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,224,224
ENTRE RIOS TRJ,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,108,108
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,463,463
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,108,108
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,70,70
INCAHUASI,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,414,414
LURIBAY,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,278,278
MECAPACA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,506,506
MORO MORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,30,30
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,437,437
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,118,118
PALCA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,476,476
PAMPA GRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,312,312
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,152,152
POCOATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,189,189
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,107,107
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,37,37
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,89,89
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,20,20
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,93,93
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,948,948
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,489,489
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,225,225
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,85,85
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,285,285
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,135,135
SAN LUCAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,656,656
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,34,34
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,82,82
SAPAHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,221,221
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,83,83
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,156,156
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,303,303
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,230,230
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,245,245
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,304,304
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,3,3
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,382,382
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,224,224
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,373,373
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,244,244
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,307,307
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,446,446
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,819,819
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,374,374
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,203,203
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,180,180
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,253,253
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,328,328
YUNCHARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,56,56
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-05-01,82,82
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,89,89
AIQUILE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,473,473
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,73,73
ANZALDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,233,233
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,209,209
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,78,78
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,225,225
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,66,66
CABEZAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,153,153
CAMARGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,84,84
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,178,178
CHARAGUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,470,470
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,277,277
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,3,3
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,206,206
COTAGAITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,807,807
CUATRO CAÑADAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,447,447
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,84,84
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,129,129
EL VILLAR,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,186,186
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,56,56
HUACARETA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,363,363
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,273,273
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,522,522
LURIBAY,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,806,806
MAIRANA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,51,51
MECAPACA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,999,999
MIZQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,297,297
MONTEAGUDO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,672,672
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,377,377
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,143,143
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,137,137
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,258,258
PALCA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,470,470
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,173,173
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,111,111
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,108,108
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,316,316
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,18,18
PRESTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,718,718
PUNA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,204,204
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,98,98
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,258,258
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,515,515
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,185,185
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,139,139
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,214,214
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,275,275
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,1145,1145
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,18,18
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,80,80
SAPAHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,1893,1893
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,380,380
SUCRE,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,192,192
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,218,218
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,227,227
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,302,302
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,101,101
TARVITA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,290,290
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,321,321
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,121,121
TORO TORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,69,69
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,345,345
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-06-01,506,506
