municipality,group,variable,month,l 25.7 Viviendas Positivas,TOTAL
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-03-01,5,5
MOJOCOYA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,2,2
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
PAMPA GRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,4,4
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,2,2
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,3,3
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
PUERTO VILLARROEL,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,20,20
PUNA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,12,12
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,10,10
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,24,24
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,3,3
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,2,2
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,8,8
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,18,18
TARIJA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,17,17
TIQUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,4,4
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,10,10
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,4,4
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-03-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,l 25.7        viviendas positivas,2012-03-01,1,1
VILLA SERRANO,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,8,8
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-03-01,8,8
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-04-01,4,4
CHARAGUA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,5,5
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,6,6
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
COMARAPA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,49,49
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-04-01,4,4
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-04-01,9,9
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,3,3
MAIRANA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
MORO MORO,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,22,22
POCOATA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,7,7
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,9,9
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
SAN LUCAS,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,3,3
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,3,3
TARATA,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
TOCO,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,2,2
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,1,1
ZUDAÑEZ,chagas viviendas,l 25.7        viviendas positivas,2012-04-01,4,4
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,6,6
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
AZURDUY,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
"CAIZA ""D""",chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,4,4
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
ENTRE RIOS TRJ,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,12,12
GUTIERREZ,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,81,81
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,12,12
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
INCAHUASI,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,15,15
LURIBAY,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,6,6
MECAPACA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,7,7
PALCA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,7,7
PAMPA GRANDE,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,13,13
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
POCOATA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,10,10
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,2,2
SAN LUCAS,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,8,8
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,2,2
SANTIVAÑES,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
SAPAHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
SOPACHUY,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
SUCRE,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,67,67
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
TARIJA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
TOCO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
TOLATA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
TOMAVE,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,9,9
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,3,3
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,20,20
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,l 25.7        viviendas positivas,2012-05-01,4,4
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
VILLAZON,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,2,2
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,11,11
YUNCHARA,chagas viviendas,l 25.7        viviendas positivas,2012-05-01,1,1
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,10,10
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,8,8
ARAMPAMPA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
BOYUIBE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,12,12
CAMARGO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
CHARAGUA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,41,41
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,3,3
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,6,6
CUATRO CAÑADAS,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,15,15
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,13,13
EL VILLAR,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,14,14
GUTIERREZ,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,16,16
HUACARETA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,96,96
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,50,50
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,12,12
LURIBAY,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,15,15
MAIRANA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
MECAPACA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
MIZQUE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,6,6
MONTEAGUDO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,49,49
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
PADCAYA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
PALCA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,6,6
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,6,6
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,4,4
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,5,5
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,5,5
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,9,9
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
SAPAHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,39,39
SUCRE,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,71,71
TACOPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,6,6
TARATA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
TARIJA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,1,1
TARVITA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,10,10
TIQUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,4,4
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,7,7
TOTORA(CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,3,3
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
VILA VILA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,3,3
VILLA RIVERO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
VINTO,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,4,4
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,2,2
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-06-01,10,10
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,43,43
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,9,9
ARANI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,8,8
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,10,10
BOYUIBE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,3,3
CABEZAS,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,41,41
CAIROMA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,7,7
CAMARGO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,3,3
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,6,6
CHARAGUA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,33,33
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,11,11
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,3,3
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,26,26
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,2,2
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,2,2
CUATRO CAÑADAS,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,15,15
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,8,8
EL VILLAR,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,26,26
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,13,13
ICLA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,4,4
LURIBAY,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,20,20
MACHARETI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,36,36
MIZQUE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,12,12
MONTEAGUDO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,24,24
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,24,24
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,34,34
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,10,10
PAILON,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
PASORAPA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,6,6
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,4,4
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,6,6
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,9,9
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,5,5
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,9,9
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,2,2
SANTIVAÑES,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,9,9
SAPAHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,5,5
SICAYA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,11,11
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,14,14
TARABUCO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,8,8
TARVITA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,13,13
TIQUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,8,8
TORO TORO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,20,20
TUPIZA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,21,21
VILA VILA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,2,2
VILLA SERRANO,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,15,15
VITICHI,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,4,4
YOTALA,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,16,16
ZUDAÑEZ,chagas viviendas,l 25.7        viviendas positivas,2012-07-01,1,1
AIQUILE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,51,51
ALCALA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,9,9
ARANI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,3,3
ARBIETO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
ARQUE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
BETANZOS,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,5,5
BOYUIBE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,4,4
CABEZAS,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,39,39
CAMARGO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
CAPINOTA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,8,8
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,7,7
CLIZA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,3,3
COCHABAMBA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,78,78
COLCAPIRHUA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
COTAGAITA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,49,49
CUATRO CAÑADAS,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,23,23
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
EL PUENTE(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,10,10
HUACARETA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,6,6
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,4,4
INCAHUASI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,9,9
LURIBAY,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
OCURI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,30,30
OMEREQUE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,44,44
PADILLA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
POCONA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
POJO (CBBA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,3,3
POROMA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,18,18
PRESTO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,16,16
PUCARA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
QUIRUSILLAS,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
RAVELO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,15,15
SACABA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,6,6
SAIPINA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
SAN BENITO,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,6,6
SAN LORENZO(TJA),chagas viviendas,l 25.7        viviendas positivas,2012-08-01,1,1
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,7,7
SANTIVAÑES,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,5,5
SAPAHAQUI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,4,4
SIPE SIPE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
SUCRE,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,58,58
TAPACARI,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,4,4
TARVITA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,5,5
TINGUIPAYA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,7,7
TOLATA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,2,2
TOMINA,chagas viviendas,l 25.7        viviendas positivas,2012-08-01,18,18
