municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
BERMEJO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,387,387
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,41,41
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,40,40
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,140,140
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,134,134
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,91,91
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,111,111
CALACOTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,37,37
CALAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,156,156
CAMARGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,110,110
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
CAMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,203,203
CAPINOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,203,203
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,74,74
CARACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,192,192
CARANAVI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,256,256
CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
CARAPARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,148,148
CARIPUYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,80,80
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,58,58
CATACORA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
CHACARILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
CHALLAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,387,387
CHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,93,93
CHARAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,42,42
CHARAÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
CHAYANTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,122,122
CHIMORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,261,261
CHIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,10,10
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,7,7
CHUMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,72,72
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,72,72
CKOCHAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,142,142
CLIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,166,166
COBIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,126,126
COCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,172,172
COCHABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2579,2579
COIPASA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,3,3
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,245,245
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,107,107
COLLANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
COLOMI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,246,246
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,28,28
COLQUECHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,200,200
COLQUENCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,137,137
COLQUIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,145,145
COMANCHE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
COMARAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,34,34
COMBAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,7,7
COPACABANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
CORIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,121,121
CORO CORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,57,57
COROICO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,6,6
CORQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,54,54
COTAGAITA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,132,132
COTOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,230,230
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,206,206
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,23,23
CUEVO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,46,46
CULPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,190,190
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
CURVA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
DESAGUADERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,31,31
EL ALTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2053,2053
EL CHORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,32,32
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,118,118
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,103,103
EL TORNO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,126,126
EL VILLAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,31,31
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,209,209
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,149,149
ESCOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,26,26
ESMERALDA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,48,48
EXALTACION,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,10,10
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,65,65
FILADELFIA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,25,25
GAIOC JATUN AYLLU YURA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,36,36
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,21,21
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,94,94
GUANAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,76,76
GUAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,59,59
GUTIERREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,33,33
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,16,16
HUACHACALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,11,11
HUANUNI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,103,103
HUARINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,26,26
HUATAJATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,12,12
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,38,38
HUMANATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,37,37
ICHOCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,56,56
ICLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,72,72
INCAHUASI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,120,120
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,17,17
INQUISIVI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,67,67
IXIAMAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,54,54
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,66,66
LA ASUNTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,157,157
LA GUARDIA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,423,423
LA PAZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,30,30
LA RIVERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,9,9
LAJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,167,167
LAS CARRERAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,24,24
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,11,11
LLALLAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,539,539
LLICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,22,22
LORETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,5,5
LURIBAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,78,78
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,25,25
MACHARETI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,55,55
MAGDALENA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,5,5
MAIRANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,15,15
MALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,24,24
MAPIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,82,82
MECAPACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,64,64
MINEROS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,142,142
MIZQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,228,228
MOCOMOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,114,114
MOJINETE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,3,3
MOJOCOYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,64,64
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,74,74
MONTERO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,7,7
MORO MORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,5,5
MOROCHATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,100,100
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,10,10
OCURI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,149,149
OKINAWA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,90,90
ORURO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2453,2453
PADCAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,13,13
PAILON,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,17,17
PALCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,230,230
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,203,203
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,28,28
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,94,94
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,48,48
PASORAPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,20,20
PATACAMAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,85,85
PAZÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,48,48
PELECHUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,75,75
POCOATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,282,282
POCONA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,96,96
POJO (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,99,99
POOPO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,54,54
PORCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,140,140
POROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,162,162
PORONGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,94,94
PORVENIR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,61,61
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,9,9
POTOSI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2295,2295
PRESTO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,53,53
PUCARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,14,14
PUCARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,249,249
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1,1
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,100,100
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,55,55
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,37,37
PUERTO QUIJARRO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,92,92
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1,1
PUNA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,179,179
PUNATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,251,251
QUIABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,32,32
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1186,1186
QUIME,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,67,67
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,89,89
RAVELO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,158,158
REYES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,5,5
RIBERALTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,383,383
ROBORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,158,158
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,27,27
SABAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,29,29
SACABA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1532,1532
SACABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,27,27
SACACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,74,74
SAIPINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,79,79
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,106,106
SAMAIPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,65,65
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
SAN ANDRES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1,1
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,19,19
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,21,21
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,101,101
SAN BENITO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,69,69
SAN BORJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,249,249
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,14,14
SAN CARLOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,24,24
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,530,530
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,213,213
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1,1
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
SAN JULIAN,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,507,507
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,51,51
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,9,9
SAN LUCAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,442,442
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,179,179
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,17,17
SAN PEDRO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,155,155
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,361,361
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
SAN PEDRO DE MACHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,248,248
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,27,27
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,50,50
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,21,21
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,59,59
SANTA ANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,30,30
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2834,2834
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,150,150
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,75,75
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,40,40
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,38,38
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,71,71
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,21,21
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,68,68
SHINAOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,307,307
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,128,128
SICAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,25,25
SIPE SIPE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,584,584
SOPACHUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,56,56
SORACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,106,106
SORATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,70,70
SUCRE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,1697,1697
TACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,7,7
TACACOMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,36,36
TACOBAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,108,108
TACOPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,72,72
TAHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,8,8
TAPACARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,266,266
TARABUCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,123,123
TARACO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,37,37
TARATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,105,105
TARIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,746,746
TIAHUANACU,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,83,83
TINGUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,175,175
TIPUANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,46,46
TIQUIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,206,206
TIRAQUE (CBBA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,123,123
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,19,19
TOCO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,60,60
TODOS SANTOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,2,2
TOLATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,44,44
TOLEDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,36,36
TOMAVE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,68,68
TOMINA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,78,78
TORO TORO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2023-01-01,124,124
