municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
HUACARETA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
HUANUNI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,17,17
HUATAJATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
HUAYLLAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
HUMANATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
ICHOCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
ICLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,4,4
INCAHUASI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
INQUISIVI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
IXIAMAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,39,39
LA GUARDIA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,145,145
LA PAZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,472,472
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
LAJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
LICOMA PAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,66,66
LLICA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
LORETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
LURIBAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,10,10
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
MACHARETI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
MAGDALENA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
MAIRANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
MALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
MAPIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
MECAPACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
MINEROS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
MIZQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,22,22
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,12,12
MOJOCOYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,36,36
MONTERO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,146,146
MORO MORO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
MOROCHATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,13,13
OCURI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,12,12
OKINAWA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,10,10
OMEREQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
ORURO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,243,243
PADCAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,16,16
PADILLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
PAILON,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,22,22
PALCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,19,19
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,38,38
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
PAMPA GRANDE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
PAPEL PAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
PATACAMAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,22,22
PAZÑA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
PELECHUCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
POCOATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,29,29
POCONA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,17,17
POJO (CBBA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,12,12
POOPO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
PORCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,11,11
POROMA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
PORONGO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,13,13
PORTACHUELO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,18,18
PORVENIR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
POTOSI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,242,242
PRESTO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
PUCARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
PUCARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,27,27
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,10,10
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
PUERTO QUIJARRO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
PUERTO RICO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
PUERTO SILES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,84,84
PUNA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,17,17
PUNATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,36,36
QUIABAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,157,157
QUIME,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
QUIRUSILLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
RAVELO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,14,14
REYES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,12,12
RIBERALTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,132,132
ROBORE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,18,18
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,25,25
SABAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
SACABA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,163,163
SACABAMBA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
SACACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,29,29
SAIPINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
SAMAIPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
SAN ANDRES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,10,10
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,11,11
SAN BENITO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
SAN BORJA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,79,79
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,11,11
SAN CARLOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,29,29
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,31,31
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,50,50
SAN JAVIER(BNI),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
SAN JAVIER(STC),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,25,25
SAN JOAQUIN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,4,4
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,23,23
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,14,14
SAN JULIAN,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,56,56
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,28,28
SAN LUCAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,42,42
SAN MATIAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,13,13
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,26,26
SAN PEDRO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,11,11
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,38,38
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
SAN PEDRO DE MACHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,19,19
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,1,1
SAN RAFAEL,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,9,9
SAN RAMON BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
SAN RAMON SCZ,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,2,2
SANTA ANA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,43,43
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,958,958
SANTA ROSA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,11,11
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,16,16
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,8,8
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,7,7
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,5,5
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,6,6
SENA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,16,16
SHINAOTA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,31,31
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,15,15
SICAYA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2023-01-01,3,3
