municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,26,26
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,28,28
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,37,37
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,40,40
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,14,14
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,91,91
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
CHALLAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,50,50
CHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
CHARAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,36,36
CHARAÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
CHIMORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
CHIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
CHOQUE COTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
CHUMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
CKOCHAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
CLIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,25,25
COBIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,40,40
COCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,13,13
COCHABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1014,1014
COIPASA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
COLCAPIRHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,34,34
"COLCHA ""K""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
COLLANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
COLOMI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,19,19
COLPA BELGICA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
COLQUECHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,33,33
COLQUENCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
COLQUIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
COMANCHE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
COMARAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,18,18
CONCEPCION,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,38,38
COPACABANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
CORIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
CORO CORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
COROICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,14,14
CORQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
COTAGAITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,15,15
COTOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,51,51
CUATRO CAÑADAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,28,28
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
CUEVO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
CULPINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,23,23
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
EL ALTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,892,892
EL CHORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
EL PUENTE(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
EL PUENTE(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
EL TORNO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,26,26
EL VILLAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
ENTRE RIOS TRJ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,15,15
ENTRE RIOS CBBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,39,39
ESCOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
EUCALIPTUS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
FILADELFIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
GAIOC JATUN AYLLU YURA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
GENERAL SAAVEDRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,13,13
GUANAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
GUAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
GUAYARAMERIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,37,37
GUTIERREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
HUACARAJE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
HUACARETA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
HUANUNI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,23,23
HUARINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
HUAYLLAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
HUMANATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
ICHOCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
ICLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
INCAHUASI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,13,13
INGAVI (HUMAITA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
INQUISIVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,18,18
IRUPANA (VILLA DE LANZA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
IXIAMAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
JESUS DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
LA ASUNTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,63,63
LA GUARDIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,57,57
LA PAZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,435,435
LAGUNILLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
LAJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,20,20
LAS CARRERAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
LICOMA PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
LLALLAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,69,69
LLICA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
LORETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
LURIBAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
MACHARETI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
MAGDALENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
MAIRANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
MALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
MAPIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,38,38
MECAPACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
MINEROS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
MIZQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,30,30
MOCOMOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,15,15
MOJOCOYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
MONTEAGUDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,14,14
MONTERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,32,32
MORO MORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
MOROCHATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
NAZACARA DE PACAJES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
OCURI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
OKINAWA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
OMEREQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
ORURO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,382,382
PADCAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
PADILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
PAILON,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,33,33
PALCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,22,22
PALOS BLANCOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,42,42
PAMPA GRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
PAPEL PAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
PASORAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
PATACAMAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,28,28
PAZÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
PELECHUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
POCOATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,27,27
POCONA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
POJO (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,16,16
POOPO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
PORCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
POROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
PORTACHUELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,24,24
PORVENIR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
POTOSI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,73,73
PRESTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
PUCARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,27,27
PUERTO ACOSTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
PUERTO CARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
PUERTO GONZALO MORENO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
PUERTO PEREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
PUERTO QUIJARRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,18,18
PUERTO RICO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
PUERTO SUAREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
PUERTO VILLARROEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,111,111
PUNA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
PUNATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,49,49
QUIABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
QUILLACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,155,155
QUIME,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
QUIRUSILLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
RAQAYPAMPA(ETA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
RAVELO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,9,9
REYES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
RIBERALTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,260,260
ROBORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,24,24
RURRENABAQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,23,23
SABAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SACABA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,216,216
SACABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
SACACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,32,32
SAIPINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
SAMAIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SAN AGUSTIN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAN ANDRES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
SAN ANDRES DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
SAN BENITO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
SAN BORJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,82,82
SAN BUENA VENTURA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,23,23
SAN CARLOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,28,28
SAN IGNACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,30,30
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,94,94
SAN JAVIER(STC),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,26,26
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,35,35
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAN JULIAN,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
SAN LORENZO(PND),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
SAN LORENZO(TJA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
SAN LUCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,32,32
SAN MATIAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,20,20
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,14,14
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAN PEDRO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,34,34
SAN PEDRO DE MACHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,21,21
SAN PEDRO DE QUEMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
SAN PEDRO(PND),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAN RAFAEL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
SAN RAMON BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
SAN RAMON SCZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,11,11
SANTA ANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,34,34
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1641,1641
SANTA ROSA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,13,13
SANTA ROSA DEL SARA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
SANTIAGO DE HUARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SANTIAGO DE HUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SANTIAGO DE MACHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SANTIVAÑES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
SAPAHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
SENA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
SHINAOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,42,42
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,26,26
SICAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
SIPE SIPE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,40,40
SOPACHUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,6,6
SORACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
SORATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,13,13
SUCRE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,283,283
TACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
TACACOMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
TACOBAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
TACOPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
TAHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
TAPACARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,25,25
TARABUCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
TARACO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
TARATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
TARIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,250,250
TARVITA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,17,17
TEOPONTE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,8,8
TIAHUANACU,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
TINGUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,15,15
TIPUANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
TIQUIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,60,60
TIRAQUE (CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,10,10
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
TOCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
TOLATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
TOMAVE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
TOMINA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
TORO TORO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,12,12
TOTORA(CBBA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,26,26
TOTORA(ORR),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
TRIGAL,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,1,1
TRINIDAD,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,28,28
TUPIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,75,75
TURCO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
UMALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
UNCIA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
URIONDO (A. CONCEPCION),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
URUBICHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
UYUNI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,3,3
VACAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,7,7
VALLEGRANDE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,23,23
VIACHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,67,67
VILA VILA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
VILLA CHARCAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,18,18
VILLA MONTES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,75,75
VILLA NUEVA (LOMA ALTA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,2,2
VILLA RIVERO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,5,5
VILLA SERRANO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,4,4
VILLA TUNARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2023-01-01,134,134
