municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
HUANUNI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
HUARINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
ICHOCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
INCAHUASI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
INGAVI (HUMAITA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
IXIAMAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
JESUS DE MACHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,5,5
LA ASUNTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
LA PAZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,119,119
LAGUNILLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
LAJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,5,5
LLALLAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
LURIBAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
MAGDALENA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
MAIRANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
MAPIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
MIZQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
MOCOMOCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
MONTEAGUDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
MONTERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
MOROCHATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
OCURI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
ORURO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,50,50
PADCAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PAILON,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,5,5
PALCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,7,7
PALOS BLANCOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
PAMPA AULLAGAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PATACAMAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,9,9
PELECHUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
POCOATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,7,7
POJO (CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
POOPO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PORCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,7,7
POROMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
POSTRER VALLE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
POTOSI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,83,83
PRESTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
PUCARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,7,7
PUERTO ACOSTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
PUERTO CARABUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
PUERTO PEREZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PUERTO RICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
PUERTO VILLARROEL,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,11,11
PUNATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
QUIABAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
QUILLACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,37,37
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,7,7
RAVELO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
REYES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
RIBERALTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,10,10
RURRENABAQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,9,9
SACABA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,29,29
SACABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SACACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
SAIPINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAMAIPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SAN AGUSTIN,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN BORJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,22,22
SAN BUENA VENTURA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SAN CARLOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SAN IGNACIO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,10,10
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,12,12
SAN JOAQUIN,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN LORENZO(PND),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SAN LORENZO(TJA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SAN LUCAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SAN MATIAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN PEDRO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SAN PEDRO DE MACHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SANTA ANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,37,37
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1014,1014
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SANTIAGO DE MACHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SANTIVAÑES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SAPAHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SHINAOTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
SICAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SIPE SIPE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,11,11
SOPACHUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SORACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
SORATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
SUCRE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,23,23
TACACOMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
TACOPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
TAPACARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,18,18
TARABUCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
TARACO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
TARATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,5,5
TARIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,17,17
TIAHUANACU,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
TINGUIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
TIPUANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
TIQUIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,26,26
TIRAQUE (CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,8,8
TOCO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
TOLATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
TOMINA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
TORO TORO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
TOTORA(CBBA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,13,13
TUPIZA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
UMALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
UNCIA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
URIONDO (A. CONCEPCION),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
URUBICHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
UYUNI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,12,12
VACAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
VIACHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,27,27
VILA VILA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
VILLA CHARCAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,5,5
VILLA MONTES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
VILLA RIVERO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
VILLA TUNARI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
VILLAZON,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
VINTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,17,17
VITICHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
WALDO BALLIVIAN,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,6,6
WARNES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,40,40
YACO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,4,4
YACUIBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
YAMPARAEZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
YANACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
YAPACANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,1,1
YOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,3,3
YOTALA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-01-01,2,2
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,6,6
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,6,6
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,5,5
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,4,4
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,3,3
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,82,82
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,12,12
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,3,3
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,5,5
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,14,14
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,3,3
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CALACOTO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,6,6
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,7,7
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,5,5
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,11,11
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,4,4
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,4,4
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,5,5
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,16,16
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,37,37
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,9,9
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,6,6
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,4,4
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,9,9
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,7,7
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,1,1
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2023-02-01,2,2
