municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
CAQUIAVIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
CARACOLLO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,23,23
CARANAVI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,38,38
CARAPARI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
CARIPUYO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
CHALLAPATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,50,50
CHAQUI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
CHARAGUA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,37,37
CHARAÑA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
CHAYANTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
CHIMORE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,20,20
CHIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
CHUMA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
CLIZA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,18,18
COBIJA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,36,36
COCHABAMBA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,829,829
COIPASA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
COLCAPIRHUA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,29,29
"COLCHA ""K""",atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
COLLANA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
COLOMI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
COLPA BELGICA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
COLQUECHACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,67,67
COLQUENCHA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
COLQUIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,33,33
COMANCHE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
COMARAPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
COMBAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
CONCEPCION,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
COPACABANA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,18,18
CORIPATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
CORO CORO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,25,25
COROICO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
CORQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
COTAGAITA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
COTOCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,58,58
CUATRO CAÑADAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
CUEVO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
CULPINA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,28,28
CURAHUARA DE CARANGAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
CURVA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
DESAGUADERO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
EL ALTO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,853,853
EL CHORO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
EL PUENTE(STC),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
EL PUENTE(TJA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
EL TORNO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,33,33
EL VILLAR,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,22,22
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
EUCALIPTUS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
EUREKA (SANTOS MERCADO),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
EXALTACION,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
FILADELFIA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
GENERAL SAAVEDRA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
GUANAY,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
GUAQUI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
GUAYARAMERIN,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,81,81
GUTIERREZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
HUACARETA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
HUACHACALLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
HUANUNI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,27,27
HUARACAJE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
HUAYLLAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
ICLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
INCAHUASI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,47,47
INQUISIVI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
IXIAMAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
JESUS DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
LA ASUNTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,57,57
LA GUARDIA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,57,57
LA PAZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1347,1347
LA RIVERA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
LAGUNILLAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
LAJA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,28,28
LAS CARRERAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
LICOMA PAMPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
LLALLAGUA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,38,38
LLICA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
LURIBAY,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
MACHACAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
MACHARETI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
MAGDALENA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
MAIRANA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
MALLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
MAPIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,20,20
MECAPACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
MINEROS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,23,23
MIZQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,38,38
MOCOMOCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
MOJINETE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
MOJOCOYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
MONTEAGUDO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,35,35
MONTERO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,123,123
MORO MORO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
MOROCHATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,25,25
OCURI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,28,28
OKINAWA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
OMEREQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
ORURO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,457,457
PADCAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
PADILLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
PAILON,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
PALCA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
PALOS BLANCOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,31,31
PAMPA AULLAGAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
PAMPA GRANDE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
PAPEL PAMPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
PASORAPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
PATACAMAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
PAZÑA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
PELECHUCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
POCOATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,37,37
POCONA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
POJO (CBBA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,22,22
POOPO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
PORCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
POROMA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,21,21
PORONGO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
PORTACHUELO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,29,29
PORVENIR,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
POTOSI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,246,246
PRESTO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
PUCARA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
PUCARANI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
PUERTO ACOSTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
PUERTO CARABUCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
PUERTO GONZALO MORENO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
PUERTO PEREZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
PUERTO QUIJARRO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,22,22
PUERTO RICO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,30,30
PUERTO VILLARROEL,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,45,45
PUNA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,47,47
PUNATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
QUILLACOLLO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,64,64
QUIME,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
QUIRUSILLAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
RAVELO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
REYES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
RIBERALTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,220,220
ROBORE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,32,32
RURRENABAQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
SABAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
SACABA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,114,114
SACABAMBA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
SACACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,57,57
SAIPINA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
SAMAIPATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
SAN AGUSTIN,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
SAN ANDRES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
SAN ANDRES DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
SAN ANTONIO DE ESMORUCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
SAN BENITO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
SAN BORJA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,49,49
SAN BUENA VENTURA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
SAN CARLOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
SAN IGNACIO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,52,52
SAN IGNACIO DE VELASCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,95,95
SAN JAVIER(BNI),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
SAN JAVIER(STC),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,32,32
SAN JUAN DE YAPACANI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
SAN JULIAN,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,34,34
SAN LORENZO(PND),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
SAN LORENZO(TJA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
SAN LUCAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,59,59
SAN MATIAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
SAN MIGUEL DE VELASCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
SAN PEDRO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
SAN PEDRO DE CURAHUARA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
SAN RAFAEL,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
SAN RAMON,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,16,16
SAN RAMON,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
SANTA ANA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,26,26
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,688,688
SANTA ROSA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
SANTA ROSA DEL SARA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
SANTIAGO DE CALLAPA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
SANTIVAÑES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
SANTUARIO DE QUILLACAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
SAPAHAQUI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
SENA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
SICA SICA (VILLA AROMA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,20,20
SIPE SIPE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,31,31
SOPACHUY,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,25,25
SORACACHI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
SORATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
SUCRE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,269,269
TACACHI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
TACACOMA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
TACOBAMBA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,2,2
TACOPAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,15,15
TAPACARI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,23,23
TARABUCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,43,43
TARACO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
TARATA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
TARIJA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,188,188
TARVITA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,20,20
TEOPONTE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
TIAWANACU,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
TINGUIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,20,20
TIPUANI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,12,12
TIQUIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,51,51
TIRAQUE (CBBA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,64,64
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
TOCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
TOMAVE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
TOMINA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
TORO TORO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,11,11
TOTORA(CBBA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,6,6
TOTORA(ORR),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
TRINIDAD,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,69,69
TUPIZA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,66,66
TURCO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
UMALA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
UNCIA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,18,18
URIONDO (A. CONCEPCION),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,14,14
URUBICHA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
UYUNI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,17,17
VACAS,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
VALLEGRANDE,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,21,21
VIACHA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
VILA VILA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
VILLA MONTES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
VILLA NUEVA (LOMA ALTA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,3,3
VILLA RIVERO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
VILLA SERRANO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,24,24
VILLA TUNARI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,85,85
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,9,9
VILLAZON,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,57,57
VINTO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,13,13
VITICHI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,7,7
WALDO BALLIVIAN,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,1,1
WARNES,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,36,36
YACO,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,5,5
YACUIBA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,125,125
YAMPARAEZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
YANACACHI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,4,4
YAPACANI,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,63,63
YOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
YOTALA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
YUNCHARA,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,8,8
ZUDAÑEZ,atencion de partos en servicio,mujeres con primer control post parto,2009-01-01,10,10
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,1,1
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,37,37
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,8,8
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,31,31
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,5,5
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,3,3
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,17,17
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,4,4
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,1,1
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,4,4
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,4,4
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,8,8
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,6,6
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,7,7
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,45,45
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,7,7
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,4,4
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,6,6
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,22,22
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,19,19
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,20,20
BAURES,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,4,4
BELEN DE URMIRI,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,2,2
BELLA FLOR,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,1,1
BERMEJO,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,20,20
BETANZOS,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,27,27
BOLIVAR,atencion de partos en servicio,mujeres con primer control post parto,2009-02-01,8,8
