municipality,group,variable,month,Vaginales,TOTAL
ANCORAIMES,atencion de partos en servicio,vaginales,2009-02-01,5,5
ANTEQUERA,atencion de partos en servicio,vaginales,2009-02-01,1,1
ANZALDO,atencion de partos en servicio,vaginales,2009-02-01,4,4
APOLO,atencion de partos en servicio,vaginales,2009-02-01,10,10
ARAMPAMPA,atencion de partos en servicio,vaginales,2009-02-01,1,1
ARANI,atencion de partos en servicio,vaginales,2009-02-01,11,11
ARBIETO,atencion de partos en servicio,vaginales,2009-02-01,2,2
ARQUE,atencion de partos en servicio,vaginales,2009-02-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en servicio,vaginales,2009-02-01,42,42
ATOCHA,atencion de partos en servicio,vaginales,2009-02-01,4,4
AYO AYO,atencion de partos en servicio,vaginales,2009-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,vaginales,2009-02-01,17,17
AZURDUY,atencion de partos en servicio,vaginales,2009-02-01,10,10
BATALLAS,atencion de partos en servicio,vaginales,2009-02-01,10,10
BAURES,atencion de partos en servicio,vaginales,2009-02-01,2,2
BERMEJO,atencion de partos en servicio,vaginales,2009-02-01,25,25
BETANZOS,atencion de partos en servicio,vaginales,2009-02-01,25,25
BOYUIBE,atencion de partos en servicio,vaginales,2009-02-01,2,2
BUENA VISTA,atencion de partos en servicio,vaginales,2009-02-01,13,13
CABEZAS,atencion de partos en servicio,vaginales,2009-02-01,21,21
CAIROMA,atencion de partos en servicio,vaginales,2009-02-01,1,1
"CAIZA ""D""",atencion de partos en servicio,vaginales,2009-02-01,5,5
CAJUATA,atencion de partos en servicio,vaginales,2009-02-01,10,10
CALAMARCA,atencion de partos en servicio,vaginales,2009-02-01,4,4
CAMARGO,atencion de partos en servicio,vaginales,2009-02-01,12,12
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,vaginales,2009-02-01,1,1
CAMIRI,atencion de partos en servicio,vaginales,2009-02-01,39,39
CAPINOTA,atencion de partos en servicio,vaginales,2009-02-01,22,22
CAQUIAVIRI,atencion de partos en servicio,vaginales,2009-02-01,2,2
CARACOLLO,atencion de partos en servicio,vaginales,2009-02-01,19,19
CARANAVI,atencion de partos en servicio,vaginales,2009-02-01,67,67
CARAPARI,atencion de partos en servicio,vaginales,2009-02-01,8,8
CARMEN RIVERO TORREZ,atencion de partos en servicio,vaginales,2009-02-01,7,7
CHALLAPATA,atencion de partos en servicio,vaginales,2009-02-01,33,33
CHAQUI,atencion de partos en servicio,vaginales,2009-02-01,1,1
CHARAGUA,atencion de partos en servicio,vaginales,2009-02-01,40,40
CHAYANTA,atencion de partos en servicio,vaginales,2009-02-01,12,12
CHIMORE,atencion de partos en servicio,vaginales,2009-02-01,12,12
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,vaginales,2009-02-01,21,21
CHUMA,atencion de partos en servicio,vaginales,2009-02-01,1,1
CLIZA,atencion de partos en servicio,vaginales,2009-02-01,12,12
COBIJA,atencion de partos en servicio,vaginales,2009-02-01,79,79
COCHABAMBA,atencion de partos en servicio,vaginales,2009-02-01,793,793
COIPASA,atencion de partos en servicio,vaginales,2009-02-01,1,1
COLCAPIRHUA,atencion de partos en servicio,vaginales,2009-02-01,32,32
COLOMI,atencion de partos en servicio,vaginales,2009-02-01,16,16
COLPA BELGICA,atencion de partos en servicio,vaginales,2009-02-01,6,6
COLQUECHACA,atencion de partos en servicio,vaginales,2009-02-01,8,8
COLQUENCHA,atencion de partos en servicio,vaginales,2009-02-01,3,3
COLQUIRI,atencion de partos en servicio,vaginales,2009-02-01,4,4
COMARAPA,atencion de partos en servicio,vaginales,2009-02-01,16,16
COMBAYA,atencion de partos en servicio,vaginales,2009-02-01,1,1
CONCEPCION,atencion de partos en servicio,vaginales,2009-02-01,9,9
COPACABANA,atencion de partos en servicio,vaginales,2009-02-01,8,8
CORIPATA,atencion de partos en servicio,vaginales,2009-02-01,10,10
CORO CORO,atencion de partos en servicio,vaginales,2009-02-01,1,1
COROICO,atencion de partos en servicio,vaginales,2009-02-01,15,15
COTAGAITA,atencion de partos en servicio,vaginales,2009-02-01,17,17
COTOCA,atencion de partos en servicio,vaginales,2009-02-01,45,45
CUATRO CAÑADAS,atencion de partos en servicio,vaginales,2009-02-01,19,19
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicio,vaginales,2009-02-01,1,1
CUEVO,atencion de partos en servicio,vaginales,2009-02-01,1,1
CULPINA,atencion de partos en servicio,vaginales,2009-02-01,17,17
CURAHUARA DE CARANGAS,atencion de partos en servicio,vaginales,2009-02-01,10,10
DESAGUADERO,atencion de partos en servicio,vaginales,2009-02-01,5,5
EL ALTO,atencion de partos en servicio,vaginales,2009-02-01,874,874
EL CHORO,atencion de partos en servicio,vaginales,2009-02-01,1,1
EL PUENTE(STC),atencion de partos en servicio,vaginales,2009-02-01,11,11
EL PUENTE(TJA),atencion de partos en servicio,vaginales,2009-02-01,8,8
EL TORNO,atencion de partos en servicio,vaginales,2009-02-01,41,41
EL VILLAR,atencion de partos en servicio,vaginales,2009-02-01,8,8
ENTRE RIOS,atencion de partos en servicio,vaginales,2009-02-01,22,22
ENTRE RIOS,atencion de partos en servicio,vaginales,2009-02-01,14,14
EUCALIPTUS,atencion de partos en servicio,vaginales,2009-02-01,8,8
EXALTACION,atencion de partos en servicio,vaginales,2009-02-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicio,vaginales,2009-02-01,12,12
FILADELFIA,atencion de partos en servicio,vaginales,2009-02-01,5,5
GENERAL SAAVEDRA,atencion de partos en servicio,vaginales,2009-02-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,vaginales,2009-02-01,1,1
GUANAY,atencion de partos en servicio,vaginales,2009-02-01,9,9
GUAQUI,atencion de partos en servicio,vaginales,2009-02-01,3,3
GUAYARAMERIN,atencion de partos en servicio,vaginales,2009-02-01,56,56
GUTIERREZ,atencion de partos en servicio,vaginales,2009-02-01,6,6
HUACARETA,atencion de partos en servicio,vaginales,2009-02-01,10,10
HUACHACALLA,atencion de partos en servicio,vaginales,2009-02-01,1,1
HUANUNI,atencion de partos en servicio,vaginales,2009-02-01,16,16
HUARACAJE,atencion de partos en servicio,vaginales,2009-02-01,9,9
HUAYLLAMARCA,atencion de partos en servicio,vaginales,2009-02-01,1,1
ICHOCA,atencion de partos en servicio,vaginales,2009-02-01,2,2
ICLA,atencion de partos en servicio,vaginales,2009-02-01,11,11
INCAHUASI,atencion de partos en servicio,vaginales,2009-02-01,27,27
INQUISIVI,atencion de partos en servicio,vaginales,2009-02-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,vaginales,2009-02-01,4,4
IXIAMAS,atencion de partos en servicio,vaginales,2009-02-01,4,4
JESUS DE MACHACA,atencion de partos en servicio,vaginales,2009-02-01,7,7
LA ASUNTA,atencion de partos en servicio,vaginales,2009-02-01,19,19
LA GUARDIA,atencion de partos en servicio,vaginales,2009-02-01,43,43
LA PAZ,atencion de partos en servicio,vaginales,2009-02-01,935,935
LAGUNILLAS,atencion de partos en servicio,vaginales,2009-02-01,10,10
LAJA,atencion de partos en servicio,vaginales,2009-02-01,3,3
LICOMA PAMPA,atencion de partos en servicio,vaginales,2009-02-01,1,1
LLALLAGUA,atencion de partos en servicio,vaginales,2009-02-01,45,45
LLICA,atencion de partos en servicio,vaginales,2009-02-01,3,3
LORETO,atencion de partos en servicio,vaginales,2009-02-01,3,3
LURIBAY,atencion de partos en servicio,vaginales,2009-02-01,1,1
MACHARETI,atencion de partos en servicio,vaginales,2009-02-01,7,7
MAGDALENA,atencion de partos en servicio,vaginales,2009-02-01,11,11
MAIRANA,atencion de partos en servicio,vaginales,2009-02-01,12,12
MAPIRI,atencion de partos en servicio,vaginales,2009-02-01,22,22
MECAPACA,atencion de partos en servicio,vaginales,2009-02-01,4,4
MINEROS,atencion de partos en servicio,vaginales,2009-02-01,23,23
MIZQUE,atencion de partos en servicio,vaginales,2009-02-01,33,33
MOJINETE,atencion de partos en servicio,vaginales,2009-02-01,1,1
MOJOCOYA,atencion de partos en servicio,vaginales,2009-02-01,6,6
MONTEAGUDO,atencion de partos en servicio,vaginales,2009-02-01,28,28
