municipality,group,variable,month,Nuevas en menores de 5 años -Hombre,Nuevas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
TITO YUPANQUI (PARQUIPUJIO),consulta externa,nuevas en menores de 5 anos,2005-02-01,16,25,16,25,41
TOCO,consulta externa,nuevas en menores de 5 anos,2005-02-01,24,28,24,28,52
TODOS SANTOS,consulta externa,nuevas en menores de 5 anos,2005-02-01,10,10,10,10,20
TOLATA,consulta externa,nuevas en menores de 5 anos,2005-02-01,43,45,43,45,88
TOLEDO,consulta externa,nuevas en menores de 5 anos,2005-02-01,67,51,67,51,118
TOMAVE,consulta externa,nuevas en menores de 5 anos,2005-02-01,128,115,128,115,243
TOMINA,consulta externa,nuevas en menores de 5 anos,2005-02-01,207,231,207,231,438
TORO TORO,consulta externa,nuevas en menores de 5 anos,2005-02-01,440,201,440,201,641
TOTORA(CBBA),consulta externa,nuevas en menores de 5 anos,2005-02-01,182,146,182,146,328
TOTORA(ORR),consulta externa,nuevas en menores de 5 anos,2005-02-01,29,26,29,26,55
TRIGAL,consulta externa,nuevas en menores de 5 anos,2005-02-01,19,19,19,19,38
TRINIDAD,consulta externa,nuevas en menores de 5 anos,2005-02-01,1641,1440,1641,1440,3081
TUPIZA,consulta externa,nuevas en menores de 5 anos,2005-02-01,1020,759,1020,759,1779
TURCO,consulta externa,nuevas en menores de 5 anos,2005-02-01,56,39,56,39,95
UMALA,consulta externa,nuevas en menores de 5 anos,2005-02-01,68,72,68,72,140
UNCIA,consulta externa,nuevas en menores de 5 anos,2005-02-01,463,397,463,397,860
URIONDO (A. CONCEPCION),consulta externa,nuevas en menores de 5 anos,2005-02-01,277,298,277,298,575
URUBICHA,consulta externa,nuevas en menores de 5 anos,2005-02-01,184,173,184,173,357
UYUNI,consulta externa,nuevas en menores de 5 anos,2005-02-01,186,153,186,153,339
VACAS,consulta externa,nuevas en menores de 5 anos,2005-02-01,165,129,165,129,294
VALLEGRANDE,consulta externa,nuevas en menores de 5 anos,2005-02-01,276,243,276,243,519
VIACHA,consulta externa,nuevas en menores de 5 anos,2005-02-01,335,327,335,327,662
VILA VILA,consulta externa,nuevas en menores de 5 anos,2005-02-01,38,38,38,38,76
VILLA MONTES,consulta externa,nuevas en menores de 5 anos,2005-02-01,514,454,514,454,968
VILLA NUEVA (LOMA ALTA),consulta externa,nuevas en menores de 5 anos,2005-02-01,18,22,18,22,40
VILLA RIVERO,consulta externa,nuevas en menores de 5 anos,2005-02-01,49,34,49,34,83
VILLA SERRANO,consulta externa,nuevas en menores de 5 anos,2005-02-01,362,291,362,291,653
VILLA TUNARI,consulta externa,nuevas en menores de 5 anos,2005-02-01,1339,1251,1339,1251,2590
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,nuevas en menores de 5 anos,2005-02-01,260,242,260,242,502
VILLAZON,consulta externa,nuevas en menores de 5 anos,2005-02-01,663,596,663,596,1259
VINTO,consulta externa,nuevas en menores de 5 anos,2005-02-01,197,182,197,182,379
VITICHI,consulta externa,nuevas en menores de 5 anos,2005-02-01,178,177,178,177,355
WALDO BALLIVIAN,consulta externa,nuevas en menores de 5 anos,2005-02-01,12,16,12,16,28
WARNES,consulta externa,nuevas en menores de 5 anos,2005-02-01,802,704,802,704,1506
YACO,consulta externa,nuevas en menores de 5 anos,2005-02-01,70,64,70,64,134
YACUIBA,consulta externa,nuevas en menores de 5 anos,2005-02-01,1341,1410,1341,1410,2751
YAMPARAEZ,consulta externa,nuevas en menores de 5 anos,2005-02-01,136,121,136,121,257
YANACACHI,consulta externa,nuevas en menores de 5 anos,2005-02-01,54,71,54,71,125
YAPACANI,consulta externa,nuevas en menores de 5 anos,2005-02-01,641,539,641,539,1180
YOCALLA,consulta externa,nuevas en menores de 5 anos,2005-02-01,47,64,47,64,111
YOTALA,consulta externa,nuevas en menores de 5 anos,2005-02-01,106,133,106,133,239
YUNCHARA,consulta externa,nuevas en menores de 5 anos,2005-02-01,54,62,54,62,116
ZUDAÑEZ,consulta externa,nuevas en menores de 5 anos,2005-02-01,115,153,115,153,268
ACACIO,consulta externa,nuevas en menores de 5 anos,2005-03-01,138,161,138,161,299
ACHACACHI,consulta externa,nuevas en menores de 5 anos,2005-03-01,363,318,363,318,681
ACHOCALLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,83,78,83,78,161
AIQUILE,consulta externa,nuevas en menores de 5 anos,2005-03-01,405,387,405,387,792
ALALAY,consulta externa,nuevas en menores de 5 anos,2005-03-01,66,48,66,48,114
ALCALA,consulta externa,nuevas en menores de 5 anos,2005-03-01,124,135,124,135,259
ANCORAIMES,consulta externa,nuevas en menores de 5 anos,2005-03-01,188,144,188,144,332
ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,35,40,35,40,75
ANTEQUERA,consulta externa,nuevas en menores de 5 anos,2005-03-01,31,27,31,27,58
ANZALDO,consulta externa,nuevas en menores de 5 anos,2005-03-01,131,128,131,128,259
APOLO,consulta externa,nuevas en menores de 5 anos,2005-03-01,179,208,179,208,387
ARAMPAMPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,350,114,350,114,464
ARANI,consulta externa,nuevas en menores de 5 anos,2005-03-01,109,115,109,115,224
ARBIETO,consulta externa,nuevas en menores de 5 anos,2005-03-01,69,44,69,44,113
ARQUE,consulta externa,nuevas en menores de 5 anos,2005-03-01,131,122,131,122,253
ASCENCION DE GUARAYOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,906,362,906,362,1268
ATOCHA,consulta externa,nuevas en menores de 5 anos,2005-03-01,397,293,397,293,690
AUCAPATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,72,81,72,81,153
AYATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,159,126,159,126,285
AYO AYO,consulta externa,nuevas en menores de 5 anos,2005-03-01,59,54,59,54,113
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en menores de 5 anos,2005-03-01,489,468,489,468,957
AZURDUY,consulta externa,nuevas en menores de 5 anos,2005-03-01,476,387,476,387,863
BATALLAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,102,76,102,76,178
BAURES,consulta externa,nuevas en menores de 5 anos,2005-03-01,88,108,88,108,196
BELEN DE ANDAMARCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,17,9,17,9,26
BELEN DE URMIRI,consulta externa,nuevas en menores de 5 anos,2005-03-01,39,35,39,35,74
BELLA FLOR,consulta externa,nuevas en menores de 5 anos,2005-03-01,83,79,83,79,162
BERMEJO,consulta externa,nuevas en menores de 5 anos,2005-03-01,532,515,532,515,1047
BETANZOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,537,498,537,498,1035
BOLIVAR,consulta externa,nuevas en menores de 5 anos,2005-03-01,127,136,127,136,263
BOLPEBRA,consulta externa,nuevas en menores de 5 anos,2005-03-01,66,55,66,55,121
BOYUIBE,consulta externa,nuevas en menores de 5 anos,2005-03-01,95,121,95,121,216
BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,255,235,255,235,490
CABEZAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,448,322,448,322,770
CAIROMA,consulta externa,nuevas en menores de 5 anos,2005-03-01,94,72,94,72,166
"CAIZA ""D""",consulta externa,nuevas en menores de 5 anos,2005-03-01,123,77,123,77,200
CAJUATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,121,138,121,138,259
CALACOTO,consulta externa,nuevas en menores de 5 anos,2005-03-01,54,55,54,55,109
CALAMARCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,94,97,94,97,191
CAMARGO,consulta externa,nuevas en menores de 5 anos,2005-03-01,370,350,370,350,720
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en menores de 5 anos,2005-03-01,86,64,86,64,150
CAMIRI,consulta externa,nuevas en menores de 5 anos,2005-03-01,862,819,862,819,1681
CAPINOTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,289,289,289,289,578
CAQUIAVIRI,consulta externa,nuevas en menores de 5 anos,2005-03-01,102,95,102,95,197
CARACOLLO,consulta externa,nuevas en menores de 5 anos,2005-03-01,286,228,286,228,514
CARANAVI,consulta externa,nuevas en menores de 5 anos,2005-03-01,907,858,907,858,1765
CARANGAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,0,1,0,1,1
CARAPARI,consulta externa,nuevas en menores de 5 anos,2005-03-01,179,138,179,138,317
CARIPUYO,consulta externa,nuevas en menores de 5 anos,2005-03-01,298,274,298,274,572
CARMEN RIVERO TORREZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,29,23,29,23,52
CATACORA,consulta externa,nuevas en menores de 5 anos,2005-03-01,8,6,8,6,14
CHACARILLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,11,12,11,12,23
CHALLAPATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,301,260,301,260,561
CHAQUI,consulta externa,nuevas en menores de 5 anos,2005-03-01,117,96,117,96,213
CHARAGUA,consulta externa,nuevas en menores de 5 anos,2005-03-01,694,710,694,710,1404
CHARAÑA,consulta externa,nuevas en menores de 5 anos,2005-03-01,19,24,19,24,43
CHAYANTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,244,239,244,239,483
CHIMORE,consulta externa,nuevas en menores de 5 anos,2005-03-01,532,519,532,519,1051
CHIPAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,11,13,11,13,24
CHOQUE COTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,25,34,25,34,59
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en menores de 5 anos,2005-03-01,241,237,241,237,478
CHUMA,consulta externa,nuevas en menores de 5 anos,2005-03-01,132,156,132,156,288
CLIZA,consulta externa,nuevas en menores de 5 anos,2005-03-01,204,123,204,123,327
COBIJA,consulta externa,nuevas en menores de 5 anos,2005-03-01,912,829,912,829,1741
COCHABAMBA,consulta externa,nuevas en menores de 5 anos,2005-03-01,8948,8042,8948,8042,16990
COIPASA,consulta externa,nuevas en menores de 5 anos,2005-03-01,17,9,17,9,26
COLCAPIRHUA,consulta externa,nuevas en menores de 5 anos,2005-03-01,368,377,368,377,745
"COLCHA ""K""",consulta externa,nuevas en menores de 5 anos,2005-03-01,133,140,133,140,273
COLLANA,consulta externa,nuevas en menores de 5 anos,2005-03-01,19,12,19,12,31
COLOMI,consulta externa,nuevas en menores de 5 anos,2005-03-01,246,239,246,239,485
COLPA BELGICA,consulta externa,nuevas en menores de 5 anos,2005-03-01,172,139,172,139,311
COLQUECHACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,753,671,753,671,1424
COLQUENCHA,consulta externa,nuevas en menores de 5 anos,2005-03-01,48,67,48,67,115
COLQUIRI,consulta externa,nuevas en menores de 5 anos,2005-03-01,253,229,253,229,482
COMANCHE,consulta externa,nuevas en menores de 5 anos,2005-03-01,44,50,44,50,94
COMARAPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,341,346,341,346,687
COMBAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,34,45,34,45,79
CONCEPCION,consulta externa,nuevas en menores de 5 anos,2005-03-01,188,195,188,195,383
COPACABANA,consulta externa,nuevas en menores de 5 anos,2005-03-01,56,58,56,58,114
CORIPATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,165,145,165,145,310
CORO CORO,consulta externa,nuevas en menores de 5 anos,2005-03-01,138,110,138,110,248
COROICO,consulta externa,nuevas en menores de 5 anos,2005-03-01,164,144,164,144,308
CORQUE,consulta externa,nuevas en menores de 5 anos,2005-03-01,64,70,64,70,134
COTAGAITA,consulta externa,nuevas en menores de 5 anos,2005-03-01,738,538,738,538,1276
COTOCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,750,610,750,610,1360
CUATRO CAÑADAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,354,309,354,309,663
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en menores de 5 anos,2005-03-01,23,14,23,14,37
CUEVO,consulta externa,nuevas en menores de 5 anos,2005-03-01,103,127,103,127,230
CULPINA,consulta externa,nuevas en menores de 5 anos,2005-03-01,502,487,502,487,989
CURAHUARA DE CARANGAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,39,33,39,33,72
CURVA,consulta externa,nuevas en menores de 5 anos,2005-03-01,48,30,48,30,78
DESAGUADERO,consulta externa,nuevas en menores de 5 anos,2005-03-01,32,26,32,26,58
EL ALTO,consulta externa,nuevas en menores de 5 anos,2005-03-01,8541,8004,8541,8004,16545
EL CHORO,consulta externa,nuevas en menores de 5 anos,2005-03-01,2,7,2,7,9
EL PUENTE(STC),consulta externa,nuevas en menores de 5 anos,2005-03-01,240,159,240,159,399
EL PUENTE(TJA),consulta externa,nuevas en menores de 5 anos,2005-03-01,167,155,167,155,322
EL TORNO,consulta externa,nuevas en menores de 5 anos,2005-03-01,1053,846,1053,846,1899
EL VILLAR,consulta externa,nuevas en menores de 5 anos,2005-03-01,240,191,240,191,431
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,360,335,360,335,695
ENTRE RIOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,361,357,361,357,718
ESCARA,consulta externa,nuevas en menores de 5 anos,2005-03-01,4,3,4,3,7
EUCALIPTUS,consulta externa,nuevas en menores de 5 anos,2005-03-01,143,101,143,101,244
EUREKA (SANTOS MERCADO),consulta externa,nuevas en menores de 5 anos,2005-03-01,28,32,28,32,60
EXALTACION,consulta externa,nuevas en menores de 5 anos,2005-03-01,46,53,46,53,99
FERNANDEZ ALONSO,consulta externa,nuevas en menores de 5 anos,2005-03-01,381,339,381,339,720
FILADELFIA,consulta externa,nuevas en menores de 5 anos,2005-03-01,93,109,93,109,202
GENERAL SAAVEDRA,consulta externa,nuevas en menores de 5 anos,2005-03-01,643,657,643,657,1300
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en menores de 5 anos,2005-03-01,141,140,141,140,281
GUANAY,consulta externa,nuevas en menores de 5 anos,2005-03-01,285,263,285,263,548
GUAQUI,consulta externa,nuevas en menores de 5 anos,2005-03-01,30,11,30,11,41
GUAYARAMERIN,consulta externa,nuevas en menores de 5 anos,2005-03-01,998,939,998,939,1937
GUTIERREZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,590,576,590,576,1166
HUACARETA,consulta externa,nuevas en menores de 5 anos,2005-03-01,342,313,342,313,655
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en menores de 5 anos,2005-03-01,79,51,79,51,130
HUACHACALLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,17,21,17,21,38
HUANUNI,consulta externa,nuevas en menores de 5 anos,2005-03-01,393,377,393,377,770
HUARACAJE,consulta externa,nuevas en menores de 5 anos,2005-03-01,58,69,58,69,127
HUAYLLAMARCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,43,67,43,67,110
ICHOCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,90,45,90,45,135
ICLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,338,296,338,296,634
INCAHUASI,consulta externa,nuevas en menores de 5 anos,2005-03-01,487,487,487,487,974
INGAVI (HUMAITA),consulta externa,nuevas en menores de 5 anos,2005-03-01,13,12,13,12,25
INQUISIVI,consulta externa,nuevas en menores de 5 anos,2005-03-01,405,112,405,112,517
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en menores de 5 anos,2005-03-01,257,243,257,243,500
IXIAMAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,191,129,191,129,320
JESUS DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,122,98,122,98,220
LA ASUNTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,547,518,547,518,1065
LA GUARDIA,consulta externa,nuevas en menores de 5 anos,2005-03-01,774,684,774,684,1458
LA PAZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,12942,11564,12942,11564,24506
LA RIVERA,consulta externa,nuevas en menores de 5 anos,2005-03-01,1,2,1,2,3
LAGUNILLAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,270,219,270,219,489
LAJA,consulta externa,nuevas en menores de 5 anos,2005-03-01,93,71,93,71,164
LAS CARRERAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,93,66,93,66,159
LICOMA PAMPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,35,31,35,31,66
LLALLAGUA,consulta externa,nuevas en menores de 5 anos,2005-03-01,600,508,600,508,1108
LLICA,consulta externa,nuevas en menores de 5 anos,2005-03-01,84,59,84,59,143
LORETO,consulta externa,nuevas en menores de 5 anos,2005-03-01,51,54,51,54,105
LURIBAY,consulta externa,nuevas en menores de 5 anos,2005-03-01,144,141,144,141,285
MACHACAMARCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,29,36,29,36,65
MACHARETI,consulta externa,nuevas en menores de 5 anos,2005-03-01,303,376,303,376,679
MAGDALENA,consulta externa,nuevas en menores de 5 anos,2005-03-01,241,227,241,227,468
MAIRANA,consulta externa,nuevas en menores de 5 anos,2005-03-01,165,170,165,170,335
MALLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,52,27,52,27,79
MAPIRI,consulta externa,nuevas en menores de 5 anos,2005-03-01,255,229,255,229,484
MECAPACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,198,118,198,118,316
MINEROS,consulta externa,nuevas en menores de 5 anos,2005-03-01,410,377,410,377,787
MIZQUE,consulta externa,nuevas en menores de 5 anos,2005-03-01,318,322,318,322,640
MOCOMOCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,149,140,149,140,289
MOJINETE,consulta externa,nuevas en menores de 5 anos,2005-03-01,21,24,21,24,45
MOJOCOYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,133,110,133,110,243
MONTEAGUDO,consulta externa,nuevas en menores de 5 anos,2005-03-01,643,557,643,557,1200
MONTERO,consulta externa,nuevas en menores de 5 anos,2005-03-01,1823,1584,1823,1584,3407
MORO MORO,consulta externa,nuevas en menores de 5 anos,2005-03-01,37,51,37,51,88
MOROCHATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,157,128,157,128,285
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en menores de 5 anos,2005-03-01,52,34,52,34,86
NAZACARA DE PACAJES,consulta externa,nuevas en menores de 5 anos,2005-03-01,2,3,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en menores de 5 anos,2005-03-01,31,35,31,35,66
OCURI,consulta externa,nuevas en menores de 5 anos,2005-03-01,401,384,401,384,785
OKINAWA,consulta externa,nuevas en menores de 5 anos,2005-03-01,258,278,258,278,536
OMEREQUE,consulta externa,nuevas en menores de 5 anos,2005-03-01,105,88,105,88,193
ORURO,consulta externa,nuevas en menores de 5 anos,2005-03-01,3584,3004,3584,3004,6588
PADCAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,362,382,362,382,744
PADILLA,consulta externa,nuevas en menores de 5 anos,2005-03-01,356,365,356,365,721
PAILON,consulta externa,nuevas en menores de 5 anos,2005-03-01,356,338,356,338,694
PALCA,consulta externa,nuevas en menores de 5 anos,2005-03-01,179,103,179,103,282
PALOS BLANCOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,747,655,747,655,1402
PAMPA AULLAGAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,14,19,14,19,33
PAMPA GRANDE,consulta externa,nuevas en menores de 5 anos,2005-03-01,296,171,296,171,467
PAPEL PAMPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,33,38,33,38,71
PASORAPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,38,30,38,30,68
PATACAMAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,242,200,242,200,442
PAZÑA,consulta externa,nuevas en menores de 5 anos,2005-03-01,76,73,76,73,149
PELECHUCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,69,60,69,60,129
POCOATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,488,513,488,513,1001
POCONA,consulta externa,nuevas en menores de 5 anos,2005-03-01,149,146,149,146,295
POJO (CBBA),consulta externa,nuevas en menores de 5 anos,2005-03-01,156,119,156,119,275
POOPO,consulta externa,nuevas en menores de 5 anos,2005-03-01,56,57,56,57,113
PORCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,88,97,88,97,185
POROMA,consulta externa,nuevas en menores de 5 anos,2005-03-01,392,329,392,329,721
PORONGO,consulta externa,nuevas en menores de 5 anos,2005-03-01,121,117,121,117,238
PORTACHUELO,consulta externa,nuevas en menores de 5 anos,2005-03-01,370,356,370,356,726
PORVENIR,consulta externa,nuevas en menores de 5 anos,2005-03-01,137,92,137,92,229
POSTRER VALLE,consulta externa,nuevas en menores de 5 anos,2005-03-01,29,49,29,49,78
POTOSI,consulta externa,nuevas en menores de 5 anos,2005-03-01,2687,2403,2687,2403,5090
PRESTO,consulta externa,nuevas en menores de 5 anos,2005-03-01,368,303,368,303,671
PUCARA,consulta externa,nuevas en menores de 5 anos,2005-03-01,33,15,33,15,48
PUCARANI,consulta externa,nuevas en menores de 5 anos,2005-03-01,95,94,95,94,189
PUERTO ACOSTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,275,247,275,247,522
PUERTO CARABUCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,120,112,120,112,232
PUERTO GONZALO MORENO,consulta externa,nuevas en menores de 5 anos,2005-03-01,144,136,144,136,280
PUERTO PEREZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,38,32,38,32,70
PUERTO QUIJARRO,consulta externa,nuevas en menores de 5 anos,2005-03-01,260,220,260,220,480
PUERTO RICO,consulta externa,nuevas en menores de 5 anos,2005-03-01,211,183,211,183,394
PUERTO SILES,consulta externa,nuevas en menores de 5 anos,2005-03-01,16,27,16,27,43
PUERTO SUAREZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,564,535,564,535,1099
PUERTO VILLARROEL,consulta externa,nuevas en menores de 5 anos,2005-03-01,1196,1085,1196,1085,2281
PUNA,consulta externa,nuevas en menores de 5 anos,2005-03-01,462,410,462,410,872
PUNATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,303,301,303,301,604
QUIABAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,21,26,21,26,47
QUILLACOLLO,consulta externa,nuevas en menores de 5 anos,2005-03-01,1040,895,1040,895,1935
QUIME,consulta externa,nuevas en menores de 5 anos,2005-03-01,81,70,81,70,151
QUIRUSILLAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,32,56,32,56,88
RAVELO,consulta externa,nuevas en menores de 5 anos,2005-03-01,376,384,376,384,760
REYES,consulta externa,nuevas en menores de 5 anos,2005-03-01,340,255,340,255,595
RIBERALTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,2113,1740,2113,1740,3853
ROBORE,consulta externa,nuevas en menores de 5 anos,2005-03-01,239,215,239,215,454
RURRENABAQUE,consulta externa,nuevas en menores de 5 anos,2005-03-01,331,362,331,362,693
SABAYA,consulta externa,nuevas en menores de 5 anos,2005-03-01,59,50,59,50,109
SACABA,consulta externa,nuevas en menores de 5 anos,2005-03-01,943,915,943,915,1858
SACABAMBA,consulta externa,nuevas en menores de 5 anos,2005-03-01,50,61,50,61,111
SACACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,533,471,533,471,1004
SAIPINA,consulta externa,nuevas en menores de 5 anos,2005-03-01,111,126,111,126,237
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en menores de 5 anos,2005-03-01,164,146,164,146,310
SAMAIPATA,consulta externa,nuevas en menores de 5 anos,2005-03-01,178,154,178,154,332
SAN AGUSTIN,consulta externa,nuevas en menores de 5 anos,2005-03-01,34,29,34,29,63
SAN ANDRES,consulta externa,nuevas en menores de 5 anos,2005-03-01,231,213,231,213,444
SAN ANDRES DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,36,24,36,24,60
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,40,40,40,40,80
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en menores de 5 anos,2005-03-01,137,123,137,123,260
SAN BENITO,consulta externa,nuevas en menores de 5 anos,2005-03-01,137,118,137,118,255
SAN BORJA,consulta externa,nuevas en menores de 5 anos,2005-03-01,505,412,505,412,917
SAN BUENA VENTURA,consulta externa,nuevas en menores de 5 anos,2005-03-01,291,249,291,249,540
SAN CARLOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,473,416,473,416,889
SAN IGNACIO,consulta externa,nuevas en menores de 5 anos,2005-03-01,460,410,460,410,870
SAN IGNACIO DE VELASCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,1244,1131,1244,1131,2375
SAN JAVIER(BNI),consulta externa,nuevas en menores de 5 anos,2005-03-01,91,63,91,63,154
SAN JAVIER(STC),consulta externa,nuevas en menores de 5 anos,2005-03-01,156,120,156,120,276
SAN JOAQUIN,consulta externa,nuevas en menores de 5 anos,2005-03-01,100,117,100,117,217
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en menores de 5 anos,2005-03-01,471,422,471,422,893
SAN JUAN DE YAPACANI,consulta externa,nuevas en menores de 5 anos,2005-03-01,291,264,291,264,555
SAN JULIAN,consulta externa,nuevas en menores de 5 anos,2005-03-01,1024,948,1024,948,1972
SAN LORENZO(PND),consulta externa,nuevas en menores de 5 anos,2005-03-01,120,103,120,103,223
SAN LORENZO(TJA),consulta externa,nuevas en menores de 5 anos,2005-03-01,531,490,531,490,1021
SAN LUCAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,812,843,812,843,1655
SAN MATIAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,274,338,274,338,612
SAN MIGUEL DE VELASCO,consulta externa,nuevas en menores de 5 anos,2005-03-01,299,281,299,281,580
SAN PABLO DE LIPEZ,consulta externa,nuevas en menores de 5 anos,2005-03-01,119,95,119,95,214
SAN PEDRO,consulta externa,nuevas en menores de 5 anos,2005-03-01,605,573,605,573,1178
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2005-03-01,490,506,490,506,996
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en menores de 5 anos,2005-03-01,170,49,170,49,219
SAN PEDRO DE QUEMES,consulta externa,nuevas en menores de 5 anos,2005-03-01,12,10,12,10,22
SAN PEDRO DE TIQUINA,consulta externa,nuevas en menores de 5 anos,2005-03-01,33,22,33,22,55
SAN PEDRO(PND),consulta externa,nuevas en menores de 5 anos,2005-03-01,9,16,9,16,25
SAN RAFAEL,consulta externa,nuevas en menores de 5 anos,2005-03-01,81,88,81,88,169
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2005-03-01,160,121,160,121,281
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2005-03-01,165,151,165,151,316
SANTA ANA,consulta externa,nuevas en menores de 5 anos,2005-03-01,213,190,213,190,403
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en menores de 5 anos,2005-03-01,18300,17340,18300,17340,35640
SANTA ROSA,consulta externa,nuevas en menores de 5 anos,2005-03-01,191,105,191,105,296
SANTA ROSA DEL SARA,consulta externa,nuevas en menores de 5 anos,2005-03-01,687,622,687,622,1309
SANTIAGO DE CALLAPA,consulta externa,nuevas en menores de 5 anos,2005-03-01,73,72,73,72,145
SANTIAGO DE HUARI,consulta externa,nuevas en menores de 5 anos,2005-03-01,108,96,108,96,204
SANTIAGO DE MACHACA,consulta externa,nuevas en menores de 5 anos,2005-03-01,54,46,54,46,100
SANTIVAÑES,consulta externa,nuevas en menores de 5 anos,2005-03-01,99,97,99,97,196
SANTUARIO DE QUILLACAS,consulta externa,nuevas en menores de 5 anos,2005-03-01,32,23,32,23,55
