municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g.,TOTAL
SAN RAFAEL,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-04-01,0,0
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-05-01,0,0
SANTIAGO DE HUATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-05-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-05-01,2,2
AIQUILE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,0,0
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-06-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,1,1
PORVENIR,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,0,0
TIAWANACU,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,2,2
TORO TORO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-07-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-08-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-08-01,0,0
ARQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-09-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-09-01,0,0
VITICHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-09-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-10-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-10-01,0,0
TOMINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-10-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-11-01,2,2
MOJOCOYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-11-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-11-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-11-01,0,0
COTAGAITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-12-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2011-12-01,0,0
