municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
MONTERO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,15,15
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,5,5
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,15,15
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,7,7
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,15,15
SAN JAVIER(STC),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,4,4
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,4,4
SANTA ANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,0,0
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
TARIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,9,9
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,8,8
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,2,2
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
VILLA RIVERO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,9,9
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-02-01,3,3
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
BOLPEBRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,25,25
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,4,4
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
COBIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,8,8
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,12,12
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,6,6
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,5,5
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,5,5
LA PAZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,4,4
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
MONTERO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,4,4
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
PADCAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,4,4
POCONA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
POOPO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
PUERTO RICO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,14,14
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,7,7
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,11,11
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,9,9
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,4,4
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,7,7
SAN RAMON SCZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,0,0
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SHINAOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,7,7
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,8,8
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,16,16
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,5,5
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,3,3
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
YACUIBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-03-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,7,7
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,6,6
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,3,3
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,3,3
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,30,30
CAJUATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,4,4
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,2,2
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,13,13
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
COMANCHE,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera capacitada,2011-04-01,2,2
