,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,2,122,136,123,138,261
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,53,65,53,65,118
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,20,4,0,0,20,4,24
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,51,73,51,73,124
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,3,26,27,29,30,59
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,4,35,48,38,52,90
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,5,15,16,22,21,43
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,9,89,105,97,114,211
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,181,191,26,29,207,220,427
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,6,5,61,56,67,61,128
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,17,18,17,18,35
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,3,8,9,11,12,23
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,7,7,7,7,14
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,28,30,32,25,60,55,115
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,39,36,31,56,70,92,162
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,18,22,264,262,282,284,566
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,5,37,28,40,33,73
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,1,28,23,28,24,52
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,13,16,59,55,72,71,143
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,3,43,47,44,50,94
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,6,78,88,86,94,180
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,10,44,42,49,52,101
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,3,38,45,42,48,90
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,4,18,18,19,22,41
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,0,26,20,29,20,49
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,4,75,55,78,59,137
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,9,173,100,190,109,299
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,34,38,35,38,73
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,92,68,182,191,274,259,533
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,31,10,79,77,110,87,197
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,1,35,38,36,39,75
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,9,17,68,91,77,108,185
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,37,34,211,191,248,225,473
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,2,3,2,3,5
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,10,78,73,95,83,178
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,14,10,73,73,87,83,170
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,1,17,18,22,19,41
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,9,11,9,11,20
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,0,1,0,1,1
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,11,5,105,109,116,114,230
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,2,35,17,35,19,54
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,50,8,400,13,450,21,471
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,4,3,3,4,7,11
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,11,7,84,108,95,115,210
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,22,21,63,56,85,77,162
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,9,9,9,9,18
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,11,3,11,3,14
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,2,20,40,20,42,62
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,53,67,53,67,120
CKOCHAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,12,2,245,7,257,9,266
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,6,3,105,87,111,90,201
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,36,21,162,144,198,165,363
COCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,23,42,73,94,96,136,232
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,846,490,822,644,1668,1134,2802
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,2,4,2,4,6
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,89,53,126,106,215,159,374
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,5,42,26,45,31,76
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,2,5,10,5,12,17
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,12,21,63,57,75,78,153
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,2,23,12,25,14,39
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,7,100,164,108,171,279
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,1,44,40,45,41,86
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,26,18,56,94,82,112,194
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,2,6,2,6,8
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,88,94,88,94,182
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,0,14,14,16,14,30
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,0,36,0,43,0,43
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,15,6,39,46,54,52,106
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,4,50,69,57,73,130
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,2,20,24,21,26,47
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,14,18,52,54,66,72,138
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,4,35,17,40,21,61
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,16,31,40,48,56,104
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,56,39,182,164,238,203,441
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,71,0,150,0,221,0,221
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,13,14,0,0,13,14,27
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,1,8,111,10,112,122
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,142,143,0,0,142,143,285
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,2,49,42,49,44,93
CURVA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,18,15,18,15,33
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,2,7,5,10,7,17
EL ALTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,574,598,1211,1278,1785,1876,3661
EL CHORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,1,35,19,39,20,59
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,95,89,0,0,95,89,184
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,12,21,88,95,100,116,216
EL TORNO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,33,50,182,164,215,214,429
EL VILLAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,5,80,84,83,89,172
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,26,36,112,124,138,160,298
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,123,126,48,34,171,160,331
ESCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,0,1,0,1,1
ESCOMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,5,33,24,37,29,66
ESMERALDA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,1,1,1,1,2
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,6,9,35,38,41,47,88
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,6,7,6,7,13
EXALTACION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,7,7,7,7,14
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,12,11,105,84,117,95,212
FILADELFIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,17,18,17,18,35
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,11,8,106,107,117,115,232
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,6,1,33,28,39,29,68
GUANAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,10,59,77,64,87,151
GUAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,2,9,19,12,21,33
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,2,164,145,166,147,313
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,1,355,376,359,377,736
HUACARETA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,75,80,0,0,75,80,155
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,8,48,51,53,59,112
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,1,13,10,17,11,28
HUANUNI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,10,9,66,57,76,66,142
HUARACAJE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,18,24,18,24,42
HUARINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,4,23,23,28,27,55
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,3,35,23,36,26,62
HUMANATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,4,21,14,23,18,41
ICHOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,1,21,38,22,39,61
ICLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,210,267,0,0,210,267,477
INCAHUASI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,89,120,6,11,95,131,226
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,19,18,19,18,37
INQUISIVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,2,52,48,54,50,104
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,2,73,81,77,83,160
IXIAMAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,11,31,26,39,37,76
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,6,5,42,58,48,63,111
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,3,15,16,20,19,39
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,51,44,193,224,244,268,512
LA PAZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,686,480,1484,1480,2170,1960,4130
LA RIVERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,1,0,1,0,1
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,141,123,142,123,265
LAJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,5,38,48,40,53,93
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,0,55,57,57,57,114
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,2,25,23,28,25,53
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,9,13,59,76,68,89,157
LLICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,1,23,22,25,23,48
LORETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,12,13,5,30,17,47
LURIBAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,13,7,39,67,52,74,126
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,2,21,24,24,26,50
MACHARETI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,13,98,93,115,106,221
MAGDALENA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,1,45,26,48,27,75
MAIRANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,10,8,39,52,49,60,109
MALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,26,18,27,18,45
MAPIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,50,50,50,50,100
MECAPACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,17,10,11,11,28,21,49
MINEROS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,21,5,124,108,145,113,258
MIZQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,13,13,27,38,40,51,91
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,13,70,64,78,77,155
MOJINETE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,4,7,4,7,11
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,111,110,0,0,111,110,221
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,91,90,206,210,297,300,597
MONTERO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,60,53,522,486,582,539,1121
MORO MORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,2,17,11,18,13,31
MOROCHATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,29,17,43,51,72,68,140
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,2,2,0,4,2,6
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,0,1,3,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,12,14,13,14,27
OCURI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,18,18,113,125,131,143,274
OKINAWA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,90,94,0,0,90,94,184
OMEREQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,2,21,20,26,22,48
ORURO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,201,210,536,605,737,815,1552
PADCAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,44,38,157,128,201,166,367
PADILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,10,196,217,203,227,430
PAILON,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,13,15,88,92,101,107,208
PALCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,37,37,13,10,50,47,97
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,15,21,160,142,175,163,338
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,3,11,7,15,10,25
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,4,27,27,32,31,63
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,1,10,8,13,9,22
PASORAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,0,31,32,33,32,65
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,10,12,40,22,50,34,84
PAZÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,6,39,35,42,41,83
PELECHUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,2,35,28,40,30,70
POCOATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,23,21,184,175,207,196,403
POCONA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,63,0,68,0,131,0,131
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,0,122,4,125,4,129
POOPO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,4,27,17,31,21,52
PORCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,0,1,33,39,33,40,73
POROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,10,6,162,168,172,174,346
PORONGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,51,39,5,7,56,46,102
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,5,89,103,94,108,202
PORVENIR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,23,17,20,23,43,40,83
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,10,12,11,12,23
POTOSI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,124,24,269,671,393,695,1088
PRESTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,129,128,0,0,129,128,257
PUCARA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,2,11,12,12,14,26
PUCARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,18,9,55,69,73,78,151
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,4,8,23,10,27,37
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,3,3,46,33,49,36,85
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,2,34,44,38,46,84
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,2,47,30,54,32,86
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,2,1,22,27,24,28,52
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,5,10,18,20,23,30,53
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,5,0,0,7,5,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,14,16,0,1,14,17,31
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,69,76,249,196,318,272,590
PUNA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,37,0,241,0,278,0,278
PUNATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,56,43,39,39,95,82,177
QUIABAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,14,14,0,0,14,14,28
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,98,85,104,104,202,189,391
QUIME,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,4,2,43,50,47,52,99
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,1,0,16,15,17,15,32
RAVELO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,7,5,178,85,185,90,275
REYES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2010-01-01,8,9,53,56,61,65,126
