,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,2,77,82,79,84,163
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,90,92,90,92,182
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,12,0,0,7,12,19
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,66,62,66,62,128
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,3,20,27,22,30,52
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,2,50,52,54,54,108
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,3,38,42,41,45,86
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,17,11,124,114,141,125,266
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,66,77,8,16,74,93,167
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,13,15,61,69,74,84,158
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,1,14,8,15,9,24
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,6,5,7,5,12
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,10,8,10,8,18
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,16,12,13,7,29,19,48
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,48,37,100,95,148,132,280
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,27,20,190,176,217,196,413
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,3,51,37,55,40,95
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,2,10,11,11,13,24
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,7,23,21,28,28,56
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,5,54,45,55,50,105
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,10,14,73,87,83,101,184
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,11,8,42,31,53,39,92
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,2,56,52,62,54,116
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,7,26,16,33,23,56
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,1,28,18,33,19,52
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,4,49,69,54,73,127
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,15,90,88,94,103,197
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,2,18,21,19,23,42
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,63,63,121,119,184,182,366
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,39,7,174,115,213,122,335
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,25,30,27,34,61
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,28,24,118,147,146,171,317
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,37,29,248,245,285,274,559
CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,1,0,1,1,2
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,21,26,86,82,107,108,215
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,11,13,62,43,73,56,129
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,2,13,13,17,15,32
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,1,3,1,3,4
CHACARILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,2,3,3,3,6
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,12,8,157,151,169,159,328
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,2,36,30,37,32,69
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,42,6,286,4,328,10,338
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,5,4,7,8,15
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,11,92,106,100,117,217
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,15,16,36,25,51,41,92
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,11,8,12,8,20
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,4,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,22,9,29,33,51,42,93
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,2,59,27,63,29,92
CKOCHAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,18,0,173,10,191,10,201
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,4,118,86,124,90,214
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,44,41,175,177,219,218,437
COCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,25,26,103,79,128,105,233
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,741,650,1045,906,1786,1556,3342
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,9,5,9,6,15
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,58,55,153,83,211,138,349
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,4,35,37,43,41,84
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,3,7,8,8,11,19
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,14,17,106,100,120,117,237
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,1,17,29,19,30,49
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,19,22,263,276,282,298,580
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,4,48,49,52,53,105
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,20,13,90,61,110,74,184
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,3,11,12,12,15,27
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,102,90,102,90,192
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,3,12,7,13,10,23
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,40,0,41,0,41
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,11,6,43,33,54,39,93
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,10,41,54,47,64,111
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,37,25,37,26,63
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,14,18,40,46,54,64,118
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,8,41,31,48,39,87
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,22,26,42,36,64,62,126
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,41,59,166,190,207,249,456
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,63,0,80,0,143,0,143
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,11,10,0,0,11,10,21
CUEVO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,1,22,34,24,35,59
CULPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,101,119,0,0,101,119,220
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,3,60,42,64,45,109
CURVA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,15,6,15,7,22
DESAGUADERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,3,8,11,8,14,22
EL ALTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,758,722,2612,2463,3370,3185,6555
EL CHORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,5,17,26,18,31,49
EL PUENTE(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,89,84,0,0,89,84,173
EL PUENTE(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,15,17,86,87,101,104,205
EL TORNO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,87,89,100,126,187,215,402
EL VILLAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,33,25,35,29,64
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,20,21,167,134,187,155,342
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,154,122,35,27,189,149,338
ESCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,1,1,1,1,2
ESCOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,6,13,17,19,23,42
EUCALIPTUS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,6,49,43,57,49,106
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,3,4,4,4,8
EXALTACION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,5,8,5,8,13
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,6,63,65,65,71,136
FILADELFIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,1,14,8,16,9,25
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,15,16,80,68,95,84,179
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,5,40,26,47,31,78
GUANAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,6,19,53,55,59,74,133
GUAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,4,20,11,27,15,42
GUAYARAMERIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,0,207,193,211,193,404
GUTIERREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,135,147,137,151,288
HUACARETA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,51,50,0,0,51,50,101
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,16,19,17,19,36
HUACHACALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,0,2,6,5,6,11
HUANUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,15,11,80,91,95,102,197
HUARACAJE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,26,10,26,10,36
HUARINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,1,21,18,24,19,43
HUAYLLAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,2,22,24,24,26,50
HUMANATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,3,35,6,37,9,46
ICHOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,16,20,16,21,37
ICLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,92,79,0,0,92,79,171
INCAHUASI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,56,62,17,9,73,71,144
INGAVI (HUMAITA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,12,8,12,9,21
INQUISIVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,2,31,30,34,32,66
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,9,56,58,61,67,128
IXIAMAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,12,30,36,38,48,86
JESUS DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,8,59,54,66,62,128
LA ASUNTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,32,42,22,30,54,72,126
LA GUARDIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,54,45,187,167,241,212,453
LA PAZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,695,530,1907,1644,2602,2174,4776
LA RIVERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,1,1,1,1,2
LAGUNILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,1,52,57,55,58,113
LAJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,17,18,56,65,73,83,156
LAS CARRERAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,1,26,18,26,19,45
LICOMA PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,2,12,13,17,15,32
LLALLAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,24,30,145,139,169,169,338
LLICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,0,25,17,27,17,44
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,5,11,4,19,9,28
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,14,9,41,48,55,57,112
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,4,32,31,37,35,72
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,16,10,54,46,70,56,126
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,4,33,22,38,26,64
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,11,40,37,47,48,95
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,1,10,19,14,20,34
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,43,53,43,53,96
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,24,24,27,20,51,44,95
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,0,142,128,149,128,277
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,17,11,25,36,42,47,89
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,10,49,55,56,65,121
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,2,4,2,4,6
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,43,46,0,0,43,46,89
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,62,59,131,119,193,178,371
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,49,56,520,515,569,571,1140
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,2,10,8,15,10,25
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,28,39,56,56,84,95,179
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,0,5,6,7,6,13
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,1,2,3,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,5,2,15,13,20,15,35
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,22,14,123,135,145,149,294
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,91,87,0,0,91,87,178
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,6,14,13,21,19,40
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,312,317,950,956,1262,1273,2535
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,52,37,136,130,188,167,355
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,9,5,64,71,73,76,149
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,8,60,72,68,80,148
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,17,25,22,21,39,46,85
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,20,26,130,136,150,162,312
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,5,26,21,27,26,53
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,2,19,24,23,26,49
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,6,5,11,12,17,29
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,13,17,14,17,31
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,27,30,67,80,94,110,204
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,10,10,39,35,49,45,94
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,1,26,25,33,26,59
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,26,13,185,172,211,185,396
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,62,0,88,0,150,0,150
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,0,113,12,115,12,127
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,8,30,25,37,33,70
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,2,39,40,41,42,83
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,9,2,79,107,88,109,197
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,32,35,2,4,34,39,73
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,72,64,74,68,142
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,7,9,28,19,35,28,63
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,6,9,7,9,16
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,164,36,427,899,591,935,1526
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,78,60,0,0,78,60,138
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,0,0,6,5,6,5,11
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,22,31,126,141,148,172,320
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,3,9,42,34,45,43,88
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,9,6,39,37,48,43,91
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,44,35,45,35,80
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,6,21,23,23,29,52
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,47,67,48,67,115
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,8,8,25,26,33,34,67
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,8,0,0,4,8,12
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,35,40,1,0,36,40,76
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,89,79,213,173,302,252,554
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,39,0,164,0,203,0,203
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,74,58,85,80,159,138,297
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,15,10,0,0,15,10,25
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,127,97,244,200,371,297,668
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,4,7,40,41,44,48,92
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,4,12,7,14,11,25
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,2,5,103,85,105,90,195
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,1,0,54,72,55,72,127
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2010-01-01,95,96,557,488,652,584,1236
