municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
CARACOLLO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,796,796
CARANAVI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,293,293
CARANGAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,17,17
CARAPARI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,513,513
CARIPUYO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,614,614
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,25,25
CATACORA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,59,59
CHACARILLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,139,139
CHALLAPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1177,1177
CHAQUI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1108,1108
CHARAGUA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,697,697
CHARAÑA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,22,22
CHAYANTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1079,1079
CHIMORE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,427,427
CHIPAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,75,75
CHOQUE COTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,63,63
CHUA COCANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,52,52
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,138,138
CHUMA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,716,716
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,157,157
CKOCHAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1017,1017
CLIZA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,809,809
COBIJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,514,514
COCAPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,565,565
COCHABAMBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,6417,6417
COIPASA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,18,18
COLCAPIRHUA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,809,809
"COLCHA ""K""",micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,651,651
COLLANA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,169,169
COLOMI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,890,890
COLPA BELGICA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,139,139
COLQUECHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,690,690
COLQUENCHA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,313,313
COLQUIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,546,546
COMANCHE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,87,87
COMARAPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,329,329
COMBAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,215,215
COPACABANA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,344,344
CORIPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,201,201
CORO CORO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,502,502
COROICO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,207,207
CORQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,450,450
COTAGAITA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1293,1293
COTOCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,15,15
CRUZ DE MACHACAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,26,26
CUATRO CAÑADAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,119,119
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,102,102
CUEVO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,169,169
CULPINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,6,6
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,298,298
CURVA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,85,85
DESAGUADERO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,99,99
EL ALTO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,5650,5650
EL CHORO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,251,251
EL PUENTE(STC),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,332,332
EL PUENTE(TJA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,392,392
EL TORNO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,757,757
EL VILLAR,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,34,34
ENTRE RIOS TRJ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,220,220
ENTRE RIOS CBBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,305,305
ESCARA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,110,110
ESCOMA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,150,150
ESMERALDA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,66,66
EUCALIPTUS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,242,242
EXALTACION,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,4,4
FERNANDEZ ALONSO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,314,314
FILADELFIA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,131,131
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,234,234
GENERAL SAAVEDRA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,23,23
GIA-TIM,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,15,15
GUANAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,183,183
GUAQUI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,226,226
GUAYARAMERIN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,667,667
HUACARETA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,7,7
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,155,155
HUACHACALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,52,52
HUANUNI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,547,547
HUARINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,353,353
HUATAJATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,86,86
HUAYLLAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,309,309
HUMANATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,265,265
ICHOCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,419,419
ICLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,216,216
INCAHUASI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,300,300
INGAVI (HUMAITA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,4,4
INQUISIVI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,219,219
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,450,450
IXIAMAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,149,149
JESUS DE MACHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,532,532
LA GUARDIA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1408,1408
LA PAZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,7867,7867
LA RIVERA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,14,14
LAGUNILLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,100,100
LAJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,600,600
LAS CARRERAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,30,30
LICOMA PAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,114,114
LLALLAGUA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,719,719
LLICA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,144,144
LURIBAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,541,541
MACHACAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,200,200
MACHARETI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,279,279
MAIRANA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,323,323
MALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,158,158
MAPIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,310,310
MECAPACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,389,389
MINEROS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,259,259
MIZQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1350,1350
MOCOMOCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,907,907
MOJINETE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,45,45
MOJOCOYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,206,206
MONTEAGUDO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,357,357
MONTERO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1183,1183
MOROCHATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,506,506
NAZACARA DE PACAJES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,18,18
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,73,73
OCURI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,871,871
OKINAWA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,292,292
OMEREQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,289,289
ORURO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,2319,2319
PADILLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,70,70
PAILON,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,302,302
PALCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,354,354
PALOS BLANCOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,470,470
PAMPA AULLAGAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,99,99
PAMPA GRANDE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,20,20
PAPEL PAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,414,414
PASORAPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,352,352
PATACAMAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,594,594
PAZÑA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,163,163
PELECHUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,123,123
POCOATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1995,1995
POCONA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,848,848
POJO (CBBA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,290,290
POOPO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,168,168
PORCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,84,84
POROMA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,831,831
PORONGO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,411,411
PORTACHUELO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,64,64
PORVENIR,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,116,116
POTOSI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,2285,2285
PRESTO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,651,651
PUCARANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1279,1279
PUERTO ACOSTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,502,502
PUERTO CARABUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,748,748
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,243,243
PUERTO PEREZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,132,132
PUERTO QUIJARRO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,101,101
PUERTO SILES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,7,7
PUERTO VILLARROEL,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,5,5
PUNA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1777,1777
PUNATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,207,207
QUIABAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,92,92
QUILLACOLLO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,3642,3642
QUIME,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,134,134
QUIRUSILLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,76,76
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,324,324
RAVELO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,2076,2076
REYES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,39,39
RIBERALTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,244,244
ROBORE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,560,560
RURRENABAQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,365,365
SABAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,235,235
SACABA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,3955,3955
SACABAMBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,383,383
SACACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,1018,1018
SAIPINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,36,36
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,483,483
SAMAIPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,319,319
SAN AGUSTIN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,92,92
SAN ANDRES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,126,126
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,361,361
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,59,59
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,187,187
SAN BENITO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,730,730
SAN BORJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,338,338
SAN BUENA VENTURA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,36,36
SAN CARLOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,158,158
SAN IGNACIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,23,23
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,295,295
SAN JAVIER(STC),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,136,136
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,2,2
SAN JULIAN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,568,568
SAN LORENZO(PND),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,95,95
SAN LORENZO(TJA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-01-01,194,194
