municipality,group,variable,month,Mujeres embarazadas que reciben Alimento Complementario Nutri Mamá,TOTAL
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,2,2
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,11,11
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,7,7
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,6,6
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,10,10
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,4,4
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,29,29
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,3,3
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,5,5
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,4,4
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,36,36
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,4,4
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,31,31
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,1,1
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,10,10
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,5,5
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,25,25
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,7,7
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,65,65
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,9,9
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-01-01,88,88
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,9,9
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,1,1
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,12,12
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,3,3
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,17,17
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,1,1
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,2,2
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,28,28
CAJUATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,1,1
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,4,4
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,2,2
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,1,1
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,16,16
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,10,10
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,12,12
CUATRO CAÑADAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,57,57
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,3,3
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,257,257
FERNANDEZ ALONSO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,1,1
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,2,2
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,12,12
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,69,69
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,8,8
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,88,88
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,15,15
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,5,5
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,22,22
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,4,4
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,3,3
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,7,7
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,18,18
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,33,33
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,10,10
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,5,5
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,3,3
REYES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,2,2
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,5,5
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,16,16
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,21,21
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,28,28
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,3,3
SAN RAMON BENI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,77,77
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,426,426
SANTA ROSA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,15,15
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,4,4
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,5,5
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,7,7
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,4,4
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,21,21
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,9,9
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,16,16
TRINIDAD,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,51,51
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,23,23
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,11,11
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-02-01,103,103
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,5,5
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,17,17
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,8,8
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,22,22
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,26,26
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,7,7
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,12,12
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,5,5
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,5,5
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,7,7
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,23,23
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,14,14
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,15,15
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,19,19
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,33,33
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,4,4
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,370,370
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,29,29
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,4,4
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,26,26
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,81,81
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,5,5
LAS CARRERAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,9,9
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,66,66
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,8,8
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,6,6
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,15,15
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,78,78
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,6,6
PALOS BLANCOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,12,12
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,10,10
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,14,14
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,40,40
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,19,19
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,5,5
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,142,142
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,15,15
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,41,41
SAN JUAN DE YAPACANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,25,25
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,1,1
SANTA ROSA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,22,22
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,6,6
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,11,11
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,7,7
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,11,11
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,116,116
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,15,15
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,19,19
TRINIDAD,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,3,3
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,14,14
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,30,30
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,12,12
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-03-01,72,72
ACACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,8,8
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,21,21
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,23,23
BAURES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,27,27
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,5,5
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,36,36
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,8,8
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,8,8
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,3,3
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,27,27
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,32,32
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,8,8
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,23,23
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,53,53
CUATRO CAÑADAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,118,118
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,9,9
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,572,572
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,51,51
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
HUACHACALLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,12,12
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,11,11
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,101,101
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,5,5
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,22,22
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,6,6
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,38,38
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,14,14
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,29,29
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,60,60
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,3,3
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,6,6
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,2,2
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,13,13
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,14,14
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,20,20
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,20,20
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,94,94
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,10,10
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,9,9
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,13,13
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,12,12
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-04-01,4,4
