municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
PADCAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
PADILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,9,9
PAILON,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,31,31
PALCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,73,73
PALOS BLANCOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,48,48
PAMPA AULLAGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
PAPEL PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
PASORAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
PATACAMAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,45,45
PAZÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,10,10
PELECHUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,11,11
POCOATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,19,19
POCONA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,27,27
POJO (CBBA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,22,22
POOPO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
PORCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,35,35
POROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,18,18
PORONGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,20,20
