municipality,group,variable,month,Mujeres en periodo de lactancia que reciben Alimento Complementario Nutri Mamá,TOTAL
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,42,42
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,43,43
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,125,125
BOLIVAR,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,6,6
CABEZAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,1,1
CAJUATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,42,42
CAMIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,74,74
CARACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,30,30
CARIPUYO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,6,6
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,3,3
CHARAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,13,13
COCHABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,14,14
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,18,18
COTOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,1,1
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,1,1
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,198,198
GIA-TIM,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,1,1
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,30,30
LA PAZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,14,14
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,9,9
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,5,5
MACHARETI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,8,8
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,3,3
ORURO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,5,5
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,42,42
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,3,3
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,59,59
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,126,126
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,7,7
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,22,22
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,22,22
SAN BUENA VENTURA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,12,12
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,191,191
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,99,99
SICAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,44,44
TARIJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,4,4
TINGUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,55,55
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,80,80
TOLATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,22,22
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,180,180
VIACHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,19,19
VINTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-02-01,966,966
ACACIO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,19,19
ANTEQUERA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,2,2
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,44,44
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,145,145
BOLIVAR,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,15,15
CABEZAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,11,11
CAJUATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,41,41
CAMIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,5,5
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,7,7
CARIPUYO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,3,3
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
CHARAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,32,32
CHAYANTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,1,1
CHUMA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,1,1
COCHABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,10,10
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,34,34
COTOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,61,61
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,5,5
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,125,125
EL TORNO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,10,10
EUCALIPTUS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,19,19
GUTIERREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,13,13
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,31,31
LA PAZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,49,49
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,14,14
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,3,3
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,27,27
MACHACAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
MIZQUE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,37,37
MOJINETE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,1,1
MONTEAGUDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,5,5
MONTERO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,260,260
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,1,1
PALOS BLANCOS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,40,40
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,6,6
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,100,100
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,202,202
PORCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,76,76
PORONGO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,12,12
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,2,2
RAVELO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,10,10
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,8,8
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,20,20
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,11,11
SAN IGNACIO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,2,2
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,340,340
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,105,105
SICAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,69,69
TINGUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,40,40
TIQUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,28,28
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,90,90
TOCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,4,4
TOLATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,26,26
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,176,176
TRINIDAD,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,5,5
VILLA SERRANO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,36,36
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,12,12
VINTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,774,774
YAMPARAEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,74,74
YOCALLA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-03-01,94,94
ACACIO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,10,10
AIQUILE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,48,48
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,23,23
ANTEQUERA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,4,4
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,39,39
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,182,182
BAURES,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,1,1
BOLIVAR,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,33,33
CABEZAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,2,2
CAMIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,40,40
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,100,100
CARACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,31,31
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,10,10
CHARAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,19,19
CHAYANTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,84,84
CHUMA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,3,3
COCHABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,205,205
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,18,18
COTOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,94,94
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,12,12
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,38,38
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,222,222
EL CHORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,8,8
EL TORNO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,7,7
EUCALIPTUS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,10,10
FERNANDEZ ALONSO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,25,25
GUTIERREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,6,6
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,50,50
LA GUARDIA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,10,10
LA PAZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,154,154
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,2,2
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,5,5
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,20,20
MACHACAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,21,21
MACHARETI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,2,2
MIZQUE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,59,59
MONTEAGUDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,1,1
MONTERO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,197,197
MOROCHATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,51,51
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,40,40
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,19,19
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,21,21
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,27,27
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,154,154
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,222,222
PORCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,22,22
PORONGO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,32,32
POTOSI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,64,64
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,1,1
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,4,4
QUILLACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,128,128
RAVELO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,17,17
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,7,7
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,31,31
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,30,30
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,10,10
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,120,120
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,77,77
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,15,15
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-04-01,209,209
