municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
AZURDUY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
BATALLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,26,26
BAURES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
BELLA FLOR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
BERMEJO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,44,44
BETANZOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,36,36
BOLIVAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
BOLPEBRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
BOYUIBE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,21,21
CABEZAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,33,33
CAIROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
"CAIZA ""D""",micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
CAJUATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
CALACOTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
CALAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,25,25
CAMARGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
CAMIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,36,36
CAPINOTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,28,28
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
CARACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,26,26
CARANAVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,56,56
CARAPARI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,16,16
CARIPUYO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
CATACORA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
CHACARILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,48,48
CHAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,8,8
CHARAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,60,60
CHARAÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
CHAYANTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,35,35
CHIPAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
CHUA COCANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,22,22
CHUMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
CLIZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,24,24
COBIJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,64,64
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,17,17
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,593,593
COIPASA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,56,56
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,16,16
COLLANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
COLOMI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,34,34
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,39,39
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
COLQUIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,17,17
COMANCHE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
COMARAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,23,23
CONCEPCION,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,50,50
COPACABANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
CORIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,22,22
CORO CORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
COROICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,18,18
CORQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
COTAGAITA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,27,27
COTOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,99,99
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,36,36
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
CUEVO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
CULPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,20,20
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
CURVA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
DESAGUADERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
EL ALTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1004,1004
EL CHORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
EL PUENTE(STC),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
EL TORNO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,79,79
EL VILLAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,26,26
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,65,65
ESCARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
ESCOMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
EUCALIPTUS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
EUREKA (SANTOS MERCADO),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
EXALTACION,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,21,21
FILADELFIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,21,21
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,27,27
GIA-TIM,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,16,16
GUANAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,23,23
GUAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,75,75
GUTIERREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,16,16
HUACARAJE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
HUACARETA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
HUANUNI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,25,25
HUARINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
HUATAJATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
HUMANATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
ICHOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
ICLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
INCAHUASI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,17,17
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
INQUISIVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,27,27
IXIAMAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,12,12
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,18,18
LA ASUNTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,83,83
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,36,36
LA PAZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,675,675
LAGUNILLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
LAJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,30,30
LAS CARRERAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
LICOMA PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
LLALLAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,78,78
LLICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
LORETO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
LURIBAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
MACHARETI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,8,8
MAGDALENA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
MAIRANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,21,21
MALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
MAPIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,36,36
MECAPACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,19,19
MINEROS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,54,54
MIZQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,49,49
MOCOMOCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,18,18
MOJOCOYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
MONTEAGUDO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,32,32
MONTERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,217,217
MORO MORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
MOROCHATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
NAZACARA DE PACAJES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
OCURI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
OKINAWA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
OMEREQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
ORURO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,408,408
PADCAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,15,15
PADILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
PAILON,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,38,38
PALCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,47,47
PALOS BLANCOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,42,42
PAMPA AULLAGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,14,14
PAPEL PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
PASORAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
PATACAMAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,43,43
PAZÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,10,10
PELECHUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
POCOATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,19,19
POCONA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,27,27
POJO (CBBA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,21,21
POOPO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
PORCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,35,35
POROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,18,18
PORONGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,17,17
PORTACHUELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,27,27
PORVENIR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,6,6
POTOSI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,321,321
PRESTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
PUCARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
PUCARANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,44,44
PUERTO ACOSTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,20,20
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,8,8
PUERTO PEREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,7,7
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,19,19
PUERTO RICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
PUERTO SILES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,2,2
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,20,20
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,85,85
PUNA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,13,13
PUNATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,44,44
QUIABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,203,203
QUIME,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,11,11
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,8,8
RAVELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,8,8
REYES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,17,17
RIBERALTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,179,179
ROBORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,34,34
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,43,43
SABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
SACABA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,223,223
SACABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
SACACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,26,26
SAIPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,9,9
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,10,10
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,14,14
SAN AGUSTIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,1,1
SAN ANDRES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,23,23
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,5,5
SAN BENITO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,14,14
SAN BORJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2024-01-01,117,117
