municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
LURIBAY,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
MACHARETI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
MAGDALENA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,7,7
MAIRANA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
MAPIRI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,13,13
MINEROS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,17,17
MIZQUE,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,17,17
MOCOMOCO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,14,14
MOJOCOYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
MONTEAGUDO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,6,6
MONTERO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,85,85
MORO MORO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
OCURI,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,10,10
OKINAWA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,2,2
ORURO,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,301,301
PADCAYA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,12,12
PADILLA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,9,9
PAILON,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,15,15
PALCA,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,5,5
PALOS BLANCOS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,11,11
PAMPA AULLAGAS,micronutrientes y lactancia materna,ninas(os) de 6 meses con lactancia materna exclusiva,2024-01-01,3,3
