municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
CALACOTO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
CALAMARCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
CAMARGO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,31,31
CAPINOTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,28,28
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,67,67
CARAPARI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,19,19
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
CATACORA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
CHACARILLA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,43,43
CHAQUI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,16,16
CHARAGUA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,65,65
CHARAÑA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
CHIMORE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,35,35
CHIPAYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
CHUA COCANI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,23,23
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
CKOCHAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,32,32
COBIJA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,114,114
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,26,26
COCHABAMBA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1044,1044
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,65,65
"COLCHA ""K""",micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
COLOMI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,38,38
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,23,23
COLQUENCHA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,16,16
COMANCHE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
COMARAPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
CONCEPCION,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,37,37
COPACABANA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,15,15
CORIPATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,25,25
CORO CORO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
COROICO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
COTAGAITA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,124,124
CUATRO CAÑADAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,27,27
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,11,11
CULPINA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
CURVA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
DESAGUADERO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1458,1458
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
EL PUENTE(STC),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
EL PUENTE(TJA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,125,125
EL VILLAR,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
ENTRE RIOS TRJ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,23,23
ENTRE RIOS CBBA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,70,70
ESCOMA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
EUREKA (SANTOS MERCADO),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
EXALTACION,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
FERNANDEZ ALONSO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
FILADELFIA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
GENERAL SAAVEDRA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
GIA-TIM,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
GUANAY,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,20,20
GUAQUI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
GUAYARAMERIN,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,91,91
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,11,11
HUACARAJE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
HUACARETA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,23,23
HUARINA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
HUATAJATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
HUAYLLAMARCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
HUMANATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
ICLA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
INCAHUASI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
INQUISIVI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,19,19
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
LA ASUNTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,78,78
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,101,101
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,874,874
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
LAJA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,25,25
LAS CARRERAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,56,56
LLICA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
LURIBAY,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
MAGDALENA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
MALLA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
MAPIRI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,41,41
MECAPACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,26,26
MINEROS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,21,21
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,26,26
MOCOMOCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
MOJOCOYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,27,27
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1574,1574
MORO MORO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
NAZACARA DE PACAJES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
OCURI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,15,15
OKINAWA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
OMEREQUE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
ORURO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,640,640
PADCAYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,19,19
PADILLA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
PAILON,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,38,38
PALCA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,33,33
PALOS BLANCOS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,34,34
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
PAMPA GRANDE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
PAPEL PAMPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
PATACAMAYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,34,34
PAZÑA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
PELECHUCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,37,37
POCONA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,23,23
POOPO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
PORCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,35,35
POROMA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,18,18
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
PORTACHUELO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
PORVENIR,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,514,514
PRESTO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
PUCARANI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,48,48
PUERTO ACOSTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
PUERTO CARABUCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
PUERTO PEREZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
PUERTO RICO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,11,11
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,98,98
PUNA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
PUNATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,56,56
QUIABAYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,258,258
QUIME,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,11,11
REYES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,15,15
RIBERALTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,203,203
ROBORE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
RURRENABAQUE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,43,43
SACABA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,276,276
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
SACACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,22,22
SAIPINA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
SAMAIPATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,19,19
SAN ANDRES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,20,20
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
SAN BENITO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,12,12
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,90,90
SAN BUENA VENTURA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,16,16
SAN CARLOS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
SAN IGNACIO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,32,32
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,129,129
SAN JAVIER(BNI),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
SAN JAVIER(STC),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,28,28
SAN JOAQUIN,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,60,60
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,20,20
SAN JUAN DE YAPACANI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
SAN JULIAN,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,73,73
SAN LORENZO(PND),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,8,8
SAN LORENZO(TJA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,29,29
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,49,49
SAN MATIAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,32,32
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,14,14
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
SAN PEDRO,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,26,26
SAN PEDRO DE CURAHUARA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,4,4
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,24,24
SAN PEDRO DE QUEMES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
SAN PEDRO(PND),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3,3
SAN RAFAEL,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,11,11
SAN RAMON BENI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
SAN RAMON SCZ,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,10,10
SANTA ANA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,17,17
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,3039,3039
SANTA ROSA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,15,15
SANTA ROSA DEL SARA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,13,13
SANTIAGO DE CALLAPA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,9,9
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
SANTIAGO DE HUATA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,7,7
SANTIVAÑES,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,5,5
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
SAPAHAQUI,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,6,6
SENA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,21,21
SHINAOTA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,64,64
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,27,27
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,2,2
SIPE SIPE,micronutrientes y lactancia materna,mujeres embarazadas con dosis completa de hierro,2024-01-01,94,94
