municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
LLALLAGUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,69,69
LORETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
LURIBAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
MACHACAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
MACHARETI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
MAGDALENA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
MAIRANA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
MALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
MAPIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
MECAPACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
MINEROS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
MIZQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,25,25
MOCOMOCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
MOJOCOYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
MONTEAGUDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,15,15
MONTERO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,69,69
MORO MORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
MOROCHATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
NAZACARA DE PACAJES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
OCURI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
OMEREQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
ORURO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,359,359
PADCAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
PADILLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
PAILON,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,23,23
PALCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
PALOS BLANCOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
PAMPA AULLAGAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
PAMPA GRANDE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
PAPEL PAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
PATACAMAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
PAZÑA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
PELECHUCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
POCOATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,17,17
POCONA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
POJO (CBBA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
POOPO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
PORCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
POROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
PORONGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
PORTACHUELO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
PORVENIR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
POTOSI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,244,244
PRESTO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
PUCARA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
PUCARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,21,21
PUERTO ACOSTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
PUERTO CARABUCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
PUERTO GONZALO MORENO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
PUERTO PEREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
PUERTO QUIJARRO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
PUERTO RICO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
PUERTO SUAREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
PUERTO VILLARROEL,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,24,24
PUNA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,15,15
PUNATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
QUILLACOLLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,109,109
QUIME,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
RAQAYPAMPA(ETA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
RAVELO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,15,15
REYES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
RIBERALTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,111,111
ROBORE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,23,23
RURRENABAQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
SABAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SACABA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,126,126
SACABAMBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
SACACA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,28,28
SAIPINA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
SALINAS DE GARCI MENDOZA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
SAMAIPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
SAN AGUSTIN,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SAN ANDRES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
SAN BENITO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SAN BORJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,59,59
SAN BUENA VENTURA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SAN CARLOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,23,23
SAN IGNACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,15,15
SAN IGNACIO DE VELASCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,83,83
SAN JAVIER(BNI),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
SAN JAVIER(STC),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,21,21
SAN JOAQUIN,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
SAN JOSE DE CHIQUITOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
SAN JUAN DE YAPACANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
SAN JULIAN,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,27,27
SAN LORENZO(PND),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
SAN LORENZO(TJA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
SAN LUCAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,26,26
SAN MATIAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
SAN MIGUEL DE VELASCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,14,14
SAN PABLO DE LIPEZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SAN PEDRO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,16,16
SAN PEDRO DE BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,30,30
SAN PEDRO DE CURAHUARA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
SAN PEDRO DE TIQUINA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SAN PEDRO(PND),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
SAN RAMON BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
SAN RAMON SCZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SANTA ANA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
SANTA CRUZ DE LA SIERRA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1453,1453
SANTA ROSA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,17,17
SANTA ROSA DEL SARA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
SANTIAGO DE CALLAPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SANTIAGO DE HUARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SANTIAGO DE HUATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,1,1
SANTIVAÑES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SAPAHAQUI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
SENA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
SHINAOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SICA SICA (VILLA AROMA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
SICAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
SIPE SIPE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,29,29
SOPACHUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
SORACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
SORATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
SUCRE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,242,242
TACACOMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
TACOBAMBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,12,12
TACOPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
TAPACARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,11,11
TARABUCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,21,21
TARATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
TARIJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,116,116
TARVITA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,8,8
TEOPONTE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
TIAHUANACU,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,10,10
TINGUIPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,9,9
TIPUANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
TIQUIPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,46,46
TIRAQUE (CBBA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,7,7
TOCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
TOLEDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
TOMAVE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
TOMINA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,5,5
TORO TORO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,6,6
TOTORA(CBBA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,13,13
TOTORA(ORR),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,3,3
TRINIDAD,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,142,142
TUPIZA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,36,36
TURCO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,2,2
UMALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,4,4
UNCIA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2020-01-01,29,29
