municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
CATACORA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
CHALLAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,45,45
CHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
CHARAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,46,46
CHARAÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
CHAYANTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
CHIMORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,35,35
CHIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
CHUA COCANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,18,18
CHUMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
CKOCHAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
CLIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,35,35
COBIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,113,113
COCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,21,21
COCHABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,542,542
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,59,59
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
COLLANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
COLOMI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
COLQUECHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,48,48
COLQUENCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,19,19
COLQUIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
COMANCHE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
COMARAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,27,27
COMBAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
CONCEPCION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,31,31
COPACABANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
CORIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
CORO CORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
COROICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,32,32
CORQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
COTAGAITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,20,20
COTOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,81,81
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,22,22
CUEVO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
CULPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,23,23
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
CURVA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
DESAGUADERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
EL ALTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1390,1390
EL CHORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
EL TORNO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,91,91
EL VILLAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,19,19
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,47,47
ESCOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
GUANAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
GUAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,140,140
GUTIERREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
HUACARETA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
HUACHACALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
HUANUNI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,26,26
HUARACAJE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
HUARINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
HUATAJATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
HUMANATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
ICHOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
ICLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
INCAHUASI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
INGAVI (HUMAITA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
INQUISIVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
IXIAMAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
LA ASUNTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,57,57
LA GUARDIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,37,37
LA PAZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,701,701
LAGUNILLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
LAJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
LAS CARRERAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
LICOMA PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
LLALLAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,73,73
LLICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
LORETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
LURIBAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
MACHACAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
MACHARETI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
MAGDALENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
MAIRANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,23,23
MALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
MAPIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
MECAPACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
MINEROS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
MIZQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,25,25
MOCOMOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
MOJINETE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
MOJOCOYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
MONTEAGUDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,31,31
MONTERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,88,88
MORO MORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
MOROCHATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
NAZACARA DE PACAJES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
OCURI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,10,10
OKINAWA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
OMEREQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
ORURO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,508,508
PADCAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
PADILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
PAILON,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,27,27
PALCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
PALOS BLANCOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,50,50
PAMPA AULLAGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
PAMPA GRANDE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
PAPEL PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
PASORAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
PATACAMAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,33,33
PAZÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
PELECHUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
POCOATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,40,40
POCONA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
POJO (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
POOPO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
PORCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
POROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
PORONGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
PORTACHUELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,20,20
PORVENIR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
POSTRER VALLE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
POTOSI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,402,402
PRESTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
PUCARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
PUCARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,35,35
PUERTO ACOSTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
PUERTO CARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
PUERTO PEREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
PUERTO QUIJARRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,16,16
PUERTO RICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
PUERTO SUAREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
PUERTO VILLARROEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,153,153
PUNA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
PUNATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,71,71
QUIABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
QUILLACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,195,195
QUIME,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
RAQAYPAMPA(ETA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
RAVELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
REYES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,18,18
RIBERALTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,183,183
ROBORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,23,23
RURRENABAQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,36,36
SABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
SACABA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,238,238
SACABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
SACACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,31,31
SAIPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,12,12
SAMAIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
SAN AGUSTIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SAN ANDRES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
SAN BENITO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SAN BORJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,69,69
SAN BUENA VENTURA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,21,21
SAN CARLOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,30,30
SAN IGNACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,29,29
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,134,134
SAN JAVIER(BNI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
SAN JAVIER(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,28,28
SAN JOAQUIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,25,25
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SAN JULIAN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,49,49
SAN LORENZO(PND),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
SAN LORENZO(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
SAN LUCAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,42,42
SAN MATIAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,15,15
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SAN PEDRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,34,34
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
SAN PEDRO(PND),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
SAN RAFAEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
SAN RAMON BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
SAN RAMON SCZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
SANTA ANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,32,32
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1172,1172
SANTA ROSA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
SANTIAGO DE HUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SANTIVAÑES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
SAPAHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,8,8
SENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
SHINAOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,36,36
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,19,19
SICAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
SIPE SIPE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,48,48
SOPACHUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
SORACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
SORATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
SUCRE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,527,527
TACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
TACACOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,7,7
TACOBAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,10,10
TACOPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,10,10
TAPACARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,23,23
TARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
TARACO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
TARATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,4,4
TARIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,37,37
TARVITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,17,17
TEOPONTE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
TIAHUANACU,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,13,13
TINGUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,14,14
TIPUANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,3,3
TIQUIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,95,95
TIRAQUE (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,25,25
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
TOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,6,6
TOLATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,1,1
TOLEDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
TOMAVE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,5,5
TOMINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,9,9
TORO TORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,11,11
TOTORA(CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,24,24
TOTORA(ORR),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,2,2
TRINIDAD,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,260,260
TUPIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2020-01-01,64,64
