,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
URUBICHA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,100.0,0,100.0,100.0
UYUNI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,5,0.0,5,0.0,5.0
VALLEGRANDE,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,918.0,0,918.0,918.0
VIACHA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,31,165.0,31,165.0,196.0
VILLA MONTES,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,192.0,0,192.0,192.0
VILLA TUNARI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,34,37.0,34,37.0,71.0
VILLAZON,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,6,479.0,6,479.0,485.0
VINTO,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,54,256.0,54,256.0,310.0
WALDO BALLIVIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,10.0,0,10.0,10.0
WARNES,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,105,440.0,105,440.0,545.0
YACUIBA,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,0,26.0,0,26.0,26.0
YAPACANI,otras vacunaciones,      antirrabica en perros y gatos,2014-01-01,60,4191.0,60,4191.0,4251.0
ACACIO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,60.0,0,60.0,60.0
ANDAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,1,19.0,1,19.0,20.0
ANTEQUERA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,4.0,0,4.0,4.0
ANZALDO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,90.0,0,90.0,90.0
ARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,4,0.0,4,0.0,4.0
ARBIETO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,116,657.0,116,657.0,773.0
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,26.0,0,26.0,26.0
BERMEJO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,40,395.0,40,395.0,435.0
BETANZOS,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,93.0,0,93.0,93.0
BUENA VISTA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,276,0.0,276,0.0,276.0
CABEZAS,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,429.0,0,429.0,429.0
CATACORA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,57.0,0,57.0,57.0
CHALLAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,5,15.0,5,15.0,20.0
CHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,102.0,0,102.0,102.0
CLIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,45,269.0,45,269.0,314.0
COCHABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,931,6329.0,931,6329.0,7260.0
