,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
SACABA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,3,10.0,3,10.0,13.0
SAN CARLOS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,46.0,0,46.0,46.0
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,904,334.0,904,334.0,1238.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,308.0,0,308.0,308.0
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,13.0,0,13.0,13.0
SAN JULIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,34,580.0,34,580.0,614.0
SAN LORENZO(PND),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,325.0,0,325.0,325.0
SAN LORENZO(TJA),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,174.0,0,174.0,174.0
SAN MATIAS,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,30,1404.0,30,1404.0,1434.0
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,440.0,0,440.0,440.0
SAN PEDRO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,116.0,0,116.0,116.0
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,17.0,0,17.0,17.0
SAN PEDRO(PND),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,32.0,0,32.0,32.0
SAN RAFAEL,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,136,284.0,136,284.0,420.0
SAN RAMON SCZ,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,208.0,0,208.0,208.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,543,9385.0,543,9385.0,9928.0
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,20,256.0,20,256.0,276.0
SANTIAGO DE CALLAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,23,472.0,23,472.0,495.0
SANTIAGO DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,25.0,0,25.0,25.0
SHINAOTA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,359.0,0,359.0,359.0
SIPE SIPE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,41,228.0,41,228.0,269.0
SORACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,12,201.0,12,201.0,213.0
TACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,221.0,0,221.0,221.0
TACOBAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,10.0,0,10.0,10.0
TAPACARI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,18.0,0,18.0,18.0
TIRAQUE (CBBA),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,10,0.0,10,0.0,10.0
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,9.0,0,9.0,9.0
TOLATA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,5,0.0,5,0.0,5.0
TOTORA(CBBA),otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,67,1682.0,67,1682.0,1749.0
UNCIA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,135.0,0,135.0,135.0
VALLEGRANDE,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,6.0,0,6.0,6.0
VILA VILA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,10,343.0,10,343.0,353.0
VILLA MONTES,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,1,567.0,1,567.0,568.0
VILLA TUNARI,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,50,33.0,50,33.0,83.0
VILLAZON,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,8137.0,0,8137.0,8137.0
VINTO,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,246,2222.0,246,2222.0,2468.0
WARNES,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,84,1833.0,84,1833.0,1917.0
YACUIBA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,108.0,0,108.0,108.0
YOCALLA,otras vacunaciones,      antirrabica en perros y gatos,2014-05-01,0,16.0,0,16.0,16.0
ACHACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,85,8425.0,85,8425.0,8510.0
ACHOCALLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,3980.0,10,3980.0,3990.0
AIQUILE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,3034.0,0,3034.0,3034.0
ALALAY,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,127.0,0,127.0,127.0
ALCALA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1519.0,0,1519.0,1519.0
ALTO BENI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,34,1512.0,34,1512.0,1546.0
ANCORAIMES,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,950,2000.0,950,2000.0,2950.0
ANDAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,22,312.0,22,312.0,334.0
ANTEQUERA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,120,375.0,120,375.0,495.0
ANZALDO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,151,1627.0,151,1627.0,1778.0
APOLO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1655.0,0,1655.0,1655.0
ARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,4020.0,0,4020.0,4020.0
ARBIETO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1183.0,0,1183.0,1183.0
ARQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,24,710.0,24,710.0,734.0
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,387,576.0,387,576.0,963.0
AUCAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,888.0,0,888.0,888.0
AYATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1018.0,0,1018.0,1018.0
AYO AYO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1773.0,0,1773.0,1773.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,30,1950.0,30,1950.0,1980.0
AZURDUY,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,449,2026.0,449,2026.0,2475.0
BATALLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,3497.0,0,3497.0,3497.0
BELEN DE ANDAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,40,20.0,40,20.0,60.0
BELEN DE URMIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,30.0,0,30.0,30.0
BELLA FLOR,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,581.0,0,581.0,581.0
BERMEJO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,432.0,0,432.0,432.0
BOLIVAR,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1050.0,0,1050.0,1050.0
BOLPEBRA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,438.0,0,438.0,438.0
BOYUIBE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,284.0,0,284.0,284.0
CABEZAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,257,532.0,257,532.0,789.0
CAIROMA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1489.0,0,1489.0,1489.0
CAJUATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1187.0,0,1187.0,1187.0
CALACOTO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1649.0,0,1649.0,1649.0
CALAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,35,2379.0,35,2379.0,2414.0
CAMARGO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,1,1363.0,1,1363.0,1364.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,492.0,0,492.0,492.0
CAMIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,11861.0,0,11861.0,11861.0
CAPINOTA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,279,3336.0,279,3336.0,3615.0
CAQUIAVIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,35,2236.0,35,2236.0,2271.0
CARACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,4,2762.0,4,2762.0,2766.0
CARANAVI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,6989.0,0,6989.0,6989.0
CARANGAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,1,29.0,1,29.0,30.0
CARAPARI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,454.0,0,454.0,454.0
CATACORA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,338.0,0,338.0,338.0
CHACARILLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,15,425.0,15,425.0,440.0
CHALLAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,4677.0,0,4677.0,4677.0
CHARAGUA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,448.0,0,448.0,448.0
CHARAÑA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,483.0,0,483.0,483.0
CHIMORE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,20,2978.0,20,2978.0,2998.0
CHIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,30.0,0,30.0,30.0
CHOQUE COTA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,92.0,10,92.0,102.0
CHUA COCANI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1578.0,0,1578.0,1578.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2497.0,0,2497.0,2497.0
CHUMA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1088.0,0,1088.0,1088.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,2,480.0,2,480.0,482.0
CLIZA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,31,4870.0,31,4870.0,4901.0
COBIJA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,100,8941.0,100,8941.0,9041.0
COCAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,317,3975.0,317,3975.0,4292.0
COCHABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,552,217623.0,552,217623.0,218175.0
COIPASA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,55,15.0,55,15.0,70.0
COLCAPIRHUA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,15895.0,0,15895.0,15895.0
COLLANA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,531.0,0,531.0,531.0
COLOMI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,88,4574.0,88,4574.0,4662.0
COLQUENCHA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1657.0,0,1657.0,1657.0
COLQUIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,3160.0,0,3160.0,3160.0
COMANCHE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,20,730.0,20,730.0,750.0
COMARAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,20.0,0,20.0,20.0
COMBAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,539.0,0,539.0,539.0
COPACABANA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2590.0,0,2590.0,2590.0
CORIPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2062.0,0,2062.0,2062.0
CORO CORO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2929.0,0,2929.0,2929.0
COROICO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1184.0,0,1184.0,1184.0
CORQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,103,869.0,103,869.0,972.0
CRUZ DE MACHACAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,17,13.0,17,13.0,30.0
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,20,0.0,20,0.0,20.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,350.0,0,350.0,350.0
CUEVO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,143.0,0,143.0,143.0
CULPINA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,3414.0,0,3414.0,3414.0
CURAHUARA DE CARANGAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,124.0,0,124.0,124.0
CURVA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,446.0,0,446.0,446.0
DESAGUADERO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,13,1029.0,13,1029.0,1042.0
EL ALTO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,5429,248483.0,5429,248483.0,253912.0
EL CHORO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,230,1644.0,230,1644.0,1874.0
EL PUENTE(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,3,2.0,3,2.0,5.0
EL TORNO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,5,129.0,5,129.0,134.0
EL VILLAR,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,713,528.0,713,528.0,1241.0
ENTRE RIOS CBBA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,366,3214.0,366,3214.0,3580.0
ESCOMA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,18,1088.0,18,1088.0,1106.0
ESMERALDA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,50.0,0,50.0,50.0
EUCALIPTUS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,779.0,0,779.0,779.0
FILADELFIA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,871.0,0,871.0,871.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,35,772.0,35,772.0,807.0
GUANAY,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2383.0,0,2383.0,2383.0
GUAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1742.0,0,1742.0,1742.0
GUTIERREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,31.0,0,31.0,31.0
HUACARETA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,601,829.0,601,829.0,1430.0
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,50,879.0,50,879.0,929.0
HUACHACALLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,103.0,0,103.0,103.0
HUANUNI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,100,6355.0,100,6355.0,6455.0
HUARINA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1430.0,0,1430.0,1430.0
HUATAJATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,15,746.0,15,746.0,761.0
HUAYLLAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,13,842.0,13,842.0,855.0
HUMANATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1118.0,0,1118.0,1118.0
ICHOCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1288.0,0,1288.0,1288.0
ICLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2816.0,0,2816.0,2816.0
INCAHUASI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,102,1270.0,102,1270.0,1372.0
INGAVI (HUMAITA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,200.0,0,200.0,200.0
INQUISIVI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1920.0,0,1920.0,1920.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1846.0,0,1846.0,1846.0
IXIAMAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1179.0,0,1179.0,1179.0
JESUS DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,83,3048.0,83,3048.0,3131.0
LA ASUNTA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,4240.0,0,4240.0,4240.0
LA GUARDIA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2491.0,0,2491.0,2491.0
LA PAZ,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,1951,172465.0,1951,172465.0,174416.0
LA RIVERA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,30.0,0,30.0,30.0
LAGUNILLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,30,182.0,30,182.0,212.0
LAJA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,912,3601.0,912,3601.0,4513.0
LAS CARRERAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,919.0,0,919.0,919.0
LICOMA PAMPA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,390.0,0,390.0,390.0
LURIBAY,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,83,1361.0,83,1361.0,1444.0
MACHACAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1310.0,0,1310.0,1310.0
MACHARETI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,847.0,0,847.0,847.0
MAIRANA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,1804,351.0,1804,351.0,2155.0
MALLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,891.0,0,891.0,891.0
MAPIRI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,1283,266.0,1283,266.0,1549.0
MECAPACA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,3069.0,0,3069.0,3069.0
MIZQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,69,457.0,69,457.0,526.0
MOCOMOCO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2327.0,0,2327.0,2327.0
MOJOCOYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,589,847.0,589,847.0,1436.0
MONTEAGUDO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,3190,3807.0,3190,3807.0,6997.0
MONTERO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,50,10.0,50,10.0,60.0
MORO MORO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,15,0.0,15,0.0,15.0
MOROCHATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,90,1670.0,90,1670.0,1760.0
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,304.0,0,304.0,304.0
NAZACARA DE PACAJES,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,125.0,0,125.0,125.0
OKINAWA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,143.0,0,143.0,143.0
OMEREQUE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,1245.0,10,1245.0,1255.0
ORURO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,7493,66586.0,7493,66586.0,74079.0
PADILLA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,2621,2668.0,2621,2668.0,5289.0
PAILON,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,4,165.0,4,165.0,169.0
PALCA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,30,3805.0,30,3805.0,3835.0
PALOS BLANCOS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,415,2304.0,415,2304.0,2719.0
PAMPA AULLAGAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,53,390.0,53,390.0,443.0
PAMPA GRANDE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,782,165.0,782,165.0,947.0
PAPEL PAMPA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,7,1593.0,7,1593.0,1600.0
PASORAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,590,531.0,590,531.0,1121.0
PATACAMAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,292,4308.0,292,4308.0,4600.0
PAZÑA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,566.0,0,566.0,566.0
PELECHUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,1027.0,10,1027.0,1037.0
POCONA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1048.0,0,1048.0,1048.0
POJO (CBBA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,368,827.0,368,827.0,1195.0
POOPO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,70,1001.0,70,1001.0,1071.0
POROMA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,90,1112.0,90,1112.0,1202.0
PORVENIR,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,770.0,0,770.0,770.0
PRESTO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,686,1804.0,686,1804.0,2490.0
PUCARANI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,5313.0,0,5313.0,5313.0
PUERTO ACOSTA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1940.0,0,1940.0,1940.0
PUERTO CARABUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2457.0,0,2457.0,2457.0
PUERTO GONZALO MORENO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,638.0,0,638.0,638.0
PUERTO PEREZ,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1342.0,0,1342.0,1342.0
PUERTO RICO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,698.0,0,698.0,698.0
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,828,8544.0,828,8544.0,9372.0
PUNATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,95,12965.0,95,12965.0,13060.0
QUIABAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,510.0,0,510.0,510.0
QUILLACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,263,13574.0,263,13574.0,13837.0
QUIME,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1398.0,0,1398.0,1398.0
QUIRUSILLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,41,6.0,41,6.0,47.0
ROBORE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,166.0,0,166.0,166.0
SABAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,109.0,0,109.0,109.0
SACABA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,2050,44630.0,2050,44630.0,46680.0
SACABAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,954.0,10,954.0,964.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,189,665.0,189,665.0,854.0
SAMAIPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,179,3.0,179,3.0,182.0
SAN ANDRES DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,42,1414.0,42,1414.0,1456.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,539,531.0,539,531.0,1070.0
SAN BENITO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,271,6122.0,271,6122.0,6393.0
SAN BUENA VENTURA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1462.0,0,1462.0,1462.0
SAN CARLOS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,547.0,10,547.0,557.0
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,155,40.0,155,40.0,195.0
SAN JAVIER(STC),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,33,0.0,33,0.0,33.0
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,8.0,0,8.0,8.0
SAN JULIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,27,221.0,27,221.0,248.0
SAN LORENZO(PND),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,856.0,0,856.0,856.0
SAN LORENZO(TJA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,50.0,0,50.0,50.0
SAN LUCAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,394,3196.0,394,3196.0,3590.0
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,72.0,0,72.0,72.0
SAN PEDRO,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,61.0,0,61.0,61.0
SAN PEDRO DE CURAHUARA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,2100.0,0,2100.0,2100.0
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1131.0,0,1131.0,1131.0
SAN RAFAEL,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,85.0,0,85.0,85.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,454,1368.0,454,1368.0,1822.0
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,10,52.0,10,52.0,62.0
SANTIAGO DE CALLAPA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1800.0,0,1800.0,1800.0
SANTIAGO DE HUARI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,20,901.0,20,901.0,921.0
SANTIAGO DE HUATA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1582.0,0,1582.0,1582.0
SANTIAGO DE MACHACA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,910.0,0,910.0,910.0
SANTIVAÑES,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1602.0,0,1602.0,1602.0
SANTUARIO DE QUILLACAS,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,9,148.0,9,148.0,157.0
SAPAHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,1001.0,0,1001.0,1001.0
SENA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,0,541.0,0,541.0,541.0
SHINAOTA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,40,1641.0,40,1641.0,1681.0
SICA SICA (VILLA AROMA),otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,50,6550.0,50,6550.0,6600.0
SICAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,249,174.0,249,174.0,423.0
SIPE SIPE,otras vacunaciones,      antirrabica en perros y gatos,2014-06-01,220,15930.0,220,15930.0,16150.0
