municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,279,279
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,64031,64031
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,372,372
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,372,372
SANTIAGO DE HUATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,248,248
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
SENA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,58,58
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,561,561
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,961,961
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,279,279
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,36416,36416
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,806,806
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,589,589
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,62,62
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,17556,17556
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,692,692
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,713,713
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,310,310
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,338,338
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,806,806
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2,2
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,6944,6944
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2356,2356
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
URUBICHA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1147,1147
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,124,124
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,530,530
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2139,2139
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,337,337
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,992,992
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,93,93
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,341,341
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,2139,2139
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1240,1240
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,836,836
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,3,3
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,97,97
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,4433,4433
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,341,341
YANACACHI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,31,31
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,1560,1560
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,217,217
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2018-01-01,186,186
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,420,420
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,868,868
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,377,377
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,252,252
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,7,7
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,1764,1764
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,812,812
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,792,792
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,519,519
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,1895,1895
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,308,308
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,120,120
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,310,310
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,224,224
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,924,924
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,2889,2889
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,392,392
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,140,140
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,784,784
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,346,346
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,728,728
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,924,924
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,112,112
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,476,476
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,728,728
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,28,28
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,420,420
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,3158,3158
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,170,170
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,48328,48328
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,1008,1008
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,112,112
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,171,171
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,336,336
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,392,392
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,172,172
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,952,952
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,279,279
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,476,476
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,508,508
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,28,28
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,336,336
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,168,168
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,19012,19012
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,168,168
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,700,700
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,168,168
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,480,480
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,420,420
FILADELFIA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,25,25
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,168,168
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,2576,2576
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,560,560
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,452,452
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,111,111
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,28,28
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,1568,1568
HUARACAJE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,84,84
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,364,364
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,224,224
INQUISIVI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,336,336
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,168,168
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,420,420
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,2128,2128
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,68643,68643
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,112,112
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,306,306
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,980,980
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,56,56
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,196,196
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,224,224
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,150,150
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,112,112
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,528,528
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,593,593
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2018-02-01,224,224
