municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,91,91
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,744,744
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,14818,14818
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
LAJA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,276,276
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,212,212
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,617,617
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,63,63
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,261,261
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,682,682
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1302,1302
MORO MORO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,278,278
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,60,60
OCURI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,279,279
ORURO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,4232,4232
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
PAILON,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,341,341
PALCA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,341,341
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
POCONA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,496,496
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
POOPO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,81,81
POROMA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,527,527
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,307,307
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,651,651
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
POSTRER VALLE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,2108,2108
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,213,213
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,76,76
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,90,90
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,115,115
PUERTO SILES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,370,370
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1209,1209
PUNA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,620,620
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,558,558
QUIME,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
REYES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,775,775
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,310,310
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,63,63
SACABA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1395,1395
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
SACACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,145,145
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
SAN ANDRES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,29,29
SAN ANDRES DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,78,78
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,284,284
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1395,1395
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,310,310
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,992,992
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,203,203
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,558,558
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,52,52
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,523,523
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,218,218
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,215,215
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,192,192
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,16400,16400
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
SANTIAGO DE HUATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,94,94
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
SENA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,82,82
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,490,490
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,29,29
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,403,403
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,243,243
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,92,92
SORATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,3898,3898
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,61,61
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,217,217
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,651,651
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,453,453
TARACO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
TARATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,260,260
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1395,1395
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,800,800
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
TIAWANACU,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,217,217
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,558,558
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,527,527
TITO YUPANQUI (PARQUIPUJIO),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1,1
TOCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
TOMAVE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,589,589
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,63,63
TRIGAL,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1574,1574
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,465,465
TURCO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
UMALA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,31,31
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,433,433
VACAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,248,248
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,186,186
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,824,824
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,202,202
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,372,372
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,93,93
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,465,465
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1395,1395
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2013-01-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,434,434
VINTO,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,217,217
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
WARNES,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,1279,1279
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,496,496
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
YANACACHI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,62,62
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,638,638
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2013-01-01,124,124
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,280,280
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,476,476
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,196,196
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,84,84
APOLO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,84,84
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
ARANI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,168,168
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,168,168
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,252,252
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,252,252
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,286,286
AYATA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,56,56
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,84,84
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2013-02-01,980,980
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,228,228
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,56,56
BAURES,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,56,56
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,355,355
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,196,196
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,198,198
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,112,112
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,224,224
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2013-02-01,56,56
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,56,56
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,84,84
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,1325,1325
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2013-02-01,84,84
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,504,504
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,196,196
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,87,87
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,114,114
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,252,252
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,53,53
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,165,165
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,224,224
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2013-02-01,28,28
