municipality,group,variable,month,N°de actividades de la comunidad con participación del establecimiento,TOTAL
CAPINOTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
CARANAVI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
CARANGAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
CARIPUYO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,68,68
CATACORA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
CHACARILLA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,26,26
CHAQUI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
CHAYANTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,14,14
CHIMORE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
CHIPAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
CHUMA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,18,18
COBIJA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
COCAPATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,14,14
COCHABAMBA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
COLLANA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,54,54
COLQUIRI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,22,22
COMARAPA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CORO CORO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
COROICO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
COTAGAITA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,41,41
COTOCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,32,32
CURVA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,78,78
EL CHORO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
EL TORNO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
EL VILLAR,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,20,20
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
ESMERALDA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
GUANAY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
GUAQUI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
HUACARAJE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
HUARINA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
HUATAJATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
ICHOCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
ICLA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,47,47
INCAHUASI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,20,20
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,17,17
IXIAMAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
LA ASUNTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,40,40
LA GUARDIA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,25,25
LA RIVERA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
LAJA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,11,11
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
LLALLAGUA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
LLICA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
LURIBAY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
MACHARETI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
MAGDALENA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
MAIRANA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
MALLA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
MAPIRI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
MECAPACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,6,6
MIZQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
MOCOMOCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
MOJINETE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
MOJOCOYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,29,29
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,22,22
MONTERO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
MOROCHATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
OCURI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,67,67
OMEREQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
ORURO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,10,10
PADCAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
PADILLA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,33,33
PALCA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,21,21
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
PELECHUCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,59,59
POCONA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
POJO (CBBA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
POOPO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
PORCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,59,59
POTOSI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,7,7
PRESTO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,33,33
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,15,15
PUNA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,29,29
PUNATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,22,22
RAVELO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,59,59
RIBERALTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
ROBORE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,11,11
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
SABAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,39,39
SACABA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,11,11
SACABAMBA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
SACACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,60,60
SAIPINA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,39,39
SAN ANDRES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
SAN BENITO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,23,23
SAN BORJA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
SAN CARLOS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
SAN IGNACIO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
SAN JULIAN,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
SAN LUCAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,42,42
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,68,68
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,54,54
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
SAN RAFAEL,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,51,51
SANTA ROSA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,24,24
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,11,11
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,33,33
SHINAOTA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,20,20
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
SICAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
SOPACHUY,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
SORACACHI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,13,13
SORATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,63,63
TACACOMA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
TACOBAMBA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,38,38
TAHUA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
TAPACARI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,57,57
TARATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
TARIJA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,24,24
TARVITA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,41,41
TEOPONTE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,5,5
TIAHUANACU,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,15,15
TIPUANI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,25,25
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
TOLEDO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
TOMINA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
TORO TORO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,37,37
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
TOTORA(ORR),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,20,20
TURCO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,4,4
UMALA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,28,28
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,14,14
UYUNI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,9,9
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,2,2
VIACHA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,22,22
VILA VILA,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,17,17
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,21,21
VILLA MONTES,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,3,3
VILLA RIVERO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,17,17
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,20,20
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,50,50
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,8,8
VILLAZON,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,21,21
VINTO,actividades del establecimiento y con la comunidad,nde actividades de la comunidad con participacion del establecimiento,2024-01-01,12,12
