municipality,group,variable,month,9.25 Nro de actividades de educacion integral en sexualidad a adolescentes,TOTAL
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,7,7
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,4,4
CHAQUI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,6,6
CHAYANTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,3,3
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,25,25
EXALTACION,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,10,10
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,7,7
PAILON,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
PATACAMAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
PORCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,8,8
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,7,7
REYES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,3,3
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,31,31
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,19,19
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,69,69
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,6,6
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,26,26
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,21,21
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-05-01,1,1
AIQUILE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
AYATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,3,3
CHACARILLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,4,4
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,4,4
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,48,48
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,6,6
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,29,29
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,451,451
PADCAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,22,22
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,20,20
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,6,6
REYES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,3,3
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,10,10
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
SAN PEDRO(PND),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
SANTA ANA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,14,14
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
TAHUA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,5,5
TARVITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,3,3
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,1,1
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
TUPIZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-06-01,2,2
