municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,9,9
QUIABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,11,11
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,19,19
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,12,12
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
SAN PEDRO(PND),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,5,5
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,21,21
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,9,9
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
SENA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,16,16
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,8,8
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,11,11
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
TOLATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,3,3
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,24,24
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,10,10
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,7,7
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,4,4
VILLA NUEVA (LOMA ALTA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,9,9
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,2,2
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-01-01,6,6
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,20,20
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,18,18
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,2,2
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,13,13
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,2,2
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,12,12
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,2,2
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,11,11
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,43,43
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,11,11
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,20,20
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,55,55
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,11,11
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
LA ASUNTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,33,33
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,10,10
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,12,12
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,10,10
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
POCOATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,34,34
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,24,24
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,23,23
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
REYES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,2,2
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,11,11
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,9,9
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,19,19
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,11,11
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,12,12
SANTA ROSA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,17,17
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,14,14
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,21,21
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,22,22
TACACOMA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,13,13
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,7,7
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,12,12
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,17,17
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,4,4
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,27,27
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,6,6
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,3,3
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,5,5
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-02-01,1,1
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,28,28
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,19,19
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,23,23
BELLA FLOR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,11,11
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,87,87
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,10,10
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,9,9
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,12,12
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,24,24
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,8,8
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,24,24
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,8,8
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,10,10
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,54,54
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,10,10
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,27,27
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,68,68
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,4,4
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,7,7
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,86,86
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,17,17
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,7,7
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,9,9
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,6,6
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,11,11
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,14,14
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,93,93
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,11,11
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,9,9
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,9,9
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,10,10
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,11,11
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,32,32
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,3,3
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,10,10
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,45,45
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,18,18
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,87,87
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,2,2
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,13,13
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,5,5
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-03-01,14,14
